record_id,source_id,period_start,period_end,geography,quantity_definition,value,unit,status,calculation,source_locator,notes
spinning-doubling-operatives-1833,source:baines-1835-cotton-manufacture,1833,1833,United Kingdom,persons engaged in cotton spinning and doubling,180000,persons,author-estimate,237000 mill operatives minus about 57000 power-loom weavers,Baines 1835 pages 412 and 414,not paid hours and not the 1824-1828 target
factory-return-all-workers-1833,source:baines-1835-cotton-manufacture,1833-04,1833-05,Lancashire Cheshire and Derbyshire,workers in 151 complete cotton-factory returns,48645,persons,source-reported,none,Baines 1835 pages 369-372 Table II,151 complete regional returns out of 300 received
factory-return-all-hours-1833,source:baines-1835-cotton-manufacture,1833-04,1833-05,Lancashire Cheshire and Derbyshire,reported hours worked in 151 complete cotton-factory returns,13362204.8,reported-person-hours-in-month,source-reported,sum of printed departments,Baines 1835 pages 369-372 Table II,paid-time convention not stated
factory-cleaning-spreading-1833,source:baines-1835-cotton-manufacture,1833-04,1833-05,Lancashire Cheshire and Derbyshire,cleaning and spreading workers and reported hours,353660.5,reported-person-hours-in-month,source-reported,1282 workers,Baines 1835 pages 369-372 Table II,regional late comparator
factory-carding-1833,source:baines-1835-cotton-manufacture,1833-04,1833-05,Lancashire Cheshire and Derbyshire,carding drawing and roving workers and reported hours,2591188.7,reported-person-hours-in-month,source-reported,9397 workers,Baines 1835 pages 369-372 Table II,regional late comparator
factory-mule-spinning-1833,source:baines-1835-cotton-manufacture,1833-04,1833-05,Lancashire Cheshire and Derbyshire,mule spinning piecing and scavenging workers and reported hours,4291208.6,reported-person-hours-in-month,source-reported,15605 workers,Baines 1835 pages 369-372 Table II,regional late comparator
factory-throstle-spinning-1833,source:baines-1835-cotton-manufacture,1833-04,1833-05,Lancashire Cheshire and Derbyshire,throstle spinning workers and reported hours,501621.5,reported-person-hours-in-month,source-reported,1846 workers,Baines 1835 pages 369-372 Table II,regional late comparator
factory-reeling-1833,source:baines-1835-cotton-manufacture,1833-04,1833-05,Lancashire Cheshire and Derbyshire,reeling workers and reported hours,906261.8,reported-person-hours-in-month,source-reported,3316 workers,Baines 1835 pages 369-372 Table II,finishing inclusion must be explicit
factory-raw-to-yarn-subtotal-hours-1833,source:baines-1835-cotton-manufacture,1833-04,1833-05,Lancashire Cheshire and Derbyshire,preparation spinning and reeling reported hours subtotal,8643941.1,reported-person-hours-in-month,curator-derived,sum of five raw-to-yarn department rows,Baines 1835 pages 369-372 Table II,31446 workers; weaving engineers and roller covering excluded
spinning-machinery-value-1833,source:baines-1835-cotton-manufacture,1833,1833,United Kingdom,spinning machinery cost valuation excluding buildings and land,10800000,current-gbp,author-estimate,180000 persons multiplied by 60 pounds per person,Baines 1835 pages 414-415,not net stock and date transfer is unavailable
spinning-fixed-capital-combined-1833,source:baines-1835-cotton-manufacture,1833,1833,United Kingdom,fixed capital in cotton spinning including mills machines and apparatus,7000000,current-gbp,author-estimate,Kennedy estimate reported by Baines,Baines 1835 pages 413-414,combined equipment and structures with greater uncertainty than output estimate
spinning-mills-machinery-burn-1833,source:baines-1835-cotton-manufacture,1833,1833,United Kingdom,mills and machinery combined,8166375,current-gbp,author-estimate,9333000 spindles multiplied by 17 shillings 6 pence,Baines 1835 pages 413-414,not a bound and not net stock
spinning-mills-machinery-hoole-1833,source:baines-1835-cotton-manufacture,1833,1833,United Kingdom,mills and machinery combined,17200000,current-gbp,author-estimate,100000 pounds per 1000 workers,Baines 1835 pages 414-415,not a bound and not net stock
