sheet,year,currentBoundariesImports,currentBoundariesImports_state,currentBoundariesExports,currentBoundariesExports_state,boundaries1913Imports,boundaries1913Imports_state,boundaries1913Exports,boundaries1913Exports_state
Current prices,1800,,blank,,blank,,blank,,blank
Current prices,1801,,blank,,blank,,blank,,blank
Current prices,1802,,blank,,blank,,blank,,blank
Current prices,1803,,blank,,blank,,blank,,blank
Current prices,1804,,blank,,blank,,blank,,blank
Current prices,1805,,blank,,blank,,blank,,blank
Current prices,1806,,blank,,blank,,blank,,blank
Current prices,1807,,blank,,blank,,blank,,blank
Current prices,1808,,blank,,blank,,blank,,blank
Current prices,1809,,blank,,blank,,blank,,blank
Current prices,1810,,blank,,blank,,blank,,blank
Current prices,1811,,blank,,blank,,blank,,blank
Current prices,1812,,blank,,blank,,blank,,blank
Current prices,1813,,blank,,blank,,blank,,blank
Current prices,1814,,blank,,blank,,blank,,blank
Current prices,1815,,blank,,blank,,blank,,blank
Current prices,1816,,blank,,blank,,blank,,blank
Current prices,1817,,blank,,blank,,blank,,blank
Current prices,1818,,blank,,blank,,blank,,blank
Current prices,1819,,blank,,blank,,blank,,blank
Current prices,1820,,blank,,blank,,blank,,blank
Current prices,1821,,blank,,blank,,blank,,blank
Current prices,1822,,blank,,blank,,blank,,blank
Current prices,1823,,blank,,blank,,blank,,blank
Current prices,1824,,blank,,blank,,blank,,blank
Current prices,1825,,blank,,blank,,blank,,blank
Current prices,1826,,blank,,blank,,blank,,blank
Current prices,1827,,blank,,blank,,blank,,blank
Current prices,1828,,blank,,blank,,blank,,blank
Current prices,1829,,blank,,blank,,blank,,blank
Current prices,1830,17.20052649366766,,16.71026376646554,,17.20052649366766,,16.71026376646554,
Current prices,1831,18.43528428050129,,17.9098275305912,,18.43528428050129,,17.9098275305912,
Current prices,1832,39.689299505523074,,19.974241320975597,,39.689299505523074,,19.974241320975597,
Current prices,1833,37.27490493639741,,19.05716586862736,,37.27490493639741,,19.05716586862736,
Current prices,1834,34.46977608205203,,21.158395544335864,,34.46977608205203,,21.158395544335864,
Current prices,1835,34.75555896923845,,25.154575828564845,,34.75555896923845,,25.154575828564845,
Current prices,1836,38.593072352457924,,26.747673907644103,,38.593072352457924,,26.747673907644103,
Current prices,1837,38.353162179085786,,24.068566061365058,,38.353162179085786,,24.068566061365058,
Current prices,1838,39.344006855985356,,28.43675743056367,,39.344006855985356,,28.43675743056367,
Current prices,1839,35.27883851208591,,25.19917036577565,,35.27883851208591,,25.19917036577565,
Current prices,1840,41.783817557013435,,25.382692908466105,,41.783817557013435,,25.382692908466105,
Current prices,1841,40.81554070965134,,27.72376350089525,,40.81554070965134,,27.72376350089525,
Current prices,1842,40.27671595591937,,24.613548639728506,,40.27671595591937,,24.613548639728506,
Current prices,1843,38.88762425070187,,27.316184839517412,,38.88762425070187,,27.316184839517412,
Current prices,1844,34.26034030662047,,30.62376787183953,,34.26034030662047,,30.62376787183953,
Current prices,1845,43.714803856065664,,32.64293213706213,,43.714803856065664,,32.64293213706213,
Current prices,1846,41.19445272889949,,28.332836266030423,,41.19445272889949,,28.332836266030423,
Current prices,1847,46.64430823792452,,33.53764311321846,,46.64430823792452,,33.53764311321846,
Current prices,1848,34.24198947871832,,29.459588713534195,,34.24198947871832,,29.459588713534195,
Current prices,1849,39.02439024390244,,34.43328550932568,,39.02439024390244,,34.43328550932568,
Current prices,1850,42.29478299672118,,40.16064257028113,,42.29478299672118,,40.16064257028113,
Current prices,1851,44.764157397814564,,39.29081064174991,,44.764157397814564,,39.29081064174991,
Current prices,1852,57.78422001096921,,46.03149729687377,,57.78422001096921,,46.03149729687377,
Current prices,1853,57.39246258716603,,56.60894773955967,,57.39246258716603,,56.60894773955967,
Current prices,1854,68.01271120756472,,75.95721593551387,,68.01271120756472,,75.95721593551387,
Current prices,1855,71.50863901665959,,63.584708747245955,,71.50863901665959,,63.584708747245955,
Current prices,1856,81.49895689134122,,69.8005420265554,,81.49895689134122,,69.8005420265554,
Current prices,1857,84.74250576479632,,78.97770945426595,,84.74250576479632,,78.97770945426595,
Current prices,1858,87.04965920155794,,77.89678675754625,,87.04965920155794,,77.89678675754625,
Current prices,1859,90.19516367312029,,79.30954047119198,,90.19516367312029,,79.30954047119198,
Current prices,1860,91.46171434945067,,86.44247392783448,,91.46171434945067,,86.44247392783448,
Current prices,1861,102.86878941701276,,85.75603753268727,,102.86878941701276,,85.75603753268727,
Current prices,1862,138.29676614328793,,124.25912446708953,,138.29676614328793,,124.25912446708953,
Current prices,1863,165.38134474972878,,146.61466733131982,,165.38134474972878,,146.61466733131982,
Current prices,1864,124.41950464396284,,107.77863777089783,,124.41950464396284,,107.77863777089783,
Current prices,1865,135.60779256306543,,109.61955565976903,,135.60779256306543,,109.61955565976903,
Current prices,1866,139.5701938799346,,118.3524098730826,,139.5701938799346,,118.3524098730826,
Current prices,1867,135.87009493362444,,103.51078968400944,,135.87009493362444,,103.51078968400944,
Current prices,1868,148.5148514851485,,109.68743933216851,,148.5148514851485,,109.68743933216851,
Current prices,1869,162.66640754056942,,112.52550772519677,,162.66640754056942,,112.52550772519677,
Current prices,1870,170.60141306220922,,119.28695885270072,,170.60141306220922,,119.28695885270072,
Current prices,1871,230.17711680741348,,148.15783573723937,,230.17711680741348,,148.15783573723937,
Current prices,1872,249.66647608157044,,170.95483133218983,,249.66647608157044,,170.95483133218983,
Current prices,1873,244.0821232624416,,183.59473449525987,,244.0821232624416,,183.59473449525987,
Current prices,1874,225.69579792624933,,175.80104467139628,,225.69579792624933,,175.80104467139628,
Current prices,1875,261.7984074577588,,171.6838221013789,,261.7984074577588,,171.6838221013789,
Current prices,1876,228.75564650013513,,149.80116597814757,,228.75564650013513,,149.80116597814757,
Current prices,1877,229.52781745878536,,157.32983282498745,,229.52781745878536,,157.32983282498745,
Current prices,1878,232.70149483741716,,158.5375250423794,,232.70149483741716,,158.5375250423794,
Current prices,1879,230.62410965233124,,163.82397104685634,,230.62410965233124,,163.82397104685634,
Current prices,1880,261.6640226304019,,169.72801467917964,,261.6640226304019,,169.72801467917964,
Current prices,1881,247.8178951820664,,183.98892605836892,,247.8178951820664,,183.98892605836892,
Current prices,1882,252.75309785071215,,188.72756643880143,,252.75309785071215,,188.72756643880143,
Current prices,1883,249.23017705927637,,192.4557351809084,,249.23017705927637,,192.4557351809084,
Current prices,1884,212.74554941682015,,180.9008594229589,,212.74554941682015,,180.9008594229589,
Current prices,1885,198.1516139612958,,172.87618900615485,,198.1516139612958,,172.87618900615485,
Current prices,1886,196.12345253812447,,169.33585902072213,,196.12345253812447,,169.33585902072213,
Current prices,1887,211.03429786093184,,175.60657998046688,,211.03429786093184,,175.60657998046688,
Current prices,1888,232.73331273176763,,179.2336217552534,,232.73331273176763,,179.2336217552534,
Current prices,1889,231.2417896607681,,212.69608221930298,,231.2417896607681,,212.69608221930298,
