year,sourcePanel,annees,valeur1000F42,indice1880
1846,left,1846,194406,70.18
1847,left,1847,222569,80.35
1848,left,1848,225850,81.53
1849,left,1849,228428,82.46
1850,left,1850,231599,83.61
1851,left,1851,234957,84.82
1852,left,1852,232864,84.07
1853,left,1853,211047,76.19
1854,left,1854,288434,103.41
1855,left,1855,216128,78.02
1856,left,1856,279520,100.91
1857,left,1857,292119,105.46
1858,left,1858,265286,95.77
1859,left,1859,207683,75.04
1860,left,1860,270814,97.77
1861,left,1861,237701,85.81
1862,left,1862,235291,84.94
1863,left,1863,273104,98.59
1864,left,1864,287283,103.71
1865,left,1865,261650,94.46
1866,left,1866,257905,93.11
1867,left,1867,240229,86.72
1868,left,1868,294640,106.36
1869,left,1869,266729,96.29
1870,left,1870,262438,94.74
1871,left,1871,196676,71
1872,left,1872,286379,103.39
1873,left,1873,215084,77.64
1874,left,1874,303118,109.43
1875,left,1875,247837,89.47
1876,left,1876,245879,88.76
1877,left,1877,255939,92.4
1878,left,1878,253481,91.51
1879,left,1879,217825,78.64
1880,right,1880,277001,100
1881,right,1881,233464,84.28
1882,right,1882,265882,95.99
1883,right,1883,154142,91.75
1884,right,1884,259433,93.66
1885,right,1885,261414,94.37
1886,right,1886,244049,88.1
1887,right,1887,267019,96.4
1888,right,1888,208758,75.36
1889,right,1889,233338,84.24
1890,right,1890,260655,94.1
1891,right,1891,204532,73.84
1892,right,1892,268484,96.93
1893,right,1893,234190,84.54
1894,right,1894,242784,87.64
1895,right,1895,244134,88.13
1896,right,1896,253069,91.36
1897,right,1897,219973,79.41
1898,right,1898,232775,84.03
1899,right,1899,204952,73.99
1900,right,1900,243849,88.03
1901,right,1901,251244,90.7
1902,right,1902,261217,94.3
1903,right,1903,237662,85.8
1904,right,1904,251187,90.68
1905,right,1905,234837,84.78
1906,right,1906,234179,84.54
1907,right,1907,276188,99.7
1908,right,1908,244458,88.25
1909,right,1909,259394,93.64
1910,right,1910,250881,90.57
1911,right,1911,274891,99.24
1912,right,1912,255027,92.07
1913,right,1913,256309,92.53
