year,sourcePanel,annees,valeur1000F43,indice1880
1846,left,1846,34089,62.38
1847,left,1847,33793,61.84
1848,left,1848,34264,62.7
1849,left,1849,34678,63.46
1850,left,1850,34666,63.44
1851,left,1851,36949,67.62
1852,left,1852,35837,65.58
1853,left,1853,36420,66.65
1854,left,1854,37137,67.96
1855,left,1855,37965,69.48
1856,left,1856,43386,79.4
1857,left,1857,41548,76.03
1858,left,1858,33696,61.66
1859,left,1859,48026,87.89
1860,left,1860,47003,86.02
1861,left,1861,51393,94.05
1862,left,1862,54956,100.57
1863,left,1863,60348,110.44
1864,left,1864,62701,114.74
1865,left,1865,45607,83.46
1866,left,1866,64197,117.48
1867,left,1867,62999,115.29
1868,left,1868,57822,105.82
1869,left,1869,61890,113.26
1870,left,1870,55760,102.04
1871,left,1871,60316,125.02
1872,left,1872,71800,131.4
1873,left,1873,69525,127.23
1874,left,1874,66160,121.07
1875,left,1875,52239,95.6
1876,left,1876,60091,109.97
1877,left,1877,46402,84.92
1878,left,1878,58038,106.21
1879,left,1879,47773,87.43
1880,right,1880,54644,100
1881,right,1881,53266,97.48
1882,right,1882,48110,88.04
1883,right,1883,54309,99.39
1884,right,1884,47570,87.05
1885,right,1885,51171,93.64
1886,right,1886,56359,103.14
1887,right,1887,56428,103.26
1888,right,1888,48766,89.24
1889,right,1889,76700,140.36
1890,right,1890,70595,129.19
1891,right,1891,65743,120.31
1892,right,1892,61763,113.03
1893,right,1893,72764,133.16
1894,right,1894,71493,130.83
1895,right,1895,86306,157.94
1896,right,1896,78173,143.06
1897,right,1897,80583,147.47
1898,right,1898,72075,131.9
1899,right,1899,90722,166.02
1900,right,1900,101518,185.78
1901,right,1901,93956,171.94
1902,right,1902,78415,143.5
1903,right,1903,71310,130.5
1904,right,1904,68835,125.97
1905,right,1905,106715,195.29
1906,right,1906,96851,177.24
1907,right,1907,84323,154.31
1908,right,1908,90027,164.75
1909,right,1909,85571,156.6
1910,right,1910,94329,172.62
1911,right,1911,84237,154.16
1912,right,1912,96907,177.34
1913,right,1913,82121,150.28
