sheet,sourceRow,A,A_state,B,B_state,C,C_state,D,D_state,E,E_state,F,F_state,G,G_state,H,H_state,I,I_state,J,J_state,K,K_state,L,L_state,M,M_state,N,N_state,O,O_state,P,P_state,Q,Q_state,R,R_state,S,S_state,T,T_state,U,U_state,V,V_state,W,W_state,X,X_state,Y,Y_state,Z,Z_state,AA,AA_state,AB,AB_state,AC,AC_state,AD,AD_state,AE,AE_state,AF,AF_state,AG,AG_state,AH,AH_state,AI,AI_state,AJ,AJ_state,AK,AK_state,AL,AL_state,AM,AM_state,AN,AN_state,AO,AO_state,AP,AP_state,AQ,AQ_state,AR,AR_state,AS,AS_state,AT,AT_state,AU,AU_state,AV,AV_state,AW,AW_state,AX,AX_state,AY,AY_state,AZ,AZ_state,BA,BA_state,BB,BB_state,BC,BC_state,BD,BD_state,BE,BE_state,BF,BF_state,BG,BG_state,BH,BH_state,BI,BI_state,BJ,BJ_state,BK,BK_state,BL,BL_state,BM,BM_state,BN,BN_state,BO,BO_state,BP,BP_state,BQ,BQ_state,BR,BR_state,BS,BS_state,BT,BT_state,BU,BU_state,BV,BV_state,BW,BW_state,BX,BX_state,BY,BY_state,BZ,BZ_state,CA,CA_state,CB,CB_state,CC,CC_state,CD,CD_state,CE,CE_state,CF,CF_state,CG,CG_state,CH,CH_state,CI,CI_state,CJ,CJ_state,CK,CK_state,CL,CL_state,CM,CM_state,CN,CN_state,CO,CO_state,CP,CP_state,CQ,CQ_state,CR,CR_state,CS,CS_state,CT,CT_state,CU,CU_state,CV,CV_state,CW,CW_state,CX,CX_state,CY,CY_state,CZ,CZ_state,DA,DA_state,DB,DB_state,DC,DC_state,DD,DD_state,DE,DE_state,DF,DF_state,DG,DG_state,DH,DH_state,DI,DI_state,DJ,DJ_state,DK,DK_state,DL,DL_state,DM,DM_state,DN,DN_state,DO,DO_state,DP,DP_state,DQ,DQ_state,DR,DR_state,DS,DS_state,DT,DT_state,DU,DU_state,DV,DV_state,DW,DW_state,DX,DX_state,DY,DY_state,DZ,DZ_state,EA,EA_state,EB,EB_state,EC,EC_state,ED,ED_state,EE,EE_state,EF,EF_state,EG,EG_state,EH,EH_state,EI,EI_state,EJ,EJ_state,EK,EK_state,EL,EL_state,EM,EM_state,EN,EN_state,EO,EO_state,EP,EP_state,EQ,EQ_state,ER,ER_state,ES,ES_state,ET,ET_state,EU,EU_state,EV,EV_state,EW,EW_state,EX,EX_state,EY,EY_state,EZ,EZ_state,FA,FA_state,FB,FB_state,FC,FC_state
VA-K,1,,"BELGIUM, Value Added at Market Prices in Constant Prices",,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
VA-K,2,,Millions BF (1910 prices),,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
VA-K,3,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
VA-K,4,,blank,,ID,,blank,1835,,1836,,1837,,1838,,1839,,1840,,1841,,1842,,1843,,1844,,1845,,1846,,1847,,1848,,1849,,1850,,1851,,1852,,1853,,1854,,1855,,1856,,1857,,1858,,1859,,1860,,1861,,1862,,1863,,1864,,1865,,1866,,1867,,1868,,1869,,1870,,1871,,1872,,1873,,1874,,1875,,1876,,1877,,1878,,1879,,1880,,1881,,1882,,1883,,1884,,1885,,1886,,1887,,1888,,1889,,1890,,1891,,1892,,1893,,1894,,1895,,1896,,1897,,1898,,1899,,1900,,1901,,1902,,1903,,1904,,1905,,1906,,1907,,1908,,1909,,1910,,1911,,1912,,1913,,1914,,1915,,1916,,1917,,1918,,1919,,1920,,1921,,1922,,1923,,1924,,1925,,1926,,1927,,1928,,1929,,1930,,1931,,1932,,1933,,1934,,1935,,1936,,1937,,1938,,1939,,1940,,1941,,1942,,1943,,1944,,1945,,1946,,1947,,1948,,1949,,1950,,1951,,1952,,1953,,1954,,1955,,1956,,1957,,1958,,1959,,1960,,1961,,1962,,1963,,1964,,1965,,1966,,1967,,1968,,1969,,1970,,1971,,1972,,1973,,1974,,1975,,1976,,1977,,1978,,1979,,1980,,1981,,1982,,1983,,1984,,1985,,1986,,1987,,1988,,1989,,1990,
VA-K,5,,"AGRICULTURE, HUNTING, FORESTRY AND FISHING",,A; B,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
VA-K,6,,"   AGRICULTURE, HUNTING AND FORESTRY",,A,,blank,401.52155643438067,,401.57529163487624,,412.4429418540574,,423.82803539486235,,432.89704090363665,,444.54895696206444,,458.23690641365783,,470.5471442487582,,483.4465547819557,,494.4639507410598,,511.64712451592874,,493.5431991039501,,653.8566751522136,,572.334414180631,,624.0592541200554,,573.1544934849469,,577.1894047485902,,566.316991303156,,580.6933548411471,,645.6289245241617,,600.8600182199052,,692.476115636592,,722.2280735595486,,673.4709991225427,,588.7379292383589,,641.934420078183,,614.0684061590063,,677.413822200478,,759.6343706824597,,742.8456718099542,,680.6101217597328,,654.106544004453,,636.4008581791132,,772.4805005096241,,687.0223697144891,,693.2656100411828,,608.5998295779516,,740.4114732263861,,651.2825385017375,,797.3936377700243,,655.2540440517878,,706.9732190889971,,692.9713931937481,,653.3129192452403,,621.0390350353701,,676.4193404046148,,696.3046695602496,,696.2846044242027,,689.8269225288166,,668.0299257554593,,676.7847814740308,,689.3973407334929,,693.2511902407696,,670.2509233294777,,716.2803682624402,,716.1113902497469,,705.8956422111248,,732.2138656981732,,741.2065350215122,,725.1042348965793,,747.148674042394,,722.5477097191197,,801.5174664582286,,781.7157146868532,,733.8218764275421,,786.7441495404569,,767.2781457615501,,787.5731065902648,,762.9704178368299,,809.8759138571609,,800.7055855240844,,797.7835054826384,,824.1210501516147,,845.9978751200067,,811.3154571658148,,824.9950610812621,,791.0260320953525,,762.8389620629441,,790.5516311061908,,,blank,,blank,,blank,,blank,,blank,,blank,833.1587013300851,,792.707064313765,,724.1699713606793,,827.287981941922,,824.3607876867136,,797.7411232311011,,802.1154477439709,,728.3129370600883,,781.2721955020289,,784.4163855078702,,770.4039577604248,,747.2716750843513,,824.1355020669655,,869.5299752939055,,755.6040141008194,,354.6309415287384,,296.9068324904335,,780.421229998303,,798.7754809015446,,776.8622963391228,,,blank,,blank,,blank,,blank,,blank,,blank,809.4159425791285,,724.5021102225655,,679.4307731480695,,851.462432946314,,848.127940065301,,852.2060585236334,,824.1593914658611,,998.9242468800941,,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
VA-K,7,,   FISHING,,B,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
VA-K,8,,TOTAL INDUSTRY,,C; D; E; F,,blank,359.075125561721,,378.05022512848296,,395.18454326108304,,387.2343218413173,,397.49469327942774,,404.1578100251747,,423.78928164018765,,427.80392090875364,,422.0454012815935,,435.2352937788513,,455.1709160543056,,466.8097551159657,,478.3497819434743,,470.40700914135226,,476.1363672647532,,500.9171651509825,,534.7704001077379,,559.5192076332712,,608.6683099011193,,640.4000675146417,,670.1549555070313,,720.3844468800307,,727.6758375154272,,723.0167347514363,,765.3405469162774,,847.7010004258663,,869.0044789582818,,913.2732869332228,,929.9030686399981,,1018.3629589671441,,1057.5159799081805,,1164.4156054558584,,1179.8335214044207,,1219.748693906238,,1441.4089404307208,,1492.6263145767796,,1484.6984030416804,,1599.891401489392,,1582.8110128549922,,1673.8772340173036,,1586.0797624741172,,1569.0171569807328,,1604.6781585118486,,1675.9749152197166,,1671.3870600965788,,1758.9029785308571,,1795.987256283945,,1900.3213731137582,,1930.1377827396689,,1852.6222636126408,,1874.0156353398907,,1828.472695515156,,1979.6522606466833,,1948.0285768463395,,2135.289913985854,,2074.0388409263737,,2057.401500479125,,2074.21146052192,,2149.0317567475995,,2185.858417148356,,2194.7629920097215,,2320.528468990558,,2365.1973478496498,,2368.3279263370027,,2409.0566640293923,,2332.0654550469644,,2314.1233891538527,,2471.7757858805116,,2564.885548800589,,2678.721688059537,,2744.733365897694,,2795.3242641585452,,2813.5907618396477,,2843.2198126570847,,2876.289896174992,,3048.7774873144494,,3141.98468630476,,3263.399655485101,,3275.308298764012,,,blank,,blank,,blank,,blank,,blank,,blank,1867.377678706275,,2175.9009473620954,,2575.0867554913343,,2706.3444618931526,,2995.92331931572,,3082.526342096301,,3354.5139605165623,,3588.6127564703193,,3802.413968959879,,3893.076508433299,,3734.7553574125513,,3457.3550500685024,,2972.9193913896283,,2898.494918687565,,2918.7925021517644,,3102.8239255605,,3454.648705606609,,3818.652035731239,,3420.819399832945,,3228.668943038531,,,blank,,blank,,blank,,blank,,blank,,blank,2690.1063951217934,,3423.525744294838,,3788.882246650414,,3878.191613892889,,4124.468959925164,,4450.583467583289,,4353.155066955136,,4465.7010510336495,,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
VA-K,9,,   MINING AND QUARRYING,,C,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
VA-K,10,,   MANUFACTURING,,D,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
