sourceRow,A,A_state,B,B_state,C,C_state,D,D_state,E,E_state,F,F_state,G,G_state,H,H_state,I,I_state,J,J_state,K,K_state,L,L_state,M,M_state,N,N_state,O,O_state,P,P_state,Q,Q_state,R,R_state,S,S_state,T,T_state,U,U_state,V,V_state,W,W_state,X,X_state,Y,Y_state,Z,Z_state,AA,AA_state,AB,AB_state,AC,AC_state,AD,AD_state,AE,AE_state,AF,AF_state,AG,AG_state,AH,AH_state,AI,AI_state,AJ,AJ_state,AK,AK_state,AL,AL_state,AM,AM_state,AN,AN_state,AO,AO_state,AP,AP_state,AQ,AQ_state,AR,AR_state,AS,AS_state,AT,AT_state,AU,AU_state,AV,AV_state,AW,AW_state,AX,AX_state,AY,AY_state,AZ,AZ_state,BA,BA_state,BB,BB_state,BC,BC_state,BD,BD_state,BE,BE_state,BF,BF_state,BG,BG_state,BH,BH_state,BI,BI_state,BJ,BJ_state,BK,BK_state,BL,BL_state,BM,BM_state,BN,BN_state,BO,BO_state,BP,BP_state,BQ,BQ_state,BR,BR_state,BS,BS_state,BT,BT_state,BU,BU_state,BV,BV_state,BW,BW_state,BX,BX_state,BY,BY_state,BZ,BZ_state,CA,CA_state,CB,CB_state,CC,CC_state,CD,CD_state,CE,CE_state,CF,CF_state,CG,CG_state,CH,CH_state,CI,CI_state,CJ,CJ_state,CK,CK_state,CL,CL_state,CM,CM_state,CN,CN_state,CO,CO_state,CP,CP_state,CQ,CQ_state,CR,CR_state,CS,CS_state,CT,CT_state,CU,CU_state,CV,CV_state,CW,CW_state,CX,CX_state,CY,CY_state,CZ,CZ_state,DA,DA_state,DB,DB_state,DC,DC_state,DD,DD_state,DE,DE_state,DF,DF_state,DG,DG_state,DH,DH_state,DI,DI_state,DJ,DJ_state,DK,DK_state,DL,DL_state,DM,DM_state,DN,DN_state,DO,DO_state,DP,DP_state,DQ,DQ_state,DR,DR_state,DS,DS_state,DT,DT_state,DU,DU_state,DV,DV_state,DW,DW_state,DX,DX_state,DY,DY_state,DZ,DZ_state,EA,EA_state,EB,EB_state,EC,EC_state,ED,ED_state,EE,EE_state,EF,EF_state,EG,EG_state,EH,EH_state,EI,EI_state,EJ,EJ_state,EK,EK_state,EL,EL_state,EM,EM_state,EN,EN_state,EO,EO_state,EP,EP_state,EQ,EQ_state,ER,ER_state,ES,ES_state,ET,ET_state,EU,EU_state,EV,EV_state,EW,EW_state,EX,EX_state,EY,EY_state,EZ,EZ_state,FA,FA_state,FB,FB_state,FC,FC_state
1,,"BELGIUM, Value Added at Market Prices in Current Prices",,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
2,,Millions BF,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
3,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
4,,blank,,ID,,blank,1835,,1836,,1837,,1838,,1839,,1840,,1841,,1842,,1843,,1844,,1845,,1846,,1847,,1848,,1849,,1850,,1851,,1852,,1853,,1854,,1855,,1856,,1857,,1858,,1859,,1860,,1861,,1862,,1863,,1864,,1865,,1866,,1867,,1868,,1869,,1870,,1871,,1872,,1873,,1874,,1875,,1876,,1877,,1878,,1879,,1880,,1881,,1882,,1883,,1884,,1885,,1886,,1887,,1888,,1889,,1890,,1891,,1892,,1893,,1894,,1895,,1896,,1897,,1898,,1899,,1900,,1901,,1902,,1903,,1904,,1905,,1906,,1907,,1908,,1909,,1910,,1911,,1912,,1913,,1914,,1915,,1916,,1917,,1918,,1919,,1920,,1921,,1922,,1923,,1924,,1925,,1926,,1927,,1928,,1929,,1930,,1931,,1932,,1933,,1934,,1935,,1936,,1937,,1938,,1939,,1940,,1941,,1942,,1943,,1944,,1945,,1946,,1947,,1948,,1949,,1950,,1951,,1952,,1953,,1954,,1955,,1956,,1957,,1958,,1959,,1960,,1961,,1962,,1963,,1964,,1965,,1966,,1967,,1968,,1969,,1970,,1971,,1972,,1973,,1974,,1975,,1976,,1977,,1978,,1979,,1980,,1981,,1982,,1983,,1984,,1985,,1986,,1987,,1988,,1989,,1990,
5,,"AGRICULTURE, HUNTING, FORESTRY AND FISHING",,A; B,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
6,,"   AGRICULTURE, HUNTING AND FORESTRY",,A,,blank,307.92403006378186,,321.96118305341633,,326.9289883026494,,347.6892296112905,,384.832961652326,,398.2225610793728,,399.9777472068702,,401.398100818835,,402.5154347675363,,382.9366688273579,,393.0964820411331,,465.63138893117207,,682.6101903856927,,410.3991508828041,,422.4238586839323,,377.5474266058263,,393.329657450087,,433.7111087405454,,501.0337422713247,,696.1815062621117,,629.016021480814,,686.2683890222421,,610.507137181673,,522.811808964165,,459.9456357435112,,580.6285621885596,,595.2230814332669,,627.1162214776625,,620.1271945224113,,582.9432325938996,,546.4923963477057,,594.8573656077846,,666.8391126367057,,782.0826649302112,,617.5527678434378,,665.6841388774487,,658.480378372696,,732.5896144436916,,668.1351629354856,,820.5567681090292,,629.677666218165,,725.7941755747443,,739.7218116927287,,635.8084847095278,,636.7506331676695,,685.5894147247883,,708.1971489720387,,704.3117967040716,,681.3587226899167,,600.2856442153562,,584.890007559111,,585.0457791237478,,575.7359372409467,,571.8024529514503,,614.1293678356019,,612.4556424723497,,647.1212398920944,,628.8847954107067,,633.5227077196037,,590.1921211663554,,580.7788903049436,,547.2327071367587,,635.0194957357998,,619.664912175979,,582.4045315156676,,635.3244546619936,,649.4999675372643,,676.4318120863867,,668.8207804521827,,701.3795142104127,,730.2763154053989,,747.027851205562,,772.5694985516095,,775.4679497924315,,763.682717900102,,824.9950610812621,,822.2685205534311,,792.3981575399775,,786.7541478226963,,,blank,,blank,,blank,,blank,,blank,3908.291,,5229.79,,4481.172,,3425.773,,5122.781,,5693.543,,5636.241,,7050.822,,7646.451,,8630.007,,9044.307,,7965.761,,6549.718,,5937.427,,6018.956,,5075.808,,2520.063,,2209.102,,6344.281,,6636.141,,6691.263,,,blank,,blank,,blank,,blank,,blank,17000,,22392,,21486,,25057,,27251,,25042,,28753,,27752,,31918,,31560,,32858,,32032,,35810,,34335,,35502,,36516,,40103,,38347,,40941,,42985,,45381,,43495,,44719,,48146,,52759,,45997,,48808,,63025,,68585,,58082,,68208,,76131,,68355,,76032,,77007,,79390,,88171,,97799,,109688,,112316,,112176,,114203,,108314,,113323,,139294,,124326,
7,,   FISHING,,B,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
8,,TOTAL INDUSTRY,,C; D; E; F,,blank,517.055369374768,,610.1529191235712,,632.4103514307662,,616.463546304404,,651.1103859415616,,657.668854201549,,671.298490447088,,669.2734197988656,,652.6114866549791,,631.3410853479605,,648.2488502237939,,686.5533199642744,,687.2832667383091,,697.6921036814337,,678.4786275744698,,728.5557636703185,,735.4096290149761,,790.0137349005638,,949.1629404846327,,1095.7281859512427,,1225.0949502967123,,1324.0899590658792,,1302.7267747733415,,1262.366624159479,,1310.2836170806004,,1418.4791767153056,,1434.3051224488047,,1462.043977883808,,1472.0104468865593,,1650.3494356813294,,1681.408287764835,,1860.5756524870662,,1786.3823839553136,,1790.7157883151406,,2065.1968865898493,,2200.019244907413,,2270.941031673426,,2916.716481632521,,3263.539426214095,,2931.332141252772,,2508.1649883423293,,2303.5473923269083,,2305.8032429101604,,2311.894343312651,,2196.310309955637,,2545.57533216355,,2577.402306615029,,2580.3702750152597,,2499.242754153492,,2231.522342820002,,2091.7157286847405,,1958.55641903524,,2166.3680422490647,,2198.462698854477,,2341.468425645974,,2455.632302508905,,2349.686299292556,,2257.414153308793,,2215.599970654086,,2138.8371872497933,,2210.43246331828,,2285.8637743251334,,2406.8877566212627,,2428.509133234681,,2663.9319704424247,,2786.520160105343,,2575.1411019843254,,2599.855884080694,,2680.888401608239,,2777.564521425754,,2829.6587086379327,,3068.066422195579,,3254.8587683145734,,2988.8956738275897,,2901.8543250428943,,3048.7774873144494,,3151.639678051747,,3383.725526743262,,3497.4995376321144,,,blank,,blank,,blank,,blank,,blank,,blank,9209.403601203534,,9948.491607604472,,10635.943555770396,,12790.83833500491,,16314.158172892894,,17260.819240534725,,22127.01026657646,,30049.850174470554,,34262.345943082655,,38799.20068816831,,38065.534884974615,,33284.47244928639,,26116.041747624946,,25283.56671829332,,24470.987003806695,,25216.901425014687,,29034.563478544394,,34644.06904887168,,32194.651313888535,,31116.049968204097,,20988.347593058086,,22431.279285012963,,22313.28380137254,,27072.865970509047,,27730.982409015338,,46210.53219042854,,83222.03248117301,,108549.44953001916,,138079.88044340734,,137907.84366780156,,144800.85425270596,,170105.3590172303,,168349.51058787765,,172702,,178129,,188310,,203134,,218670,,210590,,211495,,230899,,245262,,264015,,285447,,328129,,347763,,374544,,393920,,413795,,460479,,541536,,567923,,629172,,722093,,860354,,892004,,1011253,,1081591,,1140682,,1206040,,1266525,,1211282,,1325527,,1384270,,1456082,,1573269,,1625212,,1638169,,1757877,,1929303,,2053833,
9,,   MINING AND QUARRYING,,C,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
10,,   MANUFACTURING,,D,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
