year,flow_geography,goods_exports_fob_gbp_millions,goods_imports_cif_gbp_millions,current_account_balance_excluding_bullion_gbp_millions,nominal_gdp_gbp_millions,net_external_assets_anchor_gbp_millions,anchor_geography
1772,Great Britain,21.4138232421875,21.010630859375,2.7932041015625,136.0058086351932,,
1773,Great Britain,19.79013330078125,18.12751953125,3.8312880859375,138.51086929136744,,
1774,Great Britain,20.844337890625,20.432509765625,2.5088759765625,137.85297101383622,,
1775,Great Britain,20.7972236328125,21.83244921875,0.9966856079101563,143.18445104015245,,
1776,Great Britain,19.50429150390625,18.86876953125,2.429614990234375,145.01220067028925,,
1777,Great Britain,18.33864208984375,19.406880859375,0.22443679809570313,153.22618758516214,,
1778,Great Britain,17.1252802734375,18.671279296875,-0.39694589233398436,152.40924772766363,,
1779,Great Britain,15.38203515625,16.15801953125,0.12569619750976563,147.4180573230345,,
1780,Great Britain,18.26596337890625,18.29325,2.1752451171875,153.51658384632782,,
1781,Great Britain,14.9943681640625,20.978970703125,-2.991217041015625,177.1660592016561,,
1782,Great Britain,18.036384765625,17.1123203125,2.936570068359375,176.17498984816606,,
1783,Great Britain,19.10134326171875,19.4503203125,2.376718994140625,171.8349441815293,,
1784,Great Britain,19.509880859375,23.4203203125,0.3889176940917969,165.85922184328768,,
1785,Great Britain,20.36149853515625,23.79330078125,1.310718017578125,165.23643976513299,,
1786,Great Britain,21.69957080078125,23.35183984375,2.758778076171875,177.71771923972136,,
1787,Great Britain,22.37352392578125,27.263599609375,-0.06179492950439453,173.77072487012975,,
1788,Great Britain,21.59502783203125,26.6414609375,-0.590065673828125,167.71402207462967,,
1789,Great Britain,24.017494140625,25.693810546875,2.821410888671875,168.90436541979776,,
1790,Great Britain,25.36874609375,27.982060546875,1.7947139892578126,186.30662514560473,,
1791,Great Britain,29.99564453125,30.73998046875,4.82220703125,188.00630985425622,,
1792,Great Britain,33.5179755859375,33.21348046875,6.30007177734375,207.0034945832193,,
1793,Great Britain,25.70191357421875,29.844150390625,-0.17692280578613281,201.5472241252912,,
1794,Great Britain,32.7665859375,32.225849609375,-0.24588409423828125,196.96278952105942,,
1795,Great Britain,33.8667890625,38.18305859375,-6.79812890625,240.11070743198758,,
1796,Great Britain,41.5002578125,41.54225,-1.5452349853515626,251.4925319428565,,
1797,Great Britain,41.800759765625,36.146890625,11.9141796875,252.10535329436289,,
1798,Great Britain,46.1126904296875,50.3781796875,7.84098388671875,265.79027267760404,,
1799,Great Britain,46.9665400390625,51.43898046875,6.31223095703125,294.1826755823731,,
1800,Great Britain,51.44141015625,57.8204609375,4.020964111328125,335.81510194897817,,
1801,Great Britain,52.1408798828125,60.47973828125,2.80989794921875,358.3738235023969,,
1802,Great Britain,58.07451953125,51.05012890625,13.8300595703125,309.45770374778044,,
1803,Great Britain,45.28665234375,49.81898828125,3.1412451171875,305.0128045081404,,
1804,Great Britain,48.034599609375,51.481578125,7.2017470703125,324.6426223648334,,
1805,Great Britain,47.2742001953125,53.5821484375,2.476705078125,354.9863741761546,,
1806,Great Britain,49.533705078125,50.6217109375,8.312154296875,359.6814762831845,,
1807,Great Britain,46.3967998046875,53.50098828125,1.07343896484375,384.9580199482544,,
1808,Great Britain,45.3940751953125,45.71869921875,3.993160888671875,375.5829226440399,,
1809,Great Britain,61.825,59.8513515625,6.63177685546875,411.1224122625985,,
1810,Great Britain,59.7277998046875,74.5380625,-7.21307421875,453.537727752663,,
1811,Great Britain,39.87333984375,39.96012890625,0.30856298828125,433.4230798848361,,
1812,Great Britain,49.0336748046875,54.91844921875,-9.5209228515625,440.8566176715268,,
1813,Great Britain,71.33269921875,70.7613671875,-8.887591796875,474.66475436244394,,
1814,Great Britain,73.67248046875,74.0736796875,-7.4226298828125,452.7646288660858,,
1815,Great Britain,71.817890625,69.7214296875,3.03101708984375,467.3311455700629,10,United Kingdom including Ireland
