year,flow_geography,central_government_expenditure_gbp_millions,interest_payments_gbp_millions,central_government_receipts_gbp_millions,central_government_surplus_gbp_millions,central_government_primary_surplus_gbp_millions,debt_geography,gb_funded_gross_liabilities_gbp_millions
1790,Great Britain,17.097499999999997,9.4,17.387,0.2895000000000012,9.689500000000002,Great Britain,266.22717852570736
1791,Great Britain,17.73525,9.375,18.53125,0.7960000000000012,10.171000000000001,Great Britain,266.48455342879873
1792,Great Britain,17.6205,9.25,18.488,0.8674999999999997,10.1175,Great Britain,266.26043108770034
1793,Great Britain,21.89375,9.274999999999999,18.28125,-3.6125000000000007,5.6625,Great Britain,269.86096759595546
1794,Great Britain,31.2785,9.975000000000001,18.81225,-12.46625,-2.49125,Great Britain,284.3297988276966
1795,Great Britain,39.84,10.775,19.137500000000003,-20.7025,-9.927500000000002,Great Britain,335.2355537665226
1796,Great Britain,46.19125,12.1,19.88825,-26.303000000000004,-14.203000000000003,Great Britain,374.90143456620274
1797,Great Britain,55.09225,14.2,22.7715,-32.320750000000004,-18.12075,Great Britain,403.18041038285054
1798,Great Britain,47.42125,16,28.155250000000002,-19.265999999999995,-3.2659999999999956,Great Britain,441.4855010986859
1799,Great Britain,47.94725,15.387,33.511250000000004,-14.435999999999996,0.9510000000000036,Great Britain,457.49913425214913
1800,Great Britain,50.991,16.7,31.585,-19.406,-2.7059999999999995,Great Britain,485.1742080050997
