"year","export-prices","export-volumes","import-prices","import-volumes","terms-of-trade","trade-deficit"
"1800","6.294856228594553","1028.047220080351","5.781970867330859","1036.6367201215546","108.87042451496227",
"1810","5.73581869496739","1309.9873895223718","6.082638679792259","1270.30210747026","94.29819847795538",
"1820","4.205355174155132","1533.0758656836197","4.291940565401604","1279.5647719541294","97.98260507276224","6.399999999999999"
"1830","2.8851693375973464","2096.1081526382227","2.992254714622019","1892.909869254456","96.42124794719558","1.0999999999999943"
"1840","2.4789379338773476","3412.1113293754884","3.4223711517626274","2700.128416850862","72.43334588653886","-8.90000000000002"
"1850","1.9671078269291733","5840.612036962814","2.561181925838566","4074.8674280412492","76.80468954914693","5.0"
"1860","2.235360531582949","10168.498772830735","3.3028410113076325","6457.748380771254","67.67993142660973","3.5"
"1870","2.3482526079363146","14320.01394892974","3.2775687593674845","9376.425050683154","71.64617374463526","22.0"
"1880","1.9899272821613578","20008.78661357306","2.825148780863803","14635.160793394341","70.4361942153336","-23.0"
"1890","1.724529194216709","25959.11204440688","2.2883250784424334","18554.407243150792","75.36207204400012","14.0"
"1900","1.7498713184462258","27528.428641549865","2.158750424071412","25053.41084970896","81.059454531384","-68.0"
