id,country,from,to,completeness,unmatched,numerical,uncertainty
territorial-crosswalk:dg1d:territory-version-belgium-annuaire-births-1840-1873-statistical:to:territory-version-belgium-european-composition-1900-effective-target,belgium,territory-version:belgium:annuaire-births-1840-1873:statistical,territory-version:belgium:european-composition-1900:effective-target,partial,unknown,unavailable,qualitative-unknown
territorial-crosswalk:dg1d:territory-version-belgium-annuaire-births-1840-1873-statistical:to:territory-version-belgium-european-composition-1900-legal-target,belgium,territory-version:belgium:annuaire-births-1840-1873:statistical,territory-version:belgium:european-composition-1900:legal-target,partial,unknown,unavailable,qualitative-unknown
territorial-crosswalk:dg1d:territory-version-belgium-annuaire-births-1840-1873-statistical:to:territory-version-belgium-european-composition-1900-statistical-target,belgium,territory-version:belgium:annuaire-births-1840-1873:statistical,territory-version:belgium:european-composition-1900:statistical-target,partial,unknown,unavailable,qualitative-unknown
territorial-crosswalk:dg1d:territory-version-belgium-quetelet-marriages-1803-1829-statistical:to:territory-version-belgium-european-composition-1900-effective-target,belgium,territory-version:belgium:quetelet-marriages-1803-1829:statistical,territory-version:belgium:european-composition-1900:effective-target,partial,unknown,unavailable,qualitative-unknown
territorial-crosswalk:dg1d:territory-version-belgium-quetelet-marriages-1803-1829-statistical:to:territory-version-belgium-european-composition-1900-legal-target,belgium,territory-version:belgium:quetelet-marriages-1803-1829:statistical,territory-version:belgium:european-composition-1900:legal-target,partial,unknown,unavailable,qualitative-unknown
territorial-crosswalk:dg1d:territory-version-belgium-quetelet-marriages-1803-1829-statistical:to:territory-version-belgium-european-composition-1900-statistical-target,belgium,territory-version:belgium:quetelet-marriages-1803-1829:statistical,territory-version:belgium:european-composition-1900:statistical-target,partial,unknown,unavailable,qualitative-unknown
territorial-crosswalk:dg1d:territory-version-belgium-quetelet-population-1830-statistical:to:territory-version-belgium-european-composition-1900-effective-target,belgium,territory-version:belgium:quetelet-population-1830:statistical,territory-version:belgium:european-composition-1900:effective-target,partial,unknown,unavailable,qualitative-unknown
territorial-crosswalk:dg1d:territory-version-belgium-quetelet-population-1830-statistical:to:territory-version-belgium-european-composition-1900-legal-target,belgium,territory-version:belgium:quetelet-population-1830:statistical,territory-version:belgium:european-composition-1900:legal-target,partial,unknown,unavailable,qualitative-unknown
territorial-crosswalk:dg1d:territory-version-belgium-quetelet-population-1830-statistical:to:territory-version-belgium-european-composition-1900-statistical-target,belgium,territory-version:belgium:quetelet-population-1830:statistical,territory-version:belgium:european-composition-1900:statistical-target,partial,unknown,unavailable,qualitative-unknown
territorial-crosswalk:dg1d:territory-version-france-annuaire-table34-1881-1898-statistical:to:territory-version-france-european-composition-1900-effective-target,france,territory-version:france:annuaire-table34:1881-1898:statistical,territory-version:france:european-composition-1900:effective-target,partial,unknown,unavailable,qualitative-unknown
territorial-crosswalk:dg1d:territory-version-france-annuaire-table34-1881-1898-statistical:to:territory-version-france-european-composition-1900-legal-target,france,territory-version:france:annuaire-table34:1881-1898:statistical,territory-version:france:european-composition-1900:legal-target,partial,unknown,unavailable,qualitative-unknown
territorial-crosswalk:dg1d:territory-version-france-annuaire-table34-1881-1898-statistical:to:territory-version-france-european-composition-1900-statistical-target,france,territory-version:france:annuaire-table34:1881-1898:statistical,territory-version:france:european-composition-1900:statistical-target,partial,unknown,unavailable,qualitative-unknown
territorial-crosswalk:dg1d:territory-version-france-sgf-t86-population-1801-1836-statistical:to:territory-version-france-european-composition-1900-effective-target,france,territory-version:france:sgf-t86-population:1801-1836:statistical,territory-version:france:european-composition-1900:effective-target,partial,unknown,unavailable,qualitative-unknown
territorial-crosswalk:dg1d:territory-version-france-sgf-t86-population-1801-1836-statistical:to:territory-version-france-european-composition-1900-legal-target,france,territory-version:france:sgf-t86-population:1801-1836:statistical,territory-version:france:european-composition-1900:legal-target,partial,unknown,unavailable,qualitative-unknown
territorial-crosswalk:dg1d:territory-version-france-sgf-t86-population-1801-1836-statistical:to:territory-version-france-european-composition-1900-statistical-target,france,territory-version:france:sgf-t86-population:1801-1836:statistical,territory-version:france:european-composition-1900:statistical-target,partial,unknown,unavailable,qualitative-unknown
territorial-crosswalk:dg1d:territory-version-france-sgf-t87-births-1800-1820-statistical:to:territory-version-france-european-composition-1900-effective-target,france,territory-version:france:sgf-t87-births:1800-1820:statistical,territory-version:france:european-composition-1900:effective-target,partial,unknown,unavailable,qualitative-unknown
territorial-crosswalk:dg1d:territory-version-france-sgf-t87-births-1800-1820-statistical:to:territory-version-france-european-composition-1900-legal-target,france,territory-version:france:sgf-t87-births:1800-1820:statistical,territory-version:france:european-composition-1900:legal-target,partial,unknown,unavailable,qualitative-unknown
