id,country,role,basis,from,to,status,label_en,label_ru,sources
territory-version:belgium:french-departments:1800-1815:statistical,belgium,source-native,statistical-reporting,1800,1815,partial,French departments on the later Belgian territory,Французские департаменты на будущей бельгийской земле,source:goossens-1993-belgian-agricultural-output
territory-version:belgium:quetelet-marriages-1803-1829:statistical,belgium,source-native,statistical-reporting,1803,1830,partial,Quetelet retrospective marriage table (1803-1829),Ретроспективная таблица браков Кетле (1803-1829),source:quetelet-1832-population-belgium
territory-version:belgium:southern-provinces:1815-1830:effective,belgium,source-native,effective-administration,1815,1830,partial,Southern provinces within the United Kingdom of the Netherlands,Южные провинции Соединённого королевства Нидерландов,source:quetelet-1832-population-belgium
territory-version:belgium:pre-treaty:1830-1839:effective,belgium,source-native,effective-administration,1830,1839,partial,Belgian administration before the 1839 treaty,Бельгийское управление до договора 1839,source:quetelet-1832-population-belgium; source:treaty-belgium-netherlands-1839
territory-version:belgium:quetelet-population-1830:statistical,belgium,source-native,statistical-reporting,1830,1831,partial,Quetelet population table (1830),Таблица населения Кетле (1830),source:quetelet-1832-population-belgium
territory-version:belgium:post-treaty:1839-1900:legal,belgium,source-native,legal,1839,,partial,Treaty-defined Kingdom of Belgium (1839),Королевство Бельгия по договору 1839,source:treaty-belgium-netherlands-1839; source:belgium-statbel-annuaire-1874
territory-version:belgium:annuaire-births-1840-1873:statistical,belgium,source-native,statistical-reporting,1840,1874,partial,Annuaire 1874 birth table domain (1840-1873),Таблица рождений ежегодника 1874 (1840-1873),source:belgium-statbel-annuaire-1874
territory-version:belgium:annuaire-1874:statistical,belgium,source-native,statistical-reporting,1874,1875,partial,“Le royaume” in the Annuaire statistique 1874,«Le royaume» в статистическом ежегоднике 1874,source:belgium-statbel-annuaire-1874
territory-version:belgium:european-composition-1900:effective-target,belgium,retrospective-target,effective-administration,1800,1901,partial,European Belgium in 1900 composition (effective branch),Европейская Бельгия в границах 1900 (фактическая ветвь),source:treaty-belgium-netherlands-1839; source:belgium-statbel-annuaire-1874
territory-version:belgium:european-composition-1900:legal-target,belgium,retrospective-target,legal,1800,1901,partial,European Belgium in 1900 composition (legal branch),Европейская Бельгия в границах 1900 (правовая ветвь),source:treaty-belgium-netherlands-1839; source:belgium-statbel-annuaire-1874
territory-version:belgium:european-composition-1900:statistical-target,belgium,retrospective-target,statistical-reporting,1800,1901,partial,European Belgium in 1900 composition (statistical branch),Европейская Бельгия в границах 1900 (статистическая ветвь),source:treaty-belgium-netherlands-1839; source:belgium-statbel-annuaire-1874
territory-version:france:napoleonic-departments:1800-1815:statistical,france,source-native,statistical-reporting,1800,1815,partial,Napoleonic departments (1800-1815),Наполеоновские департаменты (1800-1815),source:insee-sgf-france-historical-1800-1925
territory-version:france:sgf-t87-births:1800-1820:statistical,france,source-native,statistical-reporting,1800,1821,partial,Table T87 (INSEE-SGF): births 1800-1820,Таблица T87 (INSEE-SGF): рождения 1800-1820,source:insee-sgf-france-historical-1800-1925
territory-version:france:sgf-t86-population:1801-1836:statistical,france,source-native,statistical-reporting,1801,1837,partial,Table T86 (INSEE-SGF): population by department 1801-1836,Таблица T86 (INSEE-SGF): население по департаментам 1801-1836,source:insee-sgf-france-historical-1800-1925
territory-version:france:post-1815:1815-1860:effective,france,source-native,effective-administration,1815,1860,unresolved,"France after 1815, without Savoy and Nice",Франция после 1815 без Савойи и Ниццы,
territory-version:france:sgf:1834-1837:statistical,france,source-native,statistical-reporting,1834,1838,partial,"Statistique générale de la France, tables 1834-1837","Statistique générale de la France, таблицы 1834-1837",source:insee-sgf-france-historical-1800-1925
territory-version:france:post-turin:1860-1871:legal,france,source-native,legal,1860,1871,partial,France with Savoy and Nice (1860-1871),Франция с Савойей и Ниццей (1860-1871),source:france-sardinia-treaty-turin-1860
territory-version:france:post-frankfurt:1871-1900:effective,france,source-native,effective-administration,1871,,partial,"France after 1871, without Alsace-Lorraine",Франция после 1871 без Эльзаса и Лотарингии,source:sgf-annuaire-france-1899
territory-version:france:annuaire-table34:1881-1898:statistical,france,source-native,statistical-reporting,1881,1899,partial,Annuaire 1899 Table 34: population movement 1881-1898,Таблица 34 ежегодника 1899: движение населения 1881-1898,source:sgf-annuaire-france-1899
territory-version:france:annuaire-1899:statistical,france,source-native,statistical-reporting,1899,1900,partial,France in the Annuaire statistique 1899,Франция в статистическом ежегоднике 1899,source:sgf-annuaire-france-1899
territory-version:france:european-composition-1900:effective-target,france,retrospective-target,effective-administration,1800,1901,partial,European France in 1900 composition (effective branch),Европейская Франция в границах 1900 (фактическая ветвь),source:france-sardinia-treaty-turin-1860; source:sgf-annuaire-france-1899
territory-version:france:european-composition-1900:legal-target,france,retrospective-target,legal,1800,1901,partial,European France in 1900 composition (legal branch),Европейская Франция в границах 1900 (правовая ветвь),source:france-sardinia-treaty-turin-1860; source:sgf-annuaire-france-1899
territory-version:france:european-composition-1900:statistical-target,france,retrospective-target,statistical-reporting,1800,1901,partial,European France in 1900 composition (statistical branch),Европейская Франция в границах 1900 (статистическая ветвь),source:france-sardinia-treaty-turin-1860; source:sgf-annuaire-france-1899
territory-version:netherlands:batavian-republic:1795-1806:administrative,netherlands,source-native,effective-administration,1795,1806,partial,Batavian Republic,Батавская республика,source:nl-na-regime-inventory-2-01-01-01
territory-version:netherlands:hna-current-northern:1800-1913:retrospective,netherlands,source-native,retrospective-analytical,1800,1914,partial,"HNA reconstruction: northern Netherlands in current borders, 1800-1913","Реконструкция HNA: северные Нидерланды в нынешних границах, 1800-1913",source:smits-horlings-vanzanden-2000-dutch-gnp
territory-version:netherlands:paping-current-territory:1800-1849:retrospective,netherlands,source-native,retrospective-analytical,1800,1850,partial,"Paping reconstruction: current territory, 1800-1849","Реконструкция Папинга: нынешняя территория, 1800-1849",source:paping-2014-dutch-population
territory-version:netherlands:cbs-table2:1804-1830:statistical,netherlands,source-native,statistical-reporting,1804,1831,partial,CBS Table 2: 1804-1830,Таблица 2 CBS: 1804-1830,source:nl-cbs-200-years-1800-1999
territory-version:netherlands:kingdom-holland:1806-1810:administrative,netherlands,source-native,effective-administration,1806,1810,partial,Kingdom of Holland (1806-1810),Королевство Голландия (1806-1810),source:nl-na-regime-inventory-2-01-01-01
territory-version:netherlands:french-annexation:1810-1813:administrative,netherlands,source-native,effective-administration,1810,1813,partial,French annexation (1810-1813),Французская аннексия (1810-1813),source:nl-na-regime-inventory-2-01-01-01
territory-version:netherlands:sovereign-principality:1813-1815:administrative,netherlands,source-native,effective-administration,1813,1815,partial,Sovereign principality (1813-1815),Суверенное княжество (1813-1815),source:nl-na-regime-inventory-2-01-01-01; source:nl-na-treaty-inventory-2-05-02
territory-version:netherlands:united-kingdom:1815-1830:legal,netherlands,source-native,legal,1815,1830,partial,United Kingdom of the Netherlands (1815-1830),Соединённое королевство Нидерландов (1815-1830),source:nl-na-treaty-inventory-2-05-02; source:smits-horlings-vanzanden-2000-dutch-gnp
territory-version:netherlands:de-facto-separation:1830-1839:effective,netherlands,source-native,effective-administration,1830,1839,partial,Netherlands after the de facto separation of Belgium,Нидерланды после фактического отделения Бельгии,source:nl-na-treaty-inventory-2-05-02
territory-version:netherlands:cbs-table2:1831-1839:statistical,netherlands,source-native,statistical-reporting,1831,1840,partial,"CBS Table 2: 1831-1839 (without Belgium, before the treaty)","Таблица 2 CBS: 1831-1839 (без Бельгии, до договора)",source:nl-cbs-200-years-1800-1999
territory-version:netherlands:post-treaty:1839-1890:legal,netherlands,source-native,legal,1839,1890,partial,Netherlands under the 1839 treaty (Luxembourg in personal union),Нидерланды по договору 1839 (с Люксембургом в личной унии),source:nl-na-treaty-inventory-2-05-02
territory-version:netherlands:cbs-table2:1840-1875:statistical,netherlands,source-native,statistical-reporting,1840,1876,partial,CBS Table 2: 1840-1875,Таблица 2 CBS: 1840-1875,source:nl-cbs-200-years-1800-1999
territory-version:netherlands:post-personal-union:1890-1900:legal,netherlands,source-native,legal,1890,,partial,"Netherlands after 1890, without Luxembourg",Нидерланды после 1890 без Люксембурга,source:nl-na-treaty-inventory-2-05-02; source:nl-cbs-200-years-1800-1999
territory-version:netherlands:european-composition-1900:effective-target,netherlands,retrospective-target,effective-administration,1800,1901,partial,European Netherlands in 1900 composition (effective branch),Европейские Нидерланды в границах 1900 (фактическая ветвь),source:nl-na-treaty-inventory-2-05-02; source:nl-cbs-200-years-1800-1999
territory-version:netherlands:european-composition-1900:legal-target,netherlands,retrospective-target,legal,1800,1901,partial,European Netherlands in 1900 composition (legal branch),Европейские Нидерланды в границах 1900 (правовая ветвь),source:nl-na-treaty-inventory-2-05-02; source:nl-cbs-200-years-1800-1999
territory-version:netherlands:european-composition-1900:statistical-target,netherlands,retrospective-target,statistical-reporting,1800,1901,partial,European Netherlands in 1900 composition (statistical branch),Европейские Нидерланды в границах 1900 (статистическая ветвь),source:nl-na-treaty-inventory-2-05-02; source:nl-cbs-200-years-1800-1999
