observation,period_start,period_end,concept,value,unit,literal_state,territory_version,population_universe,reference_time,source,locator
observation:dg1c:fr-sgf-annuaire-table34-deaths-female-1881,1881,1881,death,399070,events,,territory-version:france:annuaire-table34:1881-1898:statistical,source-defined-unresolved,,source:sgf-annuaire-france-1899,"Annuaire statistique 1899, printed p.32, table 34, canvas f64, number of female deaths column; exact row/cell: table 34 row 1881, number of female deaths column"
observation:dg1c:fr-sgf-annuaire-table34-deaths-female-1882,1882,1882,death,402716,events,,territory-version:france:annuaire-table34:1881-1898:statistical,source-defined-unresolved,,source:sgf-annuaire-france-1899,"Annuaire statistique 1899, printed p.32, table 34, canvas f64, number of female deaths column; exact row/cell: table 34 row 1882, number of female deaths column"
observation:dg1c:fr-sgf-annuaire-table34-deaths-female-1883,1883,1883,death,404485,events,,territory-version:france:annuaire-table34:1881-1898:statistical,source-defined-unresolved,,source:sgf-annuaire-france-1899,"Annuaire statistique 1899, printed p.32, table 34, canvas f64, number of female deaths column; exact row/cell: table 34 row 1883, number of female deaths column"
observation:dg1c:fr-sgf-annuaire-table34-deaths-female-1884,1884,1884,death,412229,events,,territory-version:france:annuaire-table34:1881-1898:statistical,source-defined-unresolved,,source:sgf-annuaire-france-1899,"Annuaire statistique 1899, printed p.32, table 34, canvas f64, number of female deaths column; exact row/cell: table 34 row 1884, number of female deaths column"
observation:dg1c:fr-sgf-annuaire-table34-deaths-female-1885,1885,1885,death,402044,events,,territory-version:france:annuaire-table34:1881-1898:statistical,source-defined-unresolved,,source:sgf-annuaire-france-1899,"Annuaire statistique 1899, printed p.32, table 34, canvas f64, number of female deaths column; exact row/cell: table 34 row 1885, number of female deaths column"
observation:dg1c:fr-sgf-annuaire-table34-deaths-female-1886,1886,1886,death,413847,events,,territory-version:france:annuaire-table34:1881-1898:statistical,source-defined-unresolved,,source:sgf-annuaire-france-1899,"Annuaire statistique 1899, printed p.32, table 34, canvas f64, number of female deaths column; exact row/cell: table 34 row 1886, number of female deaths column"
observation:dg1c:fr-sgf-annuaire-table34-deaths-female-1887,1887,1887,death,406740,events,,territory-version:france:annuaire-table34:1881-1898:statistical,source-defined-unresolved,,source:sgf-annuaire-france-1899,"Annuaire statistique 1899, printed p.32, table 34, canvas f64, number of female deaths column; exact row/cell: table 34 row 1887, number of female deaths column"
observation:dg1c:fr-sgf-annuaire-table34-deaths-female-1888,1888,1888,death,401644,events,,territory-version:france:annuaire-table34:1881-1898:statistical,source-defined-unresolved,,source:sgf-annuaire-france-1899,"Annuaire statistique 1899, printed p.32, table 34, canvas f64, number of female deaths column; exact row/cell: table 34 row 1888, number of female deaths column"
observation:dg1c:fr-sgf-annuaire-table34-deaths-female-1889,1889,1889,death,382600,events,,territory-version:france:annuaire-table34:1881-1898:statistical,source-defined-unresolved,,source:sgf-annuaire-france-1899,"Annuaire statistique 1899, printed p.32, table 34, canvas f64, number of female deaths column; exact row/cell: table 34 row 1889, number of female deaths column"
observation:dg1c:fr-sgf-annuaire-table34-deaths-female-1890,1890,1890,death,422632,events,,territory-version:france:annuaire-table34:1881-1898:statistical,source-defined-unresolved,,source:sgf-annuaire-france-1899,"Annuaire statistique 1899, printed p.32, table 34, canvas f64, number of female deaths column; exact row/cell: table 34 row 1890, number of female deaths column"
observation:dg1c:fr-sgf-annuaire-table34-deaths-female-1891,1891,1891,death,423797,events,,territory-version:france:annuaire-table34:1881-1898:statistical,source-defined-unresolved,,source:sgf-annuaire-france-1899,"Annuaire statistique 1899, printed p.32, table 34, canvas f64, number of female deaths column; exact row/cell: table 34 row 1891, number of female deaths column"
