observation,period_start,period_end,concept,value,unit,literal_state,territory_version,population_universe,reference_time,source,locator
observation:dg1c:nl-cbs-population-1804,1804-01-01,1804-01-01,population,2155000,persons,,territory-version:netherlands:cbs-table2:1804-1830:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1804, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1805,1805-01-01,1805-01-01,population,2165000,persons,,territory-version:netherlands:cbs-table2:1804-1830:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1805, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1806,1806-01-01,1806-01-01,population,2178000,persons,,territory-version:netherlands:cbs-table2:1804-1830:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1806, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1807,1807-01-01,1807-01-01,population,2192000,persons,,territory-version:netherlands:cbs-table2:1804-1830:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1807, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1808,1808-01-01,1808-01-01,population,2196000,persons,,territory-version:netherlands:cbs-table2:1804-1830:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1808, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1809,1809-01-01,1809-01-01,population,2191000,persons,,territory-version:netherlands:cbs-table2:1804-1830:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1809, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1810,1810-01-01,1810-01-01,population,2194000,persons,,territory-version:netherlands:cbs-table2:1804-1830:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1810, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1811,1811-01-01,1811-01-01,population,2201000,persons,,territory-version:netherlands:cbs-table2:1804-1830:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1811, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1812,1812-01-01,1812-01-01,population,2208000,persons,,territory-version:netherlands:cbs-table2:1804-1830:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1812, column 1 Inwoners"
observation:dg1c:nl-cbs-population-1813,1813-01-01,1813-01-01,population,2215000,persons,,territory-version:netherlands:cbs-table2:1804-1830:statistical,source-defined-unresolved,,source:nl-cbs-200-years-1800-1999,"Table 2, physical PDF p.14, column 1 Inwoners; definition note physical p.16; exact row/cell: Table 2 physical p.14, row 1813, column 1 Inwoners"
