observation,period_start,period_end,concept,value,unit,literal_state,territory_version,population_universe,reference_time,source,locator
observation:dg1c:nl-hna-births-1800,1800,1800,live-birth,66467,events,,territory-version:netherlands:hna-current-northern:1800-1913:retrospective,source-defined-unresolved,,source:smits-horlings-vanzanden-2000-dutch-gnp,"Table A.1, physical PDF p.122 / printed p.109, number of births column; exact row/cell: Table A.1 row 1800, number of births column"
observation:dg1c:nl-hna-births-1801,1801,1801,live-birth,66467,events,,territory-version:netherlands:hna-current-northern:1800-1913:retrospective,source-defined-unresolved,,source:smits-horlings-vanzanden-2000-dutch-gnp,"Table A.1, physical PDF p.122 / printed p.109, number of births column; exact row/cell: Table A.1 row 1801, number of births column"
observation:dg1c:nl-hna-births-1802,1802,1802,live-birth,66467,events,,territory-version:netherlands:hna-current-northern:1800-1913:retrospective,source-defined-unresolved,,source:smits-horlings-vanzanden-2000-dutch-gnp,"Table A.1, physical PDF p.122 / printed p.109, number of births column; exact row/cell: Table A.1 row 1802, number of births column"
observation:dg1c:nl-hna-births-1803,1803,1803,live-birth,66467,events,,territory-version:netherlands:hna-current-northern:1800-1913:retrospective,source-defined-unresolved,,source:smits-horlings-vanzanden-2000-dutch-gnp,"Table A.1, physical PDF p.122 / printed p.109, number of births column; exact row/cell: Table A.1 row 1803, number of births column"
observation:dg1c:nl-hna-births-1804,1804,1804,live-birth,67550,events,,territory-version:netherlands:hna-current-northern:1800-1913:retrospective,source-defined-unresolved,,source:smits-horlings-vanzanden-2000-dutch-gnp,"Table A.1, physical PDF p.122 / printed p.109, number of births column; exact row/cell: Table A.1 row 1804, number of births column"
observation:dg1c:nl-hna-births-1805,1805,1805,live-birth,68177,events,,territory-version:netherlands:hna-current-northern:1800-1913:retrospective,source-defined-unresolved,,source:smits-horlings-vanzanden-2000-dutch-gnp,"Table A.1, physical PDF p.122 / printed p.109, number of births column; exact row/cell: Table A.1 row 1805, number of births column"
observation:dg1c:nl-hna-births-1806,1806,1806,live-birth,68911,events,,territory-version:netherlands:hna-current-northern:1800-1913:retrospective,source-defined-unresolved,,source:smits-horlings-vanzanden-2000-dutch-gnp,"Table A.1, physical PDF p.122 / printed p.109, number of births column; exact row/cell: Table A.1 row 1806, number of births column"
observation:dg1c:nl-hna-births-1807,1807,1807,live-birth,69233,events,,territory-version:netherlands:hna-current-northern:1800-1913:retrospective,source-defined-unresolved,,source:smits-horlings-vanzanden-2000-dutch-gnp,"Table A.1, physical PDF p.122 / printed p.109, number of births column; exact row/cell: Table A.1 row 1807, number of births column"
observation:dg1c:nl-hna-births-1808,1808,1808,live-birth,65301,events,,territory-version:netherlands:hna-current-northern:1800-1913:retrospective,source-defined-unresolved,,source:smits-horlings-vanzanden-2000-dutch-gnp,"Table A.1, physical PDF p.122 / printed p.109, number of births column; exact row/cell: Table A.1 row 1808, number of births column"
observation:dg1c:nl-hna-births-1809,1809,1809,live-birth,63729,events,,territory-version:netherlands:hna-current-northern:1800-1913:retrospective,source-defined-unresolved,,source:smits-horlings-vanzanden-2000-dutch-gnp,"Table A.1, physical PDF p.122 / printed p.109, number of births column; exact row/cell: Table A.1 row 1809, number of births column"
