record_id,source_id,period_start,period_end,geography,quantity_definition,value,unit,status,calculation,source_locator,notes
eic-imports-1824,source:east-india-company-cotton-wool-1836,1824,1824,Great Britain,aggregate raw cotton imports,149380122,pounds-per-year,source-reported,none,Report 1836 printed p xviii row 1824,customs aggregate
eic-raw-exports-1824,source:east-india-company-cotton-wool-1836,1824,1824,Great Britain,raw cotton exports of all growths,13299505,pounds-per-year,source-reported,none,Report 1836 printed p xviii row 1824,customs aggregate
eic-home-entry-1824,source:east-india-company-cotton-wool-1836,1824,1824,Great Britain,raw cotton entered for home consumption of all growths,141038743,pounds-per-year,source-reported,none,Report 1836 printed p xviii row 1824,bonded or customs release not mill feed
eic-imports-1825,source:east-india-company-cotton-wool-1836,1825,1825,Great Britain,aggregate raw cotton imports,228005291,pounds-per-year,source-reported,none,Report 1836 printed p xviii row 1825,customs aggregate
eic-raw-exports-1825,source:east-india-company-cotton-wool-1836,1825,1825,Great Britain,raw cotton exports of all growths,18004953,pounds-per-year,source-reported,none,Report 1836 printed p xviii row 1825,customs aggregate
eic-home-entry-1825,source:east-india-company-cotton-wool-1836,1825,1825,Great Britain,raw cotton entered for home consumption of all growths,202546869,pounds-per-year,source-reported,none,Report 1836 printed p xviii row 1825,bonded or customs release not mill feed
eic-imports-1826,source:east-india-company-cotton-wool-1836,1826,1826,Great Britain,aggregate raw cotton imports,177607401,pounds-per-year,source-reported,none,Report 1836 printed p xviii row 1826,customs aggregate
eic-raw-exports-1826,source:east-india-company-cotton-wool-1836,1826,1826,Great Britain,raw cotton exports of all growths,24474920,pounds-per-year,source-reported,none,Report 1836 printed p xviii row 1826,customs aggregate
eic-home-entry-1826,source:east-india-company-cotton-wool-1836,1826,1826,Great Britain,raw cotton entered for home consumption of all growths,162889012,pounds-per-year,source-reported,none,Report 1836 printed p xviii row 1826,bonded or customs release not mill feed
eic-imports-1827,source:east-india-company-cotton-wool-1836,1827,1827,Great Britain,aggregate raw cotton imports,272448909,pounds-per-year,source-reported,none,Report 1836 printed p xviii row 1827,customs aggregate
eic-raw-exports-1827,source:east-india-company-cotton-wool-1836,1827,1827,Great Britain,raw cotton exports of all growths,18134170,pounds-per-year,source-reported,none,Report 1836 printed p xviii row 1827,customs aggregate
eic-home-entry-1827,source:east-india-company-cotton-wool-1836,1827,1827,Great Britain,raw cotton entered for home consumption of all growths,249804396,pounds-per-year,source-reported,none,Report 1836 printed p xviii row 1827,bonded or customs release not mill feed
eic-imports-1828,source:east-india-company-cotton-wool-1836,1828,1828,Great Britain,aggregate raw cotton imports,227760642,pounds-per-year,source-reported,none,Report 1836 printed p xviii row 1828,customs aggregate
eic-raw-exports-1828,source:east-india-company-cotton-wool-1836,1828,1828,Great Britain,raw cotton exports of all growths,17396776,pounds-per-year,source-reported,none,Report 1836 printed p xviii row 1828,customs aggregate
eic-home-entry-1828,source:east-india-company-cotton-wool-1836,1828,1828,Great Britain,raw cotton entered for home consumption of all growths,208987744,pounds-per-year,source-reported,none,Report 1836 printed p xviii row 1828,bonded or customs release not mill feed
eic-imports-five-year-mean,source:east-india-company-cotton-wool-1836,1824,1828,Great Britain,aggregate raw cotton imports annual mean,211040473,pounds-per-year,curator-derived,arithmetic mean of five annual rows,Report 1836 printed p xviii,customs aggregate
eic-raw-exports-five-year-mean,source:east-india-company-cotton-wool-1836,1824,1828,Great Britain,raw cotton exports annual mean,18262064.8,pounds-per-year,curator-derived,arithmetic mean of five annual rows,Report 1836 printed p xviii,customs aggregate
eic-net-imports-five-year-mean,source:east-india-company-cotton-wool-1836,1824,1828,Great Britain,net raw cotton imports annual mean,192778408.2,pounds-per-year,curator-derived,imports minus raw exports by year then arithmetic mean,Report 1836 printed p xviii,does not account for stock changes or non-spinning use
eic-home-entry-five-year-mean,source:east-india-company-cotton-wool-1836,1824,1828,Great Britain,raw cotton entered for home consumption annual mean,193053352.8,pounds-per-year,curator-derived,arithmetic mean of five annual rows,Report 1836 printed p xviii,customs release is not actual spinning input
eic-home-entry-minus-net-imports-mean,source:east-india-company-cotton-wool-1836,1824,1828,Great Britain,home-entry less net-import annual mean,274944.6,pounds-per-year,curator-derived,annual home-entry minus annual net imports then mean,Report 1836 printed p xviii,annual differences change sign and expose inventory timing
