record_id,source_id,period_start,period_end,geography,quantity_definition,value,unit,status,calculation,source_locator,notes
ellison-raw-cotton-consumption-1824,source:ellison-1886-cotton-trade,1824,1824,Great Britain,inventory-balanced estimate of actual raw cotton consumption,165200000,pounds-raw-cotton-per-year,reported-point,"printed 165.2 million lb converted to pounds",Table No. 1 foldout scan PDF p. 373,"Retrospective broker-statistical national estimate including port and mill stock change; reported resolution 0.1 million lb; not direct mill weigh-in"
ellison-raw-cotton-consumption-1825,source:ellison-1886-cotton-trade,1825,1825,Great Britain,inventory-balanced estimate of actual raw cotton consumption,166800000,pounds-raw-cotton-per-year,reported-point,"printed 166.8 million lb converted to pounds",Table No. 1 foldout scan PDF p. 373,"Retrospective broker-statistical national estimate including port and mill stock change; reported resolution 0.1 million lb; not direct mill weigh-in"
ellison-raw-cotton-consumption-1826,source:ellison-1886-cotton-trade,1826,1826,Great Britain,inventory-balanced estimate of actual raw cotton consumption,150200000,pounds-raw-cotton-per-year,reported-point,"printed 150.2 million lb converted to pounds",Table No. 1 foldout scan PDF p. 373,"Retrospective broker-statistical national estimate including port and mill stock change; reported resolution 0.1 million lb; not direct mill weigh-in"
ellison-raw-cotton-consumption-1827,source:ellison-1886-cotton-trade,1827,1827,Great Britain,inventory-balanced estimate of actual raw cotton consumption,187200000,pounds-raw-cotton-per-year,reported-point,"printed 187.2 million lb converted to pounds",Table No. 1 foldout scan PDF p. 373,"Retrospective broker-statistical national estimate including port and mill stock change; reported resolution 0.1 million lb; not direct mill weigh-in"
ellison-raw-cotton-consumption-1828,source:ellison-1886-cotton-trade,1828,1828,Great Britain,inventory-balanced estimate of actual raw cotton consumption,217900000,pounds-raw-cotton-per-year,reported-point,"printed 217.9 million lb converted to pounds",Table No. 1 foldout scan PDF p. 373,"Retrospective broker-statistical national estimate including port and mill stock change; reported resolution 0.1 million lb; not direct mill weigh-in"
ellison-raw-cotton-consumption-mean-1824-1828,source:ellison-1886-cotton-trade,1824,1828,Great Britain,arithmetic mean of five inventory-balanced annual consumption estimates,177460000,pounds-raw-cotton-per-year,within-source-arithmetic,"(165200000+166800000+150200000+187200000+217900000)/5",Table No. 1 foldout scan PDF p. 373,"Exact arithmetic on printed cells; display precision should not exceed 0.1 million lb"
great-britain-raw-cotton-stock-1823,source:ellison-1886-cotton-trade,1823,1823,Great Britain,total raw cotton stock at year end,214600,bales,count-reported,"literal narrative value",printed p. 89 scan PDF p. 105,"Narrative comparator used to establish material stock change; heterogeneous bale weights"
great-britain-raw-cotton-stock-1824,source:ellison-1886-cotton-trade,1824,1824,Great Britain,total raw cotton stock at year end,95500,bales,count-reported,"literal narrative value",printed p. 89 scan PDF p. 105,"Narrative comparator used to establish material stock change; heterogeneous bale weights"
great-britain-raw-cotton-stock-1827,source:ellison-1886-cotton-trade,1827,1827,Great Britain,total raw cotton stock at year end,334900,bales,count-reported,"literal narrative value",printed p. 89 scan PDF p. 105,"Includes 92000 bales at mills or in the hands of Manchester dealers; heterogeneous bale weights"
mills-or-manchester-dealers-raw-cotton-stock-1827,source:ellison-1886-cotton-trade,1827,1827,Great Britain,mill stocks or stock in the hands of Manchester dealers included in Great Britain total,92000,bales,count-reported,"literal narrative value",printed p. 89 scan PDF p. 105,"Mill locations are not stated; only the dealer location is explicitly Manchester; not a complete mill-stock census"
