record_id,source_id,period_start,period_end,geography,quantity_definition,value,unit,status,calculation,source_locator,notes
great-britain-raw-cotton-consumed-spinning-1832,source:factories-inquiry-1834-supplementary-report,1832,1832,Great Britain,raw cotton consumed in spinning,277260490,pounds-raw-cotton-per-year,reported-author-input,"literal value attributed to Burn's Commercial Glance",Part I printed p. 137 BSB canvas 181,"Comparator year only; report is not an independent mill census"
scotland-raw-cotton-consumed-spinning-1832,source:factories-inquiry-1834-supplementary-report,1832,1832,Scotland,raw cotton consumed in spinning,27327120,pounds-raw-cotton-per-year,reported-author-input,"literal value",Part I printed p. 137 BSB canvas 181,"Used by the report to derive England consumption"
england-raw-cotton-consumed-spinning-1832,source:factories-inquiry-1834-supplementary-report,1832,1832,England,raw cotton consumed in spinning,249933370,pounds-raw-cotton-per-year,within-source-arithmetic,"277260490-27327120",Part I printed p. 137 BSB canvas 181,"Report's England calculation"
kennedy-spinning-loss-oz-per-lb,source:factories-inquiry-1834-supplementary-report,1832,1832,not stated,Kennedy estimate of net cotton loss in spinning,1.5,ounces-loss-per-pound-raw-cotton,reported-author-estimate,"literal value",Part I printed p. 137 BSB canvas 181,"Applied by the report to its 1832 calculation and adopted as generally considered correct; opinion date, empirical period and geography are not stated"
kennedy-spinning-loss-fraction,source:factories-inquiry-1834-supplementary-report,1832,1832,not stated,Kennedy estimate of net cotton loss in spinning,0.09375,fraction-of-raw-cotton-weight,within-source-normalization,"1.5/16",Part I printed p. 137 BSB canvas 181,"EconEvidence normalization of the report-adopted opinion; not a measured national rate; opinion date, empirical period and geography are not stated"
montgomery-spinning-loss-oz-per-lb,source:factories-inquiry-1834-supplementary-report,1832,1832,not stated,Montgomery estimate of net cotton loss in spinning,1.125,ounces-loss-per-pound-raw-cotton,reported-author-estimate,"literal value",Part I printed p. 137 BSB canvas 181,"Alternative quoted by the report but not adopted in its 1832 calculation; opinion date, empirical period and geography are not stated"
montgomery-spinning-loss-fraction,source:factories-inquiry-1834-supplementary-report,1832,1832,not stated,Montgomery estimate of net cotton loss in spinning,0.0703125,fraction-of-raw-cotton-weight,within-source-normalization,"1.125/16",Part I printed p. 137 BSB canvas 181,"EconEvidence conditional alternative derived from a quoted opinion; not a measured national rate; opinion date, empirical period and geography are not stated"
burn-spinning-loss-oz-per-lb,source:factories-inquiry-1834-supplementary-report,1832,1832,not stated,Burn estimate of net cotton loss in spinning,1.75,ounces-loss-per-pound-raw-cotton,reported-author-estimate,"literal value",Part I printed p. 137 BSB canvas 181,"Alternative quoted by the report but not adopted in its 1832 calculation; opinion date, empirical period and geography are not stated"
burn-spinning-loss-fraction,source:factories-inquiry-1834-supplementary-report,1832,1832,not stated,Burn estimate of net cotton loss in spinning,0.109375,fraction-of-raw-cotton-weight,within-source-normalization,"1.75/16",Part I printed p. 137 BSB canvas 181,"EconEvidence conditional alternative derived from a quoted opinion; not a measured national rate; opinion date, empirical period and geography are not stated"
england-yarn-output-kennedy-loss-1832,source:factories-inquiry-1834-supplementary-report,1832,1832,England,yarn weight after adopted Kennedy loss,226502117,pounds-yarn-per-year,reported-within-source-result,"249933370-23431253",Part I printed p. 137 BSB canvas 181,"Report's own result; rounding follows printed calculation"
