id,source_id,year,component,value,unit,valuation_basis,stock_concept,classification_axis,geography,source_location,derivation_status,availability_status,uncertainty_status,relation_id,derivation_operator,derived_from_ids,evidence_kind,evidence_use,asset_id,source_category_id
broadberry-depleijt.gross-fixed.1750.agriculture,broadberry-depleijt-2021,1750,agriculture,82125,GBP-thousands,constant-1700-prices,gross-capacity-stock,sector,Great Britain,Table 1B column 1,source,exact,not-quantified,broadberry-table-1b-1750,source-cell,,cross-check,incompatible-concept,,
broadberry-depleijt.gross-fixed.1750.industry,broadberry-depleijt-2021,1750,industry,7154,GBP-thousands,constant-1700-prices,gross-capacity-stock,sector,Great Britain,Table 1B column 2,source,exact,not-quantified,broadberry-table-1b-1750,source-cell,,cross-check,incompatible-concept,,
broadberry-depleijt.gross-fixed.1750.services,broadberry-depleijt-2021,1750,services,46405,GBP-thousands,constant-1700-prices,gross-capacity-stock,sector,Great Britain,Table 1B column 3,source,exact,not-quantified,broadberry-table-1b-1750,source-cell,,cross-check,incompatible-concept,,
broadberry-depleijt.gross-fixed.1750.dwellings,broadberry-depleijt-2021,1750,dwellings,69119,GBP-thousands,constant-1700-prices,gross-capacity-stock,sector,Great Britain,Table 1B column 4,source,exact,not-quantified,broadberry-table-1b-1750,source-cell,,cross-check,incompatible-concept,,
broadberry-depleijt.gross-fixed.1750.total-including-dwellings,broadberry-depleijt-2021,1750,total-including-dwellings,204803,GBP-thousands,constant-1700-prices,gross-capacity-stock,sector,Great Britain,Table 1B column 5,source,exact,not-quantified,broadberry-table-1b-1750,source-cell,,cross-check,incompatible-concept,,
broadberry-depleijt.gross-fixed.1750.total-excluding-dwellings,broadberry-depleijt-2021,1750,total-excluding-dwellings,135684,GBP-thousands,constant-1700-prices,gross-capacity-stock,sector,Great Britain,Table 1B column 6,source,exact,not-quantified,broadberry-table-1b-1750,source-cell,,cross-check,incompatible-concept,,
broadberry-depleijt.gross-fixed.1800.agriculture,broadberry-depleijt-2021,1800,agriculture,105780,GBP-thousands,constant-1700-prices,gross-capacity-stock,sector,Great Britain,Table 1B column 1,source,exact,not-quantified,broadberry-table-1b-1800,source-cell,,cross-check,incompatible-concept,,
broadberry-depleijt.gross-fixed.1800.industry,broadberry-depleijt-2021,1800,industry,24846,GBP-thousands,constant-1700-prices,gross-capacity-stock,sector,Great Britain,Table 1B column 2,source,exact,not-quantified,broadberry-table-1b-1800,source-cell,,cross-check,incompatible-concept,,
broadberry-depleijt.gross-fixed.1800.services,broadberry-depleijt-2021,1800,services,91184,GBP-thousands,constant-1700-prices,gross-capacity-stock,sector,Great Britain,Table 1B column 3,source,exact,not-quantified,broadberry-table-1b-1800,source-cell,,cross-check,incompatible-concept,,
broadberry-depleijt.gross-fixed.1800.dwellings,broadberry-depleijt-2021,1800,dwellings,90811,GBP-thousands,constant-1700-prices,gross-capacity-stock,sector,Great Britain,Table 1B column 4,source,exact,not-quantified,broadberry-table-1b-1800,source-cell,,cross-check,incompatible-concept,,
broadberry-depleijt.gross-fixed.1800.total-including-dwellings,broadberry-depleijt-2021,1800,total-including-dwellings,312621,GBP-thousands,constant-1700-prices,gross-capacity-stock,sector,Great Britain,Table 1B column 5,source,exact,not-quantified,broadberry-table-1b-1800,source-cell,,cross-check,incompatible-concept,,
broadberry-depleijt.gross-fixed.1800.total-excluding-dwellings,broadberry-depleijt-2021,1800,total-excluding-dwellings,221810,GBP-thousands,constant-1700-prices,gross-capacity-stock,sector,Great Britain,Table 1B column 6,source,exact,not-quantified,broadberry-table-1b-1800,source-cell,,cross-check,incompatible-concept,,
kennedy.net-sector.1760.total,kennedy-2021,1760,total,248,GBP-millions,constant-1851-prices,net-wealth-stock,sector,Great Britain,capital section and Figure 3 lineage,source,exact,not-quantified,kennedy-sector-1760,source-cell,,opening-level,incompatible-classification-axis,,
kennedy.net-sector.1760.agriculture,kennedy-2021,1760,agriculture,77,GBP-millions,constant-1851-prices,net-wealth-stock,sector,Great Britain,capital section and Figure 3 lineage,source,exact,not-quantified,kennedy-sector-1760,source-cell,,opening-level,incompatible-classification-axis,,
kennedy.net-sector.1760.mining,kennedy-2021,1760,mining,1,GBP-millions,constant-1851-prices,net-wealth-stock,sector,Great Britain,capital section and Figure 3 lineage,source,approximate,not-quantified,kennedy-sector-1760,source-cell,,opening-level,incompatible-classification-axis,,
kennedy.net-sector.1760.goods-services-residual,kennedy-2021,1760,goods-services-residual,170,GBP-millions,constant-1851-prices,net-wealth-stock,sector,Great Britain,total minus agriculture minus approximate mining,derived,approximate,not-quantified,kennedy-sector-1760,subtract,kennedy.net-sector.1760.total|kennedy.net-sector.1760.agriculture|kennedy.net-sector.1760.mining,cross-check,incompatible-classification-axis,,
