period_start,period_end,geography,quantity_definition,annual_average_million_lb,underlying_source,underlying_locator,source_table
1697,1699,Great Britain,raw-cotton-consumption-measured-by-retained-imports,1.1,Wadsworth and Mann 1931,Appendix G,Table 1
1700,1709,Great Britain,raw-cotton-consumption-measured-by-retained-imports,1.1,Wadsworth and Mann 1931,Appendix G,Table 1
1710,1719,Great Britain,raw-cotton-consumption-measured-by-retained-imports,1.3,Wadsworth and Mann 1931,Appendix G,Table 1
1720,1729,Great Britain,raw-cotton-consumption-measured-by-retained-imports,1.5,Wadsworth and Mann 1931,Appendix G,Table 1
1730,1739,Great Britain,raw-cotton-consumption-measured-by-retained-imports,1.7,Wadsworth and Mann 1931,Appendix G,Table 1
1740,1749,Great Britain,raw-cotton-consumption-measured-by-retained-imports,2.1,Wadsworth and Mann 1931,Appendix G,Table 1
1750,1759,Great Britain,raw-cotton-consumption-measured-by-retained-imports,2.8,Wadsworth and Mann 1931,Appendix G,Table 1
1760,1769,Great Britain,raw-cotton-consumption-measured-by-retained-imports,3.5,Wadsworth and Mann 1931,Appendix G,Table 1
1770,1779,Great Britain,raw-cotton-consumption-measured-by-retained-imports,4.8,Wadsworth and Mann 1931,Appendix G,Table 1
1780,1789,Great Britain,raw-cotton-consumption-measured-by-retained-imports,15.5,Baines 1835,page 347,Table 1
1790,1799,Great Britain,raw-cotton-consumption-measured-by-retained-imports,28.6,Baines 1835,page 347,Table 1
1800,1809,Great Britain,raw-cotton-consumption-measured-by-retained-imports,59.6,Baines 1835,page 347,Table 1
1810,1819,Great Britain,raw-cotton-consumption-measured-by-retained-imports,93.4,Ellison 1886,Table 1,Table 1
1820,1829,Great Britain,raw-cotton-consumption-measured-by-retained-imports,166.5,Ellison 1886,Table 1,Table 1
1830,1839,Great Britain,raw-cotton-consumption-measured-by-retained-imports,320.7,Ellison 1886,Table 1,Table 1
1840,1849,Great Britain,raw-cotton-consumption-measured-by-retained-imports,526.3,Ellison 1886,Table 1,Table 1
