record_id,source_id,period_start,period_end,geography,quantity_definition,value,unit,status,calculation,source_locator,notes
raw-imports-five-year-mean,source:hansard-1830-cotton-disposition,1824,1828,Great Britain,raw cotton imported annual mean,210886992,pounds-per-year,source-reported,none,HC Deb 18 March 1830 vol 23 cols 589-590,five-year annual average
raw-reexports-five-year-mean,source:hansard-1830-cotton-disposition,1824,1828,Great Britain,raw cotton exported annual mean,21298800,pounds-per-year,source-reported,none,HC Deb 18 March 1830 vol 23 cols 589-590,five-year annual average
retained-raw-five-year-mean,source:hansard-1830-cotton-disposition,1824,1828,Great Britain,raw cotton left for manufacture annual mean,189588192,pounds-per-year,source-reported,imports minus raw exports,HC Deb 18 March 1830 vol 23 cols 589-590,not adjusted for raw stock change or non-spinning use
yarn-export-raw-equivalent-reported,source:hansard-1830-cotton-disposition,1824,1828,Great Britain,direct cotton yarn export expressed as raw-cotton equivalent,48472202,pounds-raw-equivalent-per-year,source-reported,one-eighth added for waste,HC Deb 18 March 1830 vol 23 cols 589-590,not actual yarn weight; implied actual weight requires reversing the reported uplift
export-cloth-five-year-mean,source:hansard-1830-cotton-disposition,1824,1828,Great Britain,exported cotton cloth annual mean,360265256,yards-per-year,source-reported,none,HC Deb 18 March 1830 vol 23 cols 589-590,all cotton cloth kinds pooled
home-cloth-five-year-mean,source:hansard-1830-cotton-disposition,1824,1828,Great Britain,cotton cloth retained for home consumption annual mean,399678923,yards-per-year,source-reported,none,HC Deb 18 March 1830 vol 23 cols 589-590,route of underlying home-consumption estimate not stated
yarn-waste-uplift,source:hansard-1830-cotton-disposition,1824,1828,Great Britain,raw-equivalent uplift applied to exported yarn,0.125,fraction-of-yarn-weight,source-reported,one eighth,HC Deb 18 March 1830 vol 23 cols 589-590,assumption rather than measured national process loss
export-cloth-yield,source:hansard-1830-cotton-disposition,1824,1828,Great Britain,export cotton cloth conversion,6,yards-per-pound-raw-equivalent,source-reported,assumed yield,HC Deb 18 March 1830 vol 23 cols 589-590,practical approximation across all cloth kinds
home-cloth-yield,source:hansard-1830-cotton-disposition,1824,1828,Great Britain,home cotton cloth conversion,5,yards-per-pound-raw-equivalent,source-reported,assumed yield,HC Deb 18 March 1830 vol 23 cols 589-590,practical approximation across all cloth kinds
export-cloth-raw-equivalent,source:hansard-1830-cotton-disposition,1824,1828,Great Britain,raw cotton embodied in exported cloth,60044209.333333333333333333333,pounds-raw-equivalent-per-year,curator-derived,export cloth yards divided by six,derived from cols 589-590,conditional on the reported conversion
home-cloth-raw-equivalent,source:hansard-1830-cotton-disposition,1824,1828,Great Britain,raw cotton embodied in home-consumed cloth,79935784.6,pounds-raw-equivalent-per-year,curator-derived,home cloth yards divided by five,derived from cols 589-590,conditional on the reported conversion
cloth-raw-equivalent-total,source:hansard-1830-cotton-disposition,1824,1828,Great Britain,raw cotton embodied in exported and home-consumed cloth,139979993.93333333333333333333,pounds-raw-equivalent-per-year,curator-derived,export plus home cloth raw equivalents,derived from cols 589-590,downstream cloth disposition not direct yarn delivery
reported-branch-residual,source:hansard-1830-cotton-disposition,1824,1828,Great Britain,unassigned retained raw under reported yarn raw-equivalent branch,1135996.06666666666666666667,pounds-raw-equivalent-per-year,curator-derived,retained raw minus reported yarn raw equivalent minus cloth raw equivalent,derived from cols 589-590,0.5992 percent of retained availability but stock change remains absent
