record_id,source_id,period_start,period_end,geography,quantity_definition,value,unit,status,calculation,source_locator,notes
yarn-destination-subtotal-1824,source:hansard-1839-yarn-exports,1824,1824,Great Britain,cotton yarn export subtotal for five printed destination groups,33605510,pounds-yarn-per-year,source-reported,sum of five printed destination columns,HC Deb 12 March 1839 vol 46 cols 400-401,equals the later aggregate in this year
yarn-destination-subtotal-1825,source:hansard-1839-yarn-exports,1825,1825,Great Britain,cotton yarn export subtotal for five printed destination groups,32641604,pounds-yarn-per-year,source-reported,sum of five printed destination columns,HC Deb 12 March 1839 vol 46 cols 400-401,equals the later aggregate in this year
yarn-destination-subtotal-1826,source:hansard-1839-yarn-exports,1826,1826,Great Britain,cotton yarn export subtotal for five printed destination groups,42179521,pounds-yarn-per-year,source-reported,sum of five printed destination columns,HC Deb 12 March 1839 vol 46 cols 400-401,equals the later aggregate in this year
yarn-destination-subtotal-1827,source:hansard-1839-yarn-exports,1827,1827,Great Britain,cotton yarn export subtotal for five printed destination groups,43346632,pounds-yarn-per-year,source-reported,sum of five printed destination columns,HC Deb 12 March 1839 vol 46 cols 400-401,omits 1532142 pounds present in the later all-foreign aggregate
yarn-destination-subtotal-1828,source:hansard-1839-yarn-exports,1828,1828,Great Britain,cotton yarn export subtotal for five printed destination groups,43242882,pounds-yarn-per-year,source-reported,sum of five printed destination columns,HC Deb 12 March 1839 vol 46 cols 400-401,omits 7262869 pounds present in the full total printed at c409 of the same debate
yarn-destination-subtotal-five-year-mean,source:hansard-1839-yarn-exports,1824,1828,Great Britain,cotton yarn export annual mean for five printed destination groups,39003229.8,pounds-yarn-per-year,curator-derived,arithmetic mean of five annual destination subtotals,derived from HC Deb 12 March 1839 cols 400-401,known incomplete after comparison with the all-foreign aggregate
yarn-export-gb-1824,source:hansard-1839-gb-yarn-exports,1824,1824,Great Britain,direct cotton yarn exported to all foreign countries,33605510,pounds-yarn-per-year,source-reported,none,HC Deb 15 March 1839 vol 46 cols 782-784 row 1824,table does not state calendar-year versus customs-year convention
yarn-export-gb-1825,source:hansard-1839-gb-yarn-exports,1825,1825,Great Britain,direct cotton yarn exported to all foreign countries,32641604,pounds-yarn-per-year,source-reported,none,HC Deb 15 March 1839 vol 46 cols 782-784 row 1825,table does not state calendar-year versus customs-year convention
yarn-export-gb-1826,source:hansard-1839-gb-yarn-exports,1826,1826,Great Britain,direct cotton yarn exported to all foreign countries,42179521,pounds-yarn-per-year,source-reported,none,HC Deb 15 March 1839 vol 46 cols 782-784 row 1826,table does not state calendar-year versus customs-year convention
yarn-export-gb-1827,source:hansard-1839-gb-yarn-exports,1827,1827,Great Britain,direct cotton yarn exported to all foreign countries,44878774,pounds-yarn-per-year,source-reported,none,HC Deb 15 March 1839 vol 46 cols 782-784 row 1827,table does not state calendar-year versus customs-year convention
yarn-export-gb-1828,source:hansard-1839-gb-yarn-exports,1828,1828,Great Britain,direct cotton yarn exported to all foreign countries,50505751,pounds-yarn-per-year,source-reported,none,HC Deb 15 March 1839 vol 46 cols 782-784 row 1828,table does not state calendar-year versus customs-year convention
yarn-export-gb-five-year-mean,source:hansard-1839-gb-yarn-exports,1824,1828,Great Britain,direct cotton yarn exported to all foreign countries annual mean,40762232,pounds-yarn-per-year,curator-derived,arithmetic mean of 1824 through 1828 aggregate totals,derived from HC Deb 15 March 1839 cols 782-784,compatible target quantity with timing uncertainty retained
