"year","unique_employee_records","absent_from_prior_year_roster","absent_from_prior_year_share_of_current_roster","absent_from_next_year_roster","absent_from_next_year_share_of_opening_roster","next_year_absence_with_later_reappearance","final_disappearance_before_1819_window_end","geography","population_boundary","time_unit"
"1770","94","5","0,05319149","6","0,06382979","0","6","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
"1771","100","12","0,12","4","0,04","0","4","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
"1772","98","2","0,02040816","2","0,02040816","0","2","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
"1773","113","17","0,15044248","7","0,0619469","2","5","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
"1774","120","14","0,11666667","4","0,03333333","1","3","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
"1775","123","7","0,05691057","5","0,04065041","0","5","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
"1776","134","16","0,11940299","8","0,05970149","0","8","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
"1777","132","6","0,04545455","6","0,04545455","0","6","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
"1778","145","19","0,13103448","7","0,04827586","1","6","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
"1779","148","10","0,06756757","3","0,02027027","0","3","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
"1780","148","3","0,02027027","4","0,02702703","0","4","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
"1781","151","7","0,04635762","10","0,06622517","0","10","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
"1782","148","7","0,0472973","6","0,04054054","1","5","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
"1783","148","6","0,04054054","3","0,02027027","0","3","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
"1784","153","8","0,05228758","15","0,09803922","1","14","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
"1785","148","10","0,06756757","8","0,05405405","1","7","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
"1786","151","11","0,07284768","8","0,05298013","0","8","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
"1787","155","12","0,07741935","5","0,03225806","0","5","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
"1788","162","12","0,07407407","3","0,01851852","1","2","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
"1789","164","5","0,0304878","6","0,03658537","1","5","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
"1790","171","13","0,07602339","7","0,04093567","1","6","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
"1791","174","10","0,05747126","7","0,04022989","0","7","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
"1792","171","4","0,02339181","10","0,05847953","0","10","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
"1793","168","7","0,04166667","5","0,0297619","0","5","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
"1794","173","10","0,05780347","11","0,06358382","0","11","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
"1795","179","17","0,09497207","7","0,03910615","0","7","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
"1796","181","9","0,04972376","9","0,04972376","2","7","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
"1797","184","12","0,06521739","6","0,0326087","0","6","East India Company home establishment, London, England","identifiable persons in annual salary roster","annual-roster-boundary"
