"metric_id","source_id","metric_label","value","lower","upper","unit","geography","period","population_boundary","numerator","denominator","uncertainty","interpretation","target_compatibility"
"st-martin-admission-episode-count","source:st-martin-workhouse-registers","Extracted St Martin admission episodes","52807","","","records","St Martin in the Fields, Westminster, London, England","1770-1819","workhouse admission episodes, including repeat admissions","extracted admission records","not-applicable","Missing literal discharge dates and same-day discharges share a zero browse-index span; the deterministic audit found 33 missing dates and 17 same-day dates in 50 sampled zero spans.","coverage count, not a population stock","local institutional episode; not a Great Britain paid-employment flow or hire-available nonemployment spell"
"st-martin-indexed-span-mean","source:st-martin-workhouse-registers","Mean nonnegative API-indexed span","197.730081","","","calendar-days","St Martin in the Fields, Westminster, London, England","admissions 1770-1819","workhouse admission episodes, including repeat admissions","sum of nonnegative API before-minus-after indexes","episodes with a nonnegative indexable pair","Missing literal discharge dates and same-day discharges share a zero browse-index span; the deterministic audit found 33 missing dates and 17 same-day dates in 50 sampled zero spans.","index statistic; ambiguous zero spans are included","local institutional episode; not a Great Britain paid-employment flow or hire-available nonemployment spell"
"st-martin-episode-duration-lower-bound","source:st-martin-workhouse-registers","Lower bound on mean episode duration","","197.707615","","calendar-days-per-admission-episode","St Martin in the Fields, Westminster, London, England","admissions 1770-1819","workhouse admission episodes, including repeat admissions","sum of strictly positive indexed spans; all ambiguous or missing durations assigned zero","all extracted admission episodes","upper bound is unavailable because blank discharge dates are right-censored or unresolved; Missing literal discharge dates and same-day discharges share a zero browse-index span; the deterministic audit found 33 missing dates and 17 same-day dates in 50 sampled zero spans.","mathematical lower bound only, not an estimated mean","local institutional episode; not a Great Britain paid-employment flow or hire-available nonemployment spell"
"st-luke-admission-episode-count","source:st-luke-chelsea-workhouse-registers","Extracted St Luke admission episodes","2185","","","records","St Luke Chelsea parish, Middlesex/London, England","1782-1799","workhouse admission episodes, including repeat admissions","extracted admission records","not-applicable","literal exit date is missing for 36 records; free-text destinations are conservatively classified; repeat persons are not linked","coverage count, not a population stock","local institutional episode; not a Great Britain paid-employment flow or hire-available nonemployment spell"
"st-luke-known-episode-duration-mean","source:st-luke-chelsea-workhouse-registers","Mean duration among episodes with both dates","181.033504","","","calendar-days","St Luke Chelsea parish, Middlesex/London, England","admissions 1782-1799","workhouse admission episodes, including repeat admissions","elapsed calendar days","episodes with valid admission and exit dates","literal exit date is missing for 36 records; free-text destinations are conservatively classified; repeat persons are not linked","complete-date subset, not censoring-adjusted","local institutional episode; not a Great Britain paid-employment flow or hire-available nonemployment spell"
"st-luke-episode-duration-lower-bound","source:st-luke-chelsea-workhouse-registers","Lower bound on mean episode duration","","178.050801","","calendar-days-per-admission-episode","St Luke Chelsea parish, Middlesex/London, England","admissions 1782-1799","workhouse admission episodes, including repeat admissions","sum of observed nonnegative elapsed days; missing durations assigned zero","all extracted admission episodes","upper bound is unavailable; literal exit date is missing for 36 records; free-text destinations are conservatively classified; repeat persons are not linked","mathematical lower bound only, not an estimated mean","local institutional episode; not a Great Britain paid-employment flow or hire-available nonemployment spell"
"st-luke-explicit-work-service-recorded-share","source:st-luke-chelsea-workhouse-registers","Share with an explicit work or service destination","0.02654462","","","share-of-admission-records","St Luke Chelsea parish, Middlesex/London, England","admissions 1782-1799","workhouse admission episodes, including repeat admissions","records whose exit wording explicitly states work, service, hire or a place","all extracted admission records","literal exit date is missing for 36 records; free-text destinations are conservatively classified; repeat persons are not linked; unclassified reasons may include additional placements","recorded-destination share, not an employment-entry probability","local institutional episode; not a Great Britain paid-employment flow or hire-available nonemployment spell"
"st-luke-explicit-work-service-duration-lower-bound","source:st-luke-chelsea-workhouse-registers","Lower bound on pre-placement institutional duration","","104.155172","","calendar-days-per-explicit-placement-record","St Luke Chelsea parish, Middlesex/London, England","admissions 1782-1799","episodes with an explicit work or service destination","sum of observed nonnegative elapsed days; missing durations assigned zero","all explicit work or service destination records","upper bound is unavailable; destination wording does not prove paid status","selected successful recorded exits from an institution","local institutional episode; not a Great Britain paid-employment flow or hire-available nonemployment spell"
"two-workhouse-record-union-duration-lower-bound","source-union:st-martin-and-st-luke-workhouse-registers","Record-weighted lower bound across the two extracted workhouse datasets","","196.926589","","calendar-days-per-admission-record","two London-area parishes: St Martin in the Fields and St Luke Chelsea","1770-1819 with St Luke observed only in 1782-1799","union of extracted workhouse admission records, not persons or residents","sum of strictly positive observed/indexed durations in both datasets","all records in both extracted datasets","upper bound unavailable; source coverage, periods and censoring differ; St Martin dominates the record count","descriptive record-union bound only; it is not a parish, London or Great Britain average","local institutional episode; not a Great Britain paid-employment flow or hire-available nonemployment spell"
"eic-person-year-record-count","source:eic-home-establishment-salary-records","East India Company annual salary records","11736","","","annual-salary-records","East India Company home establishment, London, England","1760-1819","annual home-establishment salary records with parsed person identifiers","all retrieved annual salary records","not-applicable","all retrieved rows passed the year-specific person-ID parser; identifiers and names inherit the source transcription","coverage count","one-employer annual roster; not a paid-employment/nonemployment flow"
