"record_id","admission_date_raw","indexed_end_date_raw","admission_date","indexed_end_date","elapsed_days","geography","population_boundary","elapsed_unit"
"smdswhr_460_46017","17700101","17700518","1770-01-01","1770-05-18","137","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_507_50745","17700101","17700206","1770-01-01","1770-02-06","36","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_514_51426","17700101","17700104","1770-01-01","1770-01-04","3","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_460_46018","17700102","17700109","1770-01-02","1770-01-09","7","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_470_47047","17700102","17700221","1770-01-02","1770-02-21","50","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_482_48277","17700102","17700108","1770-01-02","1770-01-08","6","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_484_48488","17700102","17700114","1770-01-02","1770-01-14","12","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_484_48489","17700102","17700430","1770-01-02","1770-04-30","118","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_478_47878","17700103","17700221","1770-01-03","1770-02-21","49","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_478_47879","17700103","17700130","1770-01-03","1770-01-30","27","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_491_49202","17700103","17700401","1770-01-03","1770-04-01","88","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_507_50746","17700103","17700430","1770-01-03","1770-04-30","117","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_522_52242","17700103","17700130","1770-01-03","1770-01-30","27","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_507_50747","17700104","17700305","1770-01-04","1770-03-05","60","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_526_52656","17700104","17700312","1770-01-04","1770-03-12","67","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_526_52657","17700104","17700306","1770-01-04","1770-03-06","61","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_484_48490","17700106","17700401","1770-01-06","1770-04-01","85","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_507_50748","17700106","17700306","1770-01-06","1770-03-06","59","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_507_50749","17700106","17700306","1770-01-06","1770-03-06","59","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_517_51760","17700106","17700301","1770-01-06","1770-03-01","54","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_526_52658","17700106","17700201","1770-01-06","1770-02-01","26","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_460_46019","17700109","17700307","1770-01-09","1770-03-07","57","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_460_46020","17700109","17700206","1770-01-09","1770-02-06","28","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_460_46021","17700109","17700124","1770-01-09","1770-01-24","15","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_507_50750","17700109","17700115","1770-01-09","1770-01-15","6","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_517_51761","17700109","17700305","1770-01-09","1770-03-05","55","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_526_52659","17700109","17700111","1770-01-09","1770-01-11","2","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_526_52660","17700109","17700305","1770-01-09","1770-03-05","55","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_533_53399","17700109","17700124","1770-01-09","1770-01-24","15","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_533_53400","17700109","17700129","1770-01-09","1770-01-29","20","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_470_47048","17700111","17700118","1770-01-11","1770-01-18","7","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_503_50353","17700111","17700120","1770-01-11","1770-01-20","9","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_507_50751","17700111","17700204","1770-01-11","1770-02-04","24","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_507_50752","17700111","17700204","1770-01-11","1770-02-04","24","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_460_46022","17700112","17700224","1770-01-12","1770-02-24","43","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_526_52661","17700112","17700508","1770-01-12","1770-05-08","116","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_538_53825","17700112","17700430","1770-01-12","1770-04-30","108","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_507_50753","17700113","17700430","1770-01-13","1770-04-30","107","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_526_52662","17700113","17700305","1770-01-13","1770-03-05","51","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_498_49889","17700115","17700117","1770-01-15","1770-01-17","2","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_498_49890","17700115","17700430","1770-01-15","1770-04-30","105","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_514_51427","17700115","17700305","1770-01-15","1770-03-05","49","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_526_52663","17700116","17700317","1770-01-16","1770-03-17","60","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_526_52664","17700117","17700118","1770-01-17","1770-01-18","1","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_526_52665","17700117","17700328","1770-01-17","1770-03-28","70","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_488_48822","17700118","17700314","1770-01-18","1770-03-14","55","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_491_49203","17700118","17700213","1770-01-18","1770-02-13","26","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_492_49205","17700118","17700430","1770-01-18","1770-04-30","102","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_492_49206","17700118","17700314","1770-01-18","1770-03-14","55","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_522_52243","17700118","17700430","1770-01-18","1770-04-30","102","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_526_52666","17700118","17700409","1770-01-18","1770-04-09","81","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_538_53826","17700119","17710411","1770-01-19","1771-04-11","447","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_457_45723","17700120","17700305","1770-01-20","1770-03-05","44","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_484_48491","17700120","17711116","1770-01-20","1771-11-16","665","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_533_53401","17700120","17700204","1770-01-20","1770-02-04","15","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_533_53402","17700120","17700209","1770-01-20","1770-02-09","20","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_538_53827","17700120","17700403","1770-01-20","1770-04-03","73","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
