year,arableOutputCurrentPrices,arableOutputCurrentPrices_state,livestockOutputCurrentPrices,livestockOutputCurrentPrices_state,horticultureOutputCurrentPrices,horticultureOutputCurrentPrices_state,totalOutputCurrentPrices,totalOutputCurrentPrices_state,cattleFodderInputsCurrentPrices,cattleFodderInputsCurrentPrices_state,seedInputsCurrentPrices,seedInputsCurrentPrices_state,otherInputsCurrentPrices,otherInputsCurrentPrices_state,totalInputsCurrentPrices,totalInputsCurrentPrices_state,totalValueAddedCurrentPrices,totalValueAddedCurrentPrices_state,arableOutputShare,arableOutputShare_state,livestockOutputShare,livestockOutputShare_state,horticultureOutputShare,horticultureOutputShare_state,cattleFodderInputsShareOfOutput,cattleFodderInputsShareOfOutput_state,seedInputsShareOfOutput,seedInputsShareOfOutput_state,otherInputsShareOfOutput,otherInputsShareOfOutput_state,totalInputsShareOfOutput,totalInputsShareOfOutput_state
1800,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1801,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1802,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1803,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1804,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1805,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1806,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1807,86.26980739843835,,68.1993296420573,,3.595552435140879,,158.06468947563653,,15.181083183876353,,8.311061893800607,,15.275125833479194,,38.76727091115615,,119.29741856448038,,0.5457879788625127,,0.431464673535257,,0.022747347602230183,,0.09604348216061441,,0.05258012982767819,,0.09663844520969778,,0.24526205719799038,
1808,59.913601125425124,,65.677357770712,,2.9452637886085276,,128.53622268474567,,14.619695484506964,,6.154386877297586,,13.189148363702635,,33.96323072550719,,94.57299195923848,,0.4661223106919222,,0.5109638077026393,,0.022913881605438398,,0.1137398873184873,,0.047880564316816296,,0.10261036218600415,,0.26423081382130775,
1809,77.61855307806695,,65.92188947532861,,3.349170127819357,,146.8896126812149,,14.674127927880871,,9.529281969962646,,15.062918986213422,,39.26632888405694,,107.62328379715798,,0.5284141721206489,,0.4487852358790996,,0.022800592000251547,,0.0998990170920199,,0.06487376333848353,,0.10254584181458432,,0.26731862224508773,
1810,72.00371064005977,,66.70484325431526,,3.2466759276453767,,141.9552298220204,,14.848412433466345,,10.311472281467557,,14.652239899158857,,39.81212461409276,,102.14310520792766,,0.5072283052222595,,0.4699005689184398,,0.02287112585930064,,0.10459926310628273,,0.07263890378956661,,0.10321733068608628,,0.2804554975819356,
1811,75.89067839804773,,56.56182448276051,,3.0872451951698756,,135.5397480759781,,12.590589482496544,,11.061509273036863,,13.847030248750496,,37.4991290042839,,98.04061907169421,,0.5599145599378456,,0.4173080242930231,,0.022777415769131358,,0.09289223022193288,,0.08161081476141027,,0.10216213653420995,,0.2766651815175531,
1812,118.75602070410025,,54.73393617522393,,4.028678313987791,,177.51863519331198,,16.02380155522625,,16.123229637936515,,17.58145820820365,,49.72848940136642,,127.79014579194556,,0.6689777699945633,,0.30832783338842407,,0.022694396617012585,,0.09026546163886881,,0.09082556104816177,,0.09904007085823985,,0.28013109354527044,
1813,120.51745568407674,,56.84253253088447,,4.11928094794569,,181.4792691629069,,17.618672204211556,,14.551570245139207,,17.748211432102533,,49.918453881453296,,131.56081528145359,,0.6640838716178259,,0.3132177729890412,,0.02269835539313293,,0.09708366297417673,,0.08018309921711679,,0.09779745925784313,,0.27506422144913667,
1814,84.34835413220983,,68.38419945732464,,3.547391871440641,,156.2799454609751,,11.278111239622353,,10.3701362972253,,14.545342719494897,,36.19359025634255,,120.08635520463257,,0.5397260274401144,,0.4375750148594783,,0.022698957700407345,,0.07216608123553912,,0.06635615508206613,,0.09307235599929893,,0.23159459231690419,
