sourceRow,code,label,rowType,block,year,value,state
7,I,ceramics and glass,sector,totalEmployment,1807,9017,
7,I,ceramics and glass,sector,totalEmployment,1849,11578,
7,I,ceramics and glass,sector,totalEmployment,1859,14405,
7,I,ceramics and glass,sector,totalEmployment,1889,18721,
7,I,ceramics and glass,sector,totalEmployment,1899,24794,
7,I,ceramics and glass,sector,totalEmployment,1909,31010,
7,I,ceramics and glass,sector,male,1807,,blank
7,I,ceramics and glass,sector,male,1849,10524,
7,I,ceramics and glass,sector,male,1859,13212,
7,I,ceramics and glass,sector,male,1889,16801,
7,I,ceramics and glass,sector,male,1899,22476,
7,I,ceramics and glass,sector,male,1909,28252,
7,I,ceramics and glass,sector,female,1807,,blank
7,I,ceramics and glass,sector,female,1849,1054,
7,I,ceramics and glass,sector,female,1859,1193,
7,I,ceramics and glass,sector,female,1889,1920,
7,I,ceramics and glass,sector,female,1899,2318,
7,I,ceramics and glass,sector,female,1909,2758,
8,II,diamond cutting,sector,totalEmployment,1807,555,
8,II,diamond cutting,sector,totalEmployment,1849,1645,
8,II,diamond cutting,sector,totalEmployment,1859,1671,
8,II,diamond cutting,sector,totalEmployment,1889,10398,
8,II,diamond cutting,sector,totalEmployment,1899,9877,
8,II,diamond cutting,sector,totalEmployment,1909,10066,
8,II,diamond cutting,sector,male,1807,,blank
8,II,diamond cutting,sector,male,1849,1597,
8,II,diamond cutting,sector,male,1859,1660,
8,II,diamond cutting,sector,male,1889,9973,
8,II,diamond cutting,sector,male,1899,8786,
8,II,diamond cutting,sector,male,1909,9064,
8,II,diamond cutting,sector,female,1807,,blank
8,II,diamond cutting,sector,female,1849,48,
8,II,diamond cutting,sector,female,1859,11,
8,II,diamond cutting,sector,female,1889,425,
8,II,diamond cutting,sector,female,1899,1091,
8,II,diamond cutting,sector,female,1909,1002,
9,III,printing,sector,totalEmployment,1807,1769,
9,III,printing,sector,totalEmployment,1849,5248,
9,III,printing,sector,totalEmployment,1859,5677,
9,III,printing,sector,totalEmployment,1889,9819,
9,III,printing,sector,totalEmployment,1899,13749,
9,III,printing,sector,totalEmployment,1909,20210,
9,III,printing,sector,male,1807,,blank
9,III,printing,sector,male,1849,5181,
9,III,printing,sector,male,1859,5634,
9,III,printing,sector,male,1889,9756,
9,III,printing,sector,male,1899,13602,
9,III,printing,sector,male,1909,19706,
9,III,printing,sector,female,1807,,blank
9,III,printing,sector,female,1849,67,
9,III,printing,sector,female,1859,43,
9,III,printing,sector,female,1889,63,
9,III,printing,sector,female,1899,147,
9,III,printing,sector,female,1909,504,
10,IV,building & contruction,sector,totalEmployment,1807,58224,
10,IV,building & contruction,sector,totalEmployment,1849,82935,
10,IV,building & contruction,sector,totalEmployment,1859,91004,
10,IV,building & contruction,sector,totalEmployment,1889,123680,
10,IV,building & contruction,sector,totalEmployment,1899,140405,
10,IV,building & contruction,sector,totalEmployment,1909,162164,
10,IV,building & contruction,sector,male,1807,,blank
10,IV,building & contruction,sector,male,1849,82671,
10,IV,building & contruction,sector,male,1859,90725,
10,IV,building & contruction,sector,male,1889,123339,
10,IV,building & contruction,sector,male,1899,139892,
10,IV,building & contruction,sector,male,1909,161645,
10,IV,building & contruction,sector,female,1807,,blank
10,IV,building & contruction,sector,female,1849,264,
10,IV,building & contruction,sector,female,1859,279,
10,IV,building & contruction,sector,female,1889,341,
10,IV,building & contruction,sector,female,1899,513,
10,IV,building & contruction,sector,female,1909,519,
11,V,chemicals,sector,totalEmployment,1807,3858,
11,V,chemicals,sector,totalEmployment,1849,4581,
11,V,chemicals,sector,totalEmployment,1859,4689,
11,V,chemicals,sector,totalEmployment,1889,6158,
11,V,chemicals,sector,totalEmployment,1899,8089,
11,V,chemicals,sector,totalEmployment,1909,12336,
11,V,chemicals,sector,male,1807,,blank
11,V,chemicals,sector,male,1849,4169,
11,V,chemicals,sector,male,1859,4385,
11,V,chemicals,sector,male,1889,5123,
11,V,chemicals,sector,male,1899,6478,
11,V,chemicals,sector,male,1909,9726,
11,V,chemicals,sector,female,1807,,blank
11,V,chemicals,sector,female,1849,412,
11,V,chemicals,sector,female,1859,304,
11,V,chemicals,sector,female,1889,1035,
11,V,chemicals,sector,female,1899,1611,
11,V,chemicals,sector,female,1909,2610,
12,VI,woodworking,sector,totalEmployment,1807,12461,
12,VI,woodworking,sector,totalEmployment,1849,26221,
12,VI,woodworking,sector,totalEmployment,1859,29690,
12,VI,woodworking,sector,totalEmployment,1889,35730,
12,VI,woodworking,sector,totalEmployment,1899,38508,
12,VI,woodworking,sector,totalEmployment,1909,47370,
12,VI,woodworking,sector,male,1807,,blank
12,VI,woodworking,sector,male,1849,25731,
12,VI,woodworking,sector,male,1859,28863,
12,VI,woodworking,sector,male,1889,35221,
12,VI,woodworking,sector,male,1899,37657,
12,VI,woodworking,sector,male,1909,46213,
12,VI,woodworking,sector,female,1807,,blank
12,VI,woodworking,sector,female,1849,490,
12,VI,woodworking,sector,female,1859,827,
12,VI,woodworking,sector,female,1889,509,
12,VI,woodworking,sector,female,1899,851,
12,VI,woodworking,sector,female,1909,1157,
13,VII,clothing & cleaning,sector,totalEmployment,1807,34825,
13,VII,clothing & cleaning,sector,totalEmployment,1849,70728,
13,VII,clothing & cleaning,sector,totalEmployment,1859,71572,
13,VII,clothing & cleaning,sector,totalEmployment,1889,77299,
13,VII,clothing & cleaning,sector,totalEmployment,1899,92700,
13,VII,clothing & cleaning,sector,totalEmployment,1909,109888,
13,VII,clothing & cleaning,sector,male,1807,,blank
13,VII,clothing & cleaning,sector,male,1849,29485,
13,VII,clothing & cleaning,sector,male,1859,32282,
13,VII,clothing & cleaning,sector,male,1889,34109,
13,VII,clothing & cleaning,sector,male,1899,36857,
13,VII,clothing & cleaning,sector,male,1909,39997,
13,VII,clothing & cleaning,sector,female,1807,,blank
13,VII,clothing & cleaning,sector,female,1849,41243,
13,VII,clothing & cleaning,sector,female,1859,39290,
13,VII,clothing & cleaning,sector,female,1889,43190,
13,VII,clothing & cleaning,sector,female,1899,55843,
13,VII,clothing & cleaning,sector,female,1909,69891,
14,VIII,applied art,sector,totalEmployment,1807,546,
14,VIII,applied art,sector,totalEmployment,1849,778,
14,VIII,applied art,sector,totalEmployment,1859,937,
14,VIII,applied art,sector,totalEmployment,1889,1091,
14,VIII,applied art,sector,totalEmployment,1899,546,
14,VIII,applied art,sector,totalEmployment,1909,877,
14,VIII,applied art,sector,male,1807,,blank
14,VIII,applied art,sector,male,1849,723,
14,VIII,applied art,sector,male,1859,889,
14,VIII,applied art,sector,male,1889,1031,
14,VIII,applied art,sector,male,1899,518,
14,VIII,applied art,sector,male,1909,820,
14,VIII,applied art,sector,female,1807,,blank
14,VIII,applied art,sector,female,1849,55,
14,VIII,applied art,sector,female,1859,48,
14,VIII,applied art,sector,female,1889,60,
14,VIII,applied art,sector,female,1899,28,
14,VIII,applied art,sector,female,1909,57,
15,IX,leather,sector,totalEmployment,1807,22290,
15,IX,leather,sector,totalEmployment,1849,31750,
15,IX,leather,sector,totalEmployment,1859,31041,
15,IX,leather,sector,totalEmployment,1889,37199,
15,IX,leather,sector,totalEmployment,1899,39581,
15,IX,leather,sector,totalEmployment,1909,36783,
15,IX,leather,sector,male,1807,,blank
15,IX,leather,sector,male,1849,31260,
15,IX,leather,sector,male,1859,30586,
15,IX,leather,sector,male,1889,36570,
15,IX,leather,sector,male,1899,38206,
15,IX,leather,sector,male,1909,34971,
15,IX,leather,sector,female,1807,,blank
15,IX,leather,sector,female,1849,490,
15,IX,leather,sector,female,1859,455,
15,IX,leather,sector,female,1889,629,
15,IX,leather,sector,female,1899,1375,
15,IX,leather,sector,female,1909,1812,
16,X,mining,sector,totalEmployment,1807,1810,
16,X,mining,sector,totalEmployment,1849,2509,
16,X,mining,sector,totalEmployment,1859,2258,
16,X,mining,sector,totalEmployment,1889,15159,
16,X,mining,sector,totalEmployment,1899,16462,
16,X,mining,sector,totalEmployment,1909,23428,
16,X,mining,sector,male,1807,,blank
16,X,mining,sector,male,1849,2216,
16,X,mining,sector,male,1859,2212,
16,X,mining,sector,male,1889,13072,
16,X,mining,sector,male,1899,14943,
16,X,mining,sector,male,1909,20795,
16,X,mining,sector,female,1807,,blank
16,X,mining,sector,female,1849,293,
16,X,mining,sector,female,1859,46,
16,X,mining,sector,female,1889,2087,
16,X,mining,sector,female,1899,1519,
16,X,mining,sector,female,1909,2633,
17,XI-XIII,metal & shipbuilding,sector,totalEmployment,1807,12845,
17,XI-XIII,metal & shipbuilding,sector,totalEmployment,1849,44729,
17,XI-XIII,metal & shipbuilding,sector,totalEmployment,1859,49976,
17,XI-XIII,metal & shipbuilding,sector,totalEmployment,1889,67055,
17,XI-XIII,metal & shipbuilding,sector,totalEmployment,1899,89571,
17,XI-XIII,metal & shipbuilding,sector,totalEmployment,1909,117441,
17,XI-XIII,metal & shipbuilding,sector,male,1807,,blank
17,XI-XIII,metal & shipbuilding,sector,male,1849,44161,
17,XI-XIII,metal & shipbuilding,sector,male,1859,49515,
17,XI-XIII,metal & shipbuilding,sector,male,1889,66453,
17,XI-XIII,metal & shipbuilding,sector,male,1899,88335,
17,XI-XIII,metal & shipbuilding,sector,male,1909,114843,
17,XI-XIII,metal & shipbuilding,sector,female,1807,,blank
17,XI-XIII,metal & shipbuilding,sector,female,1849,568,
17,XI-XIII,metal & shipbuilding,sector,female,1859,461,
17,XI-XIII,metal & shipbuilding,sector,female,1889,602,
17,XI-XIII,metal & shipbuilding,sector,female,1899,1236,
17,XI-XIII,metal & shipbuilding,sector,female,1909,2598,
18,XIV,paper,sector,totalEmployment,1807,2573,
18,XIV,paper,sector,totalEmployment,1849,3984,
18,XIV,paper,sector,totalEmployment,1859,4207,
18,XIV,paper,sector,totalEmployment,1889,5700,
18,XIV,paper,sector,totalEmployment,1899,6942,
18,XIV,paper,sector,totalEmployment,1909,10351,
18,XIV,paper,sector,male,1807,,blank
18,XIV,paper,sector,male,1849,3583,
18,XIV,paper,sector,male,1859,3736,
18,XIV,paper,sector,male,1889,5050,
18,XIV,paper,sector,male,1899,6002,
18,XIV,paper,sector,male,1909,8718,
18,XIV,paper,sector,female,1807,,blank
18,XIV,paper,sector,female,1849,401,
18,XIV,paper,sector,female,1859,471,
18,XIV,paper,sector,female,1889,650,
18,XIV,paper,sector,female,1899,940,
18,XIV,paper,sector,female,1909,1633,
19,XV,textile,sector,totalEmployment,1807,39516,
19,XV,textile,sector,totalEmployment,1849,44898,
19,XV,textile,sector,totalEmployment,1859,45545,
19,XV,textile,sector,totalEmployment,1889,44375,
19,XV,textile,sector,totalEmployment,1899,49198,
19,XV,textile,sector,totalEmployment,1909,60098,
19,XV,textile,sector,male,1807,,blank
19,XV,textile,sector,male,1849,32321,
19,XV,textile,sector,male,1859,33076,
19,XV,textile,sector,male,1889,33569,
19,XV,textile,sector,male,1899,34596,
19,XV,textile,sector,male,1909,40224,
19,XV,textile,sector,female,1807,,blank
19,XV,textile,sector,female,1849,12577,
19,XV,textile,sector,female,1859,12469,
19,XV,textile,sector,female,1889,10806,
19,XV,textile,sector,female,1899,14602,
19,XV,textile,sector,female,1909,19874,
20,XVI,utilities,sector,totalEmployment,1807,0,
20,XVI,utilities,sector,totalEmployment,1849,82,
20,XVI,utilities,sector,totalEmployment,1859,370,
20,XVI,utilities,sector,totalEmployment,1889,2665,
20,XVI,utilities,sector,totalEmployment,1899,4460,
20,XVI,utilities,sector,totalEmployment,1909,9478,
20,XVI,utilities,sector,male,1807,,blank
20,XVI,utilities,sector,male,1849,82,
20,XVI,utilities,sector,male,1859,370,
20,XVI,utilities,sector,male,1889,2662,
20,XVI,utilities,sector,male,1899,4449,
20,XVI,utilities,sector,male,1909,9457,
20,XVI,utilities,sector,female,1807,,blank
20,XVI,utilities,sector,female,1849,0,
20,XVI,utilities,sector,female,1859,0,
20,XVI,utilities,sector,female,1889,3,
20,XVI,utilities,sector,female,1899,11,
20,XVI,utilities,sector,female,1909,21,
21,XVII,food & stimulants,sector,totalEmployment,1807,27401,
21,XVII,food & stimulants,sector,totalEmployment,1849,57684,
21,XVII,food & stimulants,sector,totalEmployment,1859,62438,
21,XVII,food & stimulants,sector,totalEmployment,1889,92761,
21,XVII,food & stimulants,sector,totalEmployment,1899,117229,
21,XVII,food & stimulants,sector,totalEmployment,1909,137556,
21,XVII,food & stimulants,sector,male,1807,,blank
21,XVII,food & stimulants,sector,male,1849,55421,
21,XVII,food & stimulants,sector,male,1859,60756,
21,XVII,food & stimulants,sector,male,1889,89393,
21,XVII,food & stimulants,sector,male,1899,112115,
21,XVII,food & stimulants,sector,male,1909,130274,
21,XVII,food & stimulants,sector,female,1807,,blank
21,XVII,food & stimulants,sector,female,1849,2263,
21,XVII,food & stimulants,sector,female,1859,1682,
21,XVII,food & stimulants,sector,female,1889,3368,
21,XVII,food & stimulants,sector,female,1899,5114,
21,XVII,food & stimulants,sector,female,1909,7282,
22,XVIII,agriculture,sector,totalEmployment,1807,367388,
22,XVIII,agriculture,sector,totalEmployment,1849,494526,
22,XVIII,agriculture,sector,totalEmployment,1859,523526,
22,XVIII,agriculture,sector,totalEmployment,1889,616612,
22,XVIII,agriculture,sector,totalEmployment,1899,659832,
22,XVIII,agriculture,sector,totalEmployment,1909,676119,
22,XVIII,agriculture,sector,male,1807,,blank
22,XVIII,agriculture,sector,male,1849,322020,
22,XVIII,agriculture,sector,male,1859,348739,
22,XVIII,agriculture,sector,male,1889,446781,
22,XVIII,agriculture,sector,male,1899,487011,
22,XVIII,agriculture,sector,male,1909,500019,
22,XVIII,agriculture,sector,female,1807,,blank
22,XVIII,agriculture,sector,female,1849,172506,
22,XVIII,agriculture,sector,female,1859,174787,
22,XVIII,agriculture,sector,female,1889,169831,
22,XVIII,agriculture,sector,female,1899,172821,
22,XVIII,agriculture,sector,female,1909,176100,
23,XIX,fishing,sector,totalEmployment,1807,7145,
23,XIX,fishing,sector,totalEmployment,1849,11476,
23,XIX,fishing,sector,totalEmployment,1859,12604,
23,XIX,fishing,sector,totalEmployment,1889,16836,
23,XIX,fishing,sector,totalEmployment,1899,21842,
23,XIX,fishing,sector,totalEmployment,1909,23570,
23,XIX,fishing,sector,male,1807,,blank
23,XIX,fishing,sector,male,1849,11426,
23,XIX,fishing,sector,male,1859,12565,
23,XIX,fishing,sector,male,1889,16773,
23,XIX,fishing,sector,male,1899,21290,
23,XIX,fishing,sector,male,1909,23510,
23,XIX,fishing,sector,female,1807,,blank
23,XIX,fishing,sector,female,1849,50,
23,XIX,fishing,sector,female,1859,39,
23,XIX,fishing,sector,female,1889,63,
23,XIX,fishing,sector,female,1899,552,
23,XIX,fishing,sector,female,1909,60,
24,XX,trade,sector,totalEmployment,1807,62061,
24,XX,trade,sector,totalEmployment,1849,86814,
24,XX,trade,sector,totalEmployment,1859,92349,
24,XX,trade,sector,totalEmployment,1889,139041,
24,XX,trade,sector,totalEmployment,1899,183958,
24,XX,trade,sector,totalEmployment,1909,224292,
24,XX,trade,sector,male,1807,,blank
24,XX,trade,sector,male,1849,66055,
24,XX,trade,sector,male,1859,72435,
24,XX,trade,sector,male,1889,109132,
24,XX,trade,sector,male,1899,144738,
24,XX,trade,sector,male,1909,178174,
24,XX,trade,sector,female,1807,,blank
24,XX,trade,sector,female,1849,20759,
24,XX,trade,sector,female,1859,19914,
24,XX,trade,sector,female,1889,29909,
24,XX,trade,sector,female,1899,39220,
24,XX,trade,sector,female,1909,46118,
25,XXI-A,catering industry,sector,totalEmployment,1807,14372,
25,XXI-A,catering industry,sector,totalEmployment,1849,13329,
25,XXI-A,catering industry,sector,totalEmployment,1859,12764,
25,XXI-A,catering industry,sector,totalEmployment,1889,19374,
25,XXI-A,catering industry,sector,totalEmployment,1899,24756,
25,XXI-A,catering industry,sector,totalEmployment,1909,31951,
25,XXI-A,catering industry,sector,male,1807,,blank
25,XXI-A,catering industry,sector,male,1849,9380,
25,XXI-A,catering industry,sector,male,1859,9490,
25,XXI-A,catering industry,sector,male,1889,14645,
25,XXI-A,catering industry,sector,male,1899,17343,
25,XXI-A,catering industry,sector,male,1909,19870,
25,XXI-A,catering industry,sector,female,1807,,blank
25,XXI-A,catering industry,sector,female,1849,3949,
25,XXI-A,catering industry,sector,female,1859,3274,
25,XXI-A,catering industry,sector,female,1889,4729,
25,XXI-A,catering industry,sector,female,1899,7413,
25,XXI-A,catering industry,sector,female,1909,12081,
26,XXI-B,shipping,sector,totalEmployment,1807,26822,
26,XXI-B,shipping,sector,totalEmployment,1849,40561,
26,XXI-B,shipping,sector,totalEmployment,1859,42848,
26,XXI-B,shipping,sector,totalEmployment,1889,40877,
26,XXI-B,shipping,sector,totalEmployment,1899,43273,
26,XXI-B,shipping,sector,totalEmployment,1909,50648,
26,XXI-B,shipping,sector,male,1807,,blank
26,XXI-B,shipping,sector,male,1849,40232,
26,XXI-B,shipping,sector,male,1859,42484,
26,XXI-B,shipping,sector,male,1889,40455,
26,XXI-B,shipping,sector,male,1899,42813,
26,XXI-B,shipping,sector,male,1909,50142,
26,XXI-B,shipping,sector,female,1807,,blank
26,XXI-B,shipping,sector,female,1849,329,
26,XXI-B,shipping,sector,female,1859,364,
26,XXI-B,shipping,sector,female,1889,422,
26,XXI-B,shipping,sector,female,1899,460,
26,XXI-B,shipping,sector,female,1909,506,
27,XXI-C,other transport,sector,totalEmployment,1807,12467,
27,XXI-C,other transport,sector,totalEmployment,1849,36973,
27,XXI-C,other transport,sector,totalEmployment,1859,40130,
27,XXI-C,other transport,sector,totalEmployment,1889,63674,
27,XXI-C,other transport,sector,totalEmployment,1899,77308,
27,XXI-C,other transport,sector,totalEmployment,1909,107022,
27,XXI-C,other transport,sector,male,1807,,blank
27,XXI-C,other transport,sector,male,1849,35573,
27,XXI-C,other transport,sector,male,1859,39188,
27,XXI-C,other transport,sector,male,1889,61689,
27,XXI-C,other transport,sector,male,1899,75182,
27,XXI-C,other transport,sector,male,1909,103486,
27,XXI-C,other transport,sector,female,1807,,blank
27,XXI-C,other transport,sector,female,1849,1400,
27,XXI-C,other transport,sector,female,1859,942,
27,XXI-C,other transport,sector,female,1889,1985,
27,XXI-C,other transport,sector,female,1899,2126,
27,XXI-C,other transport,sector,female,1909,3536,
28,XXII,banking,sector,totalEmployment,1807,,blank
28,XXII,banking,sector,totalEmployment,1849,1307,
28,XXII,banking,sector,totalEmployment,1859,1521,
28,XXII,banking,sector,totalEmployment,1889,4362,
28,XXII,banking,sector,totalEmployment,1899,5840,
28,XXII,banking,sector,totalEmployment,1909,9923,
28,XXII,banking,sector,male,1807,,blank
28,XXII,banking,sector,male,1849,1219,
28,XXII,banking,sector,male,1859,1483,
28,XXII,banking,sector,male,1889,4335,
28,XXII,banking,sector,male,1899,5793,
28,XXII,banking,sector,male,1909,9488,
28,XXII,banking,sector,female,1807,,blank
28,XXII,banking,sector,female,1849,88,
28,XXII,banking,sector,female,1859,38,
28,XXII,banking,sector,female,1889,27,
28,XXII,banking,sector,female,1899,47,
28,XXII,banking,sector,female,1909,435,
29,XXIII,insurance,sector,totalEmployment,1807,,blank
29,XXIII,insurance,sector,totalEmployment,1849,831,
29,XXIII,insurance,sector,totalEmployment,1859,789,
29,XXIII,insurance,sector,totalEmployment,1889,2082,
29,XXIII,insurance,sector,totalEmployment,1899,4118,
29,XXIII,insurance,sector,totalEmployment,1909,8051,
29,XXIII,insurance,sector,male,1807,,blank
29,XXIII,insurance,sector,male,1849,823,
29,XXIII,insurance,sector,male,1859,788,
29,XXIII,insurance,sector,male,1889,2063,
29,XXIII,insurance,sector,male,1899,4044,
29,XXIII,insurance,sector,male,1909,7606,
29,XXIII,insurance,sector,female,1807,,blank
29,XXIII,insurance,sector,female,1849,8,
29,XXIII,insurance,sector,female,1859,1,
29,XXIII,insurance,sector,female,1889,19,
29,XXIII,insurance,sector,female,1899,74,
29,XXIII,insurance,sector,female,1909,445,
30,XXII-XXIII,financial sector,sector,totalEmployment,1807,1020,
30,XXII-XXIII,financial sector,sector,totalEmployment,1849,,blank
30,XXII-XXIII,financial sector,sector,totalEmployment,1859,,blank
30,XXII-XXIII,financial sector,sector,totalEmployment,1889,,blank
30,XXII-XXIII,financial sector,sector,totalEmployment,1899,,blank
30,XXII-XXIII,financial sector,sector,totalEmployment,1909,,blank
30,XXII-XXIII,financial sector,sector,male,1807,,blank
30,XXII-XXIII,financial sector,sector,male,1849,,blank
30,XXII-XXIII,financial sector,sector,male,1859,,blank
30,XXII-XXIII,financial sector,sector,male,1889,,blank
30,XXII-XXIII,financial sector,sector,male,1899,,blank
30,XXII-XXIII,financial sector,sector,male,1909,,blank
30,XXII-XXIII,financial sector,sector,female,1807,,blank
30,XXII-XXIII,financial sector,sector,female,1849,,blank
30,XXII-XXIII,financial sector,sector,female,1859,,blank
30,XXII-XXIII,financial sector,sector,female,1889,,blank
30,XXII-XXIII,financial sector,sector,female,1899,,blank
30,XXII-XXIII,financial sector,sector,female,1909,,blank
31,XXIV-A,public administration,sector,totalEmployment,1807,9320,
31,XXIV-A,public administration,sector,totalEmployment,1849,16540,
31,XXIV-A,public administration,sector,totalEmployment,1859,17791,
31,XXIV-A,public administration,sector,totalEmployment,1889,26362,
31,XXIV-A,public administration,sector,totalEmployment,1899,27048,
31,XXIV-A,public administration,sector,totalEmployment,1909,31097,
31,XXIV-A,public administration,sector,male,1807,,blank
31,XXIV-A,public administration,sector,male,1849,16472,
31,XXIV-A,public administration,sector,male,1859,17743,
31,XXIV-A,public administration,sector,male,1889,26156,
31,XXIV-A,public administration,sector,male,1899,26741,
31,XXIV-A,public administration,sector,male,1909,30608,
31,XXIV-A,public administration,sector,female,1807,,blank
31,XXIV-A,public administration,sector,female,1849,68,
31,XXIV-A,public administration,sector,female,1859,48,
31,XXIV-A,public administration,sector,female,1889,206,
31,XXIV-A,public administration,sector,female,1899,307,
31,XXIV-A,public administration,sector,female,1909,489,
32,XXIV-B,military,sector,totalEmployment,1807,23690,
32,XXIV-B,military,sector,totalEmployment,1849,25915,
32,XXIV-B,military,sector,totalEmployment,1859,28673,
32,XXIV-B,military,sector,totalEmployment,1889,33953,
32,XXIV-B,military,sector,totalEmployment,1899,33887,
32,XXIV-B,military,sector,totalEmployment,1909,40278,
32,XXIV-B,military,sector,male,1807,,blank
32,XXIV-B,military,sector,male,1849,25915,
32,XXIV-B,military,sector,male,1859,28673,
32,XXIV-B,military,sector,male,1889,33953,
32,XXIV-B,military,sector,male,1899,33887,
32,XXIV-B,military,sector,male,1909,40277,
32,XXIV-B,military,sector,female,1807,,blank
32,XXIV-B,military,sector,female,1849,0,
32,XXIV-B,military,sector,female,1859,0,
32,XXIV-B,military,sector,female,1889,0,
32,XXIV-B,military,sector,female,1899,0,
32,XXIV-B,military,sector,female,1909,1,
33,XXIV-C,medical service,sector,totalEmployment,1807,3812,
33,XXIV-C,medical service,sector,totalEmployment,1849,6005,
33,XXIV-C,medical service,sector,totalEmployment,1859,5873,
33,XXIV-C,medical service,sector,totalEmployment,1889,12358,
33,XXIV-C,medical service,sector,totalEmployment,1899,15391,
33,XXIV-C,medical service,sector,totalEmployment,1909,25570,
33,XXIV-C,medical service,sector,male,1807,,blank
33,XXIV-C,medical service,sector,male,1849,4306,
33,XXIV-C,medical service,sector,male,1859,4296,
33,XXIV-C,medical service,sector,male,1889,5580,
33,XXIV-C,medical service,sector,male,1899,5807,
33,XXIV-C,medical service,sector,male,1909,7710,
33,XXIV-C,medical service,sector,female,1807,,blank
33,XXIV-C,medical service,sector,female,1849,1699,
33,XXIV-C,medical service,sector,female,1859,1577,
33,XXIV-C,medical service,sector,female,1889,6778,
33,XXIV-C,medical service,sector,female,1899,9584,
33,XXIV-C,medical service,sector,female,1909,17860,
34,XXIV-D,other professions,sector,totalEmployment,1807,2863,
34,XXIV-D,other professions,sector,totalEmployment,1849,5379,
34,XXIV-D,other professions,sector,totalEmployment,1859,4954,
34,XXIV-D,other professions,sector,totalEmployment,1889,11685,
34,XXIV-D,other professions,sector,totalEmployment,1899,11178,
34,XXIV-D,other professions,sector,totalEmployment,1909,16513,
34,XXIV-D,other professions,sector,male,1807,,blank
34,XXIV-D,other professions,sector,male,1849,4983,
34,XXIV-D,other professions,sector,male,1859,4766,
34,XXIV-D,other professions,sector,male,1889,10101,
34,XXIV-D,other professions,sector,male,1899,10411,
34,XXIV-D,other professions,sector,male,1909,15047,
34,XXIV-D,other professions,sector,female,1807,,blank
34,XXIV-D,other professions,sector,female,1849,396,
34,XXIV-D,other professions,sector,female,1859,188,
34,XXIV-D,other professions,sector,female,1889,1584,
34,XXIV-D,other professions,sector,female,1899,767,
34,XXIV-D,other professions,sector,female,1909,1466,
35,XXV,education,sector,totalEmployment,1807,6234,
35,XXV,education,sector,totalEmployment,1849,8520,
35,XXV,education,sector,totalEmployment,1859,9422,
35,XXV,education,sector,totalEmployment,1889,24892,
35,XXV,education,sector,totalEmployment,1899,33883,
35,XXV,education,sector,totalEmployment,1909,47740,
35,XXV,education,sector,male,1807,,blank
35,XXV,education,sector,male,1849,6792,
35,XXV,education,sector,male,1859,7483,
35,XXV,education,sector,male,1889,16091,
35,XXV,education,sector,male,1899,19715,
35,XXV,education,sector,male,1909,24139,
35,XXV,education,sector,female,1807,,blank
35,XXV,education,sector,female,1849,1728,
35,XXV,education,sector,female,1859,1939,
35,XXV,education,sector,female,1889,8801,
