year,agricultureOutputCurrentPrices,agricultureOutputCurrentPrices_state,fishingOutputCurrentPrices,fishingOutputCurrentPrices_state,industryOutputCurrentPrices,industryOutputCurrentPrices_state,servicesOutputCurrentPrices,servicesOutputCurrentPrices_state,grossDomesticProductOutputCurrentPrices,grossDomesticProductOutputCurrentPrices_state,foreignIncomeOutputCurrentPrices,foreignIncomeOutputCurrentPrices_state,grossNationalProductOutputCurrentPrices,grossNationalProductOutputCurrentPrices_state,grossDomesticProductPrimaryCompositionShare,grossDomesticProductPrimaryCompositionShare_state,grossDomesticProductSecondaryCompositionShare,grossDomesticProductSecondaryCompositionShare_state,grossDomesticProductTertiaryCompositionShare,grossDomesticProductTertiaryCompositionShare_state,wagesIncomeCurrentPrices,wagesIncomeCurrentPrices_state,capitalIncomeCurrentPrices,capitalIncomeCurrentPrices_state,profitIncomeCurrentPrices,profitIncomeCurrentPrices_state,depreciationIncomeCurrentPrices,depreciationIncomeCurrentPrices_state,indirectTaxesIncomeCurrentPrices,indirectTaxesIncomeCurrentPrices_state,grossNationalIncomeCurrentPrices,grossNationalIncomeCurrentPrices_state,grossDomesticIncomeCurrentPrices,grossDomesticIncomeCurrentPrices_state,grossNationalIncomeWagesCompositionShare,grossNationalIncomeWagesCompositionShare_state,grossNationalIncomeCapitalCompositionShare,grossNationalIncomeCapitalCompositionShare_state,grossNationalIncomeProfitCompositionShare,grossNationalIncomeProfitCompositionShare_state,publicConsumptionExpenditureCurrentPrices,publicConsumptionExpenditureCurrentPrices_state,publicInvestmentExpenditureCurrentPrices,publicInvestmentExpenditureCurrentPrices_state,privateConsumptionExpenditureCurrentPrices,privateConsumptionExpenditureCurrentPrices_state,privateInvestmentExpenditureCurrentPrices,privateInvestmentExpenditureCurrentPrices_state,stockBuildingExpenditureCurrentPrices,stockBuildingExpenditureCurrentPrices_state,goodsBalanceExpenditureCurrentPrices,goodsBalanceExpenditureCurrentPrices_state,servicesBalanceExpenditureCurrentPrices,servicesBalanceExpenditureCurrentPrices_state,indirectTaxesExpenditureCurrentPrices,indirectTaxesExpenditureCurrentPrices_state,grossDomesticExpenditureCurrentPrices,grossDomesticExpenditureCurrentPrices_state,foreignIncomeExpenditureCurrentPrices,foreignIncomeExpenditureCurrentPrices_state,grossNationalExpenditureCurrentPrices,grossNationalExpenditureCurrentPrices_state,grossDomesticExpenditureInvestmentCompositionShare,grossDomesticExpenditureInvestmentCompositionShare_state,grossDomesticExpenditureConsumptionCompositionShare,grossDomesticExpenditureConsumptionCompositionShare_state,grossDomesticExpenditureStockBuildingCompositionShare,grossDomesticExpenditureStockBuildingCompositionShare_state,grossDomesticExpenditureNetExportsCompositionShare,grossDomesticExpenditureNetExportsCompositionShare_state,expenditureDeflator,expenditureDeflator_state,outputDeflator,outputDeflator_state,incomeDeflator,incomeDeflator_state,population,grossDomesticIncomePerCapitaCurrentPrices,grossDomesticIncomePerCapitaCurrentPrices_state,grossDomesticProductPerCapitaCurrentPrices,grossDomesticProductPerCapitaCurrentPrices_state,grossDomesticExpenditurePerCapitaCurrentPrices,grossDomesticExpenditurePerCapitaCurrentPrices_state,grossDomesticIncomePerCapitaConstantPrices,grossDomesticIncomePerCapitaConstantPrices_state,grossDomesticProductPerCapitaConstantPrices,grossDomesticProductPerCapitaConstantPrices_state,grossDomesticExpenditurePerCapitaConstantPrices,grossDomesticExpenditurePerCapitaConstantPrices_state
1800,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,43.85504914239264,,2.7069702800056445,,,blank,29.910029719994352,,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,2115368,,blank,,blank,,blank,,blank,,blank,,blank
1801,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,36.994886002767764,,2.2835239927911637,,,blank,31.865476007208837,,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,2120846,,blank,,blank,,blank,,blank,,blank,,blank
1802,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,29.21573911227471,,1.8033530695300768,,,blank,28.218646930469923,,,blank,2.1429034392208024,,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,2126324,,blank,,blank,,blank,,blank,,blank,,blank
1803,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,21.485648533240372,,1.3262101665257742,,,blank,31.076789833474223,,,blank,-15.489689046482567,,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,2131802,,blank,,blank,,blank,,blank,,blank,,blank
1804,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,38.242355278178366,,2.36052452795856,,,blank,33.25747547204144,,,blank,17.96976010101649,,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,2139795,,blank,,blank,,blank,,blank,,blank,,blank
1805,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,29.594973308536385,,1.8267614505151033,,,blank,33.8382385494849,,,blank,8.725902749018132,,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,2149651,,blank,,blank,,blank,,blank,,blank,,blank
1806,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,33.32581499243593,,2.0570491313002965,,,blank,33.4749508686997,,,blank,-0.09943944373297597,,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,2161582,,blank,,blank,,blank,,blank,,blank,,blank
1807,119.29741856448038,,1.36,,142.71345218777395,,226.9275605217955,,490.29843127404985,,21.39075807925348,,511.68918935330333,,0.24608975038110925,,0.2910746661312587,,0.462835583487632,,180.10375299266641,,165.75439031004316,,81.63566620112674,,31.633149171270723,,35.9089225866931,,495.0358812618001,,473.6451231825466,,0.421301429374383,,0.38773518265076934,,0.19096338797484771,,39.124661410916126,,2.414985223497471,,383.00292352937436,,33.92301477650253,,9.1,,9.372129962480386,,0.0225215228209259,,35.9089225866931,,512.8691590122849,,21.39075807925348,,534.2599170915383,,0.07618664455620486,,0.8850372687328718,,0.01907915860700821,,0.019696928103915275,,126.73640024451579,,128.36949798606264,,126.73640024451579,,2163092,218.9667028413709,,226.66554694578403,,237.10002117907368,,172.7733330115995,,176.57274547446903,,187.0812337431318,
1808,94.57299195923848,,1.36,,135.14225781747734,,205.16927226945504,,436.24452204617086,,23.47766323033051,,459.72218527650136,,0.2199064678434752,,0.3097855697616629,,0.47030796239486194,,179.31644874762202,,181.38887120247347,,89.33580169059982,,32.88415094339623,,33.57952676829438,,516.5047993523859,,493.0271361220554,,0.39844458678330513,,0.40304954920828556,,0.19850586400840922,,28.549167870523892,,1.7622086955934004,,367.23676494039046,,35.5937913044066,,10.7,,12.958016630686352,,0.03705928305173851,,33.57952676829438,,490.4165354929468,,23.47766323033051,,513.8941987232773,,0.08177095832118854,,0.8663613613875684,,0.02342192028152686,,0.0284457600097162,,123.8319497662567,,128.57038045729698,,123.8319497662567,,2156215,228.65397751247227,,202.31958410741547,,227.443244524756,,184.64861285320632,,157.36095933434166,,183.67089022992403,
1809,107.62328379715798,,1.36,,112.0867886355101,,186.81201034442384,,407.8820827770919,,25.768169071642816,,433.65025184873474,,0.26719311389001976,,0.2748019424446395,,0.4580049436653408,,179.1146431175451,,197.8614411629942,,97.44870428253978,,35.31328545780969,,35.604506693300785,,545.3425807141896,,519.5744116425468,,0.3775406501419143,,0.41705544468338146,,0.20540390517470417,,27.736797544431035,,1.7120648154223457,,288.86083406781023,,37.403935184577655,,-55.8,,67.05442273868422,,0.06098124319696471,,35.604506693300785,,402.63354228742327,,25.768169071642816,,428.4017113590661,,0.1065746744986581,,0.8625956011893006,,-0.1520315685915002,,0.1828612929035415,,,blank,121.81627719473344,,,blank,2156407,,blank,,blank,,blank,,blank,,blank,,blank
