year,machineryAndTransportEquipmentCurrentPrices,otherNonResidentialCapitalGoodsCurrentPrices,residentialDwellingsCurrentPrices,totalGfcfCurrentPrices,implicitTotalGfcfDeflator,totalGfcfConstant1913Prices
1800,6200,7632,18786,32617,66.91490234695551,48744
1801,6050,8330,19769,34149,69.31555230787967,49266
1802,5100,7430,17491,30022,60.7818921709554,49393
1803,4685,8388,19330,32403,66.24077519062902,48917
1804,4439,10229,20950,35618,70.23168687764961,50715
1805,5076,9573,21016,35665,69.58481289265228,51254
1806,5049,9477,21006,35532,69.0424374319913,51464
1807,4420,10351,21566,36338,69.96822951766632,51935
1808,5196,10157,22004,37356,74.14405652700316,50383
1809,4671,13628,20816,39116,74.13247417795887,52765
1810,4450,8562,19623,32635,67.8017160783662,48133
1811,3682,9071,19085,31838,66.92310926136125,47574
1812,3711,8242,18602,30554,65.22639455201417,46843
1813,3597,7971,18006,29574,63.24636441402909,46760
1814,6438,7295,17092,30825,62.96213080599698,48958
1815,6303,7477,17124,30905,60.54224538170705,51047
1816,5714,9696,16829,32239,57.16844289184828,56393
1817,7313,10858,18273,36444,61.19590952596846,59553
1818,8409,10219,19800,38428,65.26716260742552,58878
1819,7813,10131,18555,36499,63.23677189091791,57718
1820,7820,12105,18177,38102,61.56406527710454,61890
1821,7301,9920,17471,34692,58.160237388724035,59649
1822,7227,11137,17385,35749,56.7976358812221,62941
1823,7493,11050,18013,36556,56.94968063561302,64190
1824,8173,11257,18194,37624,58.269448187210585,64569
1825,7616,9521,20916,38053,64.24398973527823,59232
1826,7211,11349,20470,39031,61.35502633026802,63615
1827,7742,9951,19747,37440,58.83462191212521,63636
1828,7333,8623,19750,35706,56.571129806549735,63117
1829,7871,8953,20017,36841,55.03338661249122,66943
1830,8349,8739,19930,37018,57.22368217653424,64690
1831,7448,8873,19680,36001,53.32375507302189,67514
1832,7949,9494,19629,37071,53.796255986068786,68910
1833,8345,8290,18870,35504,53.70605675561203,66108
1834,8801,9781,19530,38112,55.92451833482516,68149
1835,11588,9669,20678,41935,60.12962246024577,69741
1836,13149,10466,22476,46091,63.403260196712296,72695
1837,14347,8771,22773,45891,66.2561540793786,69263
1838,14591,10606,22528,47725,63.74978293683128,74863
1839,15597,9431,22276,47304,64.13492956600729,73757
1840,13462,13802,21599,48863,60.174626240732984,81202
1841,12220,11172,23295,46687,61.15506536375782,76342
1842,9891,10725,19708,40324,59.05423018906609,68283
1843,9371,12770,18726,40867,57.18703646693347,71462
1844,8359,11962,20274,40596,57.446085922907116,70668
1845,10066,13005,22629,45700,62.49059906195731,73131
1846,10961,11406,22079,44446,64.41729350551472,68997
1847,11374,14499,23144,49017,63.40400212135715,77309
1848,11336,10193,20654,42183,61.3856631450275,68718
1849,11280,9162,20724,41167,58.07821449733359,70882
1850,10913,9371,21221,41505,58.092825350614454,71446
1851,11871,8787,20427,41085,57.278886906089674,71728
1852,13877,24972,21432,60281,61.02489345116976,98781
1853,19057,15644,21607,56308,73.60715312818635,76498
1854,21127,16333,21380,58840,74.80580240792301,78657
1855,20242,15116,21919,57277,71.93434140460162,79624
1856,22155,15910,22637,60702,71.05300121734246,85432
1857,21524,13566,21743,56833,71.98059678808451,78956
1858,15993,15551,22744,54288,67.9772607748366,79862
1859,14913,15304,22766,52983,67.64765966139782,78322
1860,13416,21038,23970,58425,67.43888080892029,86634
1861,14309,19481,26089,59879,68.08764668425361,87944
1862,17849,20331,26081,64262,70.10374507729063,91667
1863,16597,24269,26529,67394,69.10645802998297,97522
1864,18659,26734,27691,73084,72.70086643389338,100527
1865,18853,30867,28209,77929,71.3792408587968,109176
1866,20477,34724,27017,82217,69.37089724767546,118518
1867,18359,33605,26976,78940,68.63571944041108,115013
1868,15421,31987,28539,75947,68.68183544647218,110578
1869,15989,33988,31183,81160,68.98779368263574,117644
1870,17134,39601,30936,87671,70.36082887915121,124602
1871,18958,32905,34388,86251,70.37393624399279,122561
1872,24199,44720,36888,105807,78.06387829333255,135539
1873,33653,39543,32192,105389,93.64331855379722,112543
1874,29171,38326,32118,99615,94.36276831555614,105566
1875,23079,39107,41569,103755,82.2010600454758,126221
1876,27313,42425,45837,115575,83.96294950962586,137650
1877,27182,56650,50703,134535,83.69050655353244,160753
1878,24052,46185,41895,112132,80.04168689147131,140092
1879,27386,45713,53403,126502,77.43993143766643,163355
1880,26934,46084,51513,124532,78.10685031171991,159438
1881,26333,53960,56784,137077,78.32658122246539,175007
1882,34946,42017,57875,134837,79.25667295608575,170127
1883,45119,47099,57606,149824,79.5780595199524,188273
1884,38640,48501,52431,139572,78.33685994757786,178169
1885,28356,45913,54243,128511,75.51608031637647,170177
1886,28113,49414,61389,138916,73.78120999994688,188281
1887,24406,43713,55351,123470,73.392259544798,168233
1888,29751,46423,69986,146160,75.72036927667776,193026
1889,33333,37919,60669,131921,77.89107613098261,169366
1890,42703,47886,61768,152357,81.01682477559876,188056
1891,50052,48034,58904,156990,82.77749363310889,189653
1892,40853,48017,58985,147856,81.24848884492802,181980
1893,33065,43268,57954,134287,76.56610809238997,175387
1894,34442,45035,59066,138543,75.32212641490969,183934
1895,35970,47091,58901,141962,76.79017688105155,184870
1896,42968,47857,64626,155451,83.76630724712652,185577
1897,47078,48887,68148,164113,88.47061994609165,185500
1898,51069,50132,63288,164490,87.7373586515895,187480
1899,77984,53500,72810,204295,92.19005243634986,221602
1900,78046,60987,78194,217227,94.87013752713202,228973
1901,84375,61233,76043,221651,89.60845748013988,247355
1902,70719,64167,79507,214392,88.48898592956112,242281
1903,72376,71522,87952,231850,89.44347141743887,259214
1904,66102,74453,90293,230847,87.07428851630425,265115
1905,70790,75642,89371,235803,88.19978230865043,267351
1906,89251,86082,95471,270803,92.0992130161818,294034
1907,106891,76199,78073,261162,93.9989562150197,277835
1908,97135,78687,81093,256915,90.44583072232744,284054
1909,91169,74892,91202,257263,87.359120374615,294489
1910,90052,84682,100540,275275,88.51058493672188,311008
1911,101661,84875,104831,291366,90.2316132408821,322909
1912,139897,91578,112291,343765,95.36788898691124,360462
1913,182884,112867,124073,419825,100,419825
