year,miningValueAddedCurrentPrices,ceramicsAndGlassValueAddedCurrentPrices,ceramicsAndGlassValueAddedCurrentPrices_state,diamondCuttingValueAddedCurrentPrices,diamondCuttingValueAddedCurrentPrices_state,paperValueAddedCurrentPrices,printingValueAddedCurrentPrices,printingValueAddedCurrentPrices_state,woodworkingValueAddedCurrentPrices,woodworkingValueAddedCurrentPrices_state,foodstuffsValueAddedCurrentPrices,textilesValueAddedCurrentPrices,clothingValueAddedCurrentPrices,leatherValueAddedCurrentPrices,chemicalsValueAddedCurrentPrices,metalsAndEngineeringValueAddedCurrentPrices,shipbuildingValueAddedCurrentPrices,utilitiesValueAddedCurrentPrices,constructionValueAddedCurrentPrices,industryTotalValueAddedCurrentPrices
1807,3.1405434948310953,,blank,,blank,1.001163041825506,,blank,,blank,41.947647008309474,21.98200614192985,30.9,9.99259259259259,3.8658153204680943,4.274456925696133,0.33825947245980764,0.11971181340789079,16.9332,142.71345218777395
1808,3.121982265449064,,blank,,blank,1.0094703094153963,,blank,,blank,40.51158198924318,23.434508289821874,29.648673552147596,3.944444444444444,3.409855251234207,4.457681549366018,0.39827401774802956,0.11971181340789079,17.304,135.14225781747734
1809,2.8109755766685534,,blank,,blank,0.9833788759911841,,blank,,blank,37.679069969817945,12.488413810673581,23.8646518708363,3.155555555555555,3.9218659815337,3.9044068352321526,0.38911740894408486,0.11971181340789079,16.315199999999997,112.0867886355101
1810,2.7331586192744495,,blank,,blank,0.9350634305297265,,blank,,blank,35.475438404800535,11.817100294107957,22.75785039703162,3.155555555555555,3.617797711035221,3.421212427632447,0.41761232499663925,0.11971181340789079,15.45,106.00470955817167
1811,2.514173461387902,,blank,,blank,0.8894856961875488,,blank,,blank,26.007409453558076,11.181873172848878,21.702380470363952,3.6814814814814807,2.475638340883243,2.9991845113235405,0.5114369888561734,0.11971181340789079,14.955599999999999,92.35667102071105
1812,2.2000160673899427,,blank,,blank,0.8161163242469349,,blank,,blank,27.540319277246756,10.580792626091185,20.695861422037808,5.259259259259259,1.9302692485389996,2.6305445719369374,0.6365404552941436,0.11971181340789079,14.5848,92.30982935036492
1813,2.075347462560505,,blank,,blank,0.7830476498573194,,blank,,blank,26.383992030434936,10.012023107915699,19.736022994578438,6.048148148148147,1.6209625179364846,2.3085046766317023,0.7651559642735261,0.11971181340789079,14.090399999999999,89.07249496803762
1814,2.490404482161003,,blank,,blank,0.9030378976243819,,blank,,blank,28.885877751847172,9.473827742002477,18.820700221144783,2.8925925925925924,1.7787361520291918,2.0271412166217595,1.009186123624056,0.11971181340789079,13.3488,86.74517762023875
1815,2.5262534254177087,,blank,,blank,0.9477455267031255,,blank,,blank,35.9163734872377,8.96456301765574,30.54460792071463,7.888888888888888,4.023018288929996,1.7812847546080341,1.0325013820000628,0.11971181340789079,13.4724,113.76863756058783
1816,3.170028209576869,,blank,,blank,0.9276418677029158,,blank,,blank,35.773197977199054,17.325456724241352,33.26855953121529,6.31111111111111,4.342652582641009,1.5753151431851868,1.0902855280378578,0.11971181340789079,13.2252,124.2860898269643
1817,2.0120737734247807,,blank,,blank,0.8988152232577817,,blank,,blank,32.68430076999276,18.4584602673059,25.527246730170994,9.466666666666665,3.942632506339904,1.774669960436385,1.1964412813989784,0.11971181340789079,14.337599999999998,117.16551490205286
1818,2.6339669337072307,,blank,,blank,0.9088161847235448,,blank,,blank,37.83341523444188,21.10770305109438,27.681557462241532,3.944444444444444,3.558515713351908,1.8840312402950234,1.2233340722504622,0.11971181340789079,15.573599999999999,123.58569365484969
1819,2.471833213158165,,blank,,blank,0.891348603743548,,blank,,blank,27.49702139891553,20.722908979965034,17.241983336181185,8.414814814814815,2.7446648268789295,2.4399261164743082,1.2444933998407977,0.11971181340789079,14.5848,104.3844113190919
1820,3.205802610852902,,blank,,blank,0.9071119683039188,,blank,,blank,34.99992630877002,19.360939838301615,20.871157121332118,6.837037037037036,2.8289103142829535,2.637762986981027,1.3926545111460717,0.11971181340789079,14.337599999999998,114.06708972910454
1821,2.8993203080620673,,blank,,blank,0.8508886712410499,,blank,,blank,32.7535797364224,19.196519816822846,21.636529722815723,9.99259259259259,2.648305883216308,2.853632629829728,1.5329002234955658,0.11971181340789079,13.7196,114.81513212553607
1822,2.8212337068482047,,blank,,blank,0.8384569864411289,,blank,,blank,29.525896363094766,17.831956155128832,32.80681603641166,7.362962962962961,2.18507827264105,2.3442073981966605,1.682984459734871,0.11971181340789079,13.596,117.90476953618811
1823,2.9312894460628414,,blank,,blank,0.8365320804075925,,blank,,blank,36.90829457198758,18.004944762390167,35.544096829425925,9.72962962962963,2.0959294825123576,2.7017770863224166,1.8296397629784704,0.11971181340789079,14.090399999999999,132.41741138521965
1824,2.6225080910802103,,blank,,blank,0.8611548367532427,,blank,,blank,28.359751759009875,17.678380454812643,31.19147264861518,8.414814814814815,1.932358264197419,2.8299269919316874,1.9613150003321946,0.11971181340789079,14.337599999999998,117.04919222281039
1825,2.74058884761763,,blank,,blank,0.8427743961484789,,blank,,blank,27.838590326857567,19.425358153967238,30.682673583394994,7.625925925925925,1.7400359719186893,4.514032588917979,2.1130957472988814,0.11971181340789079,16.4388,121.05230119084527
1826,2.67509255600864,,blank,,blank,0.7829281145255662,,blank,,blank,32.21674320243654,15.690209646101115,35.4525471770268,2.6296296296296293,1.6274225940057672,4.447017462029626,2.264987943875396,0.11971181340789079,16.067999999999998,120.93844780522286
1827,2.5577621732857367,,blank,,blank,0.7661829616046105,,blank,,blank,37.89256681508461,16.02725900330411,38.14760042522712,10.518518518518517,1.5963851837374137,3.7664838269212457,2.4527731064615,0.17234786155915344,15.45,137.2514081902127
1828,2.769686878936434,,blank,,blank,0.8712955382393298,,blank,,blank,37.92677447653172,15.783654374208977,39.36290665094618,9.72962962962963,1.7029633186724351,4.637358492924733,2.528067224532264,0.18625235035718116,15.45,138.9499251871625
1829,2.8117735849268195,,blank,,blank,0.8574446862669657,,blank,,blank,43.99615480514198,15.181822594934468,36.72790215975785,8.414814814814815,1.7939703323126357,3.994743081120394,2.814734195944718,0.19683259864719999,15.697199999999999,140.58275446120302
1830,3.351769898500831,,blank,,blank,0.7925185627180403,,blank,,blank,37.889834244578516,15.110360383297927,37.92078940030906,9.466666666666665,1.7676074090673983,2.915897996345907,2.8124048990993136,0.19689007404213305,15.573599999999999,135.60718646763866
1831,2.501260865126486,,blank,,blank,0.7678889036938673,,blank,,blank,36.941303891992824,14.558770619307396,41.52066410421539,9.466666666666665,1.793875887225064,2.620931777406491,2.6557315142611806,0.20651430791174852,15.45,136.33432738224906
