year,changesInInventoriesAndWorkInProgressCurrentPrices,changesInInventoriesAndWorkInProgressConstant1913Prices,implicitChangesInInventoriesAndWorkInProgressDeflator,depreciationConstant1913Prices,depreciationCurrentPrices
1800,11.8,9.7,121.64948453608248,41.9,28.9429718875502
1801,0.2,0.1,200,41.9,30.131274900398406
1802,2.1,1.8,116.66666666666667,41.9,26.806102362204726
1803,14.6,12.5,116.8,42,28.662721893491128
1804,-6.8,-5.9,115.25423728813557,42,30.805293005671082
1805,3.1,2.4,129.16666666666669,42,30.86842105263158
1806,17.5,14.8,118.24324324324324,42.1,31.083177570093458
1807,9.1,8.3,109.63855421686746,42.1,31.633149171270723
1808,10.7,10,107,42.2,32.88415094339623
1809,-55.8,-52.1,107.10172744721689,42.3,35.31328545780969
1810,-47.9,-44,108.86363636363636,42.3,34.10489236790607
1811,-82.8,-76.9,107.67230169050714,42.4,31.862230919765164
1812,-69.4,-60.5,114.7107438016529,42.4,31.59051383399209
1813,-23.2,-23.1,100.43290043290042,42.5,30.512820512820507
1814,8.1,9.1,89.01098901098901,42.5,29.307465618860512
1815,30.3,34.3,88.33819241982508,42.6,26.875706214689266
1816,19.5,18,108.33333333333333,42.8,25.124914675767915
1817,30.8,25.7,119.8443579766537,43,26.445350734094617
1818,9.9,8.9,111.23595505617978,43.2,28.303448275862074
1819,24.7,26.1,94.63601532567048,43.4,28.83672787979966
1820,42.9,51.6,83.13953488372093,43.7,28.497035881435263
1821,28.1,38,73.94736842105264,43.9,27.730048465266556
1822,22.1,31.1,71.06109324758843,44.2,27.18435582822086
1823,10.7,14.4,74.30555555555554,44.5,26.726726726726728
1824,-14.5,-20.6,70.3883495145631,44.8,26.920179372197307
1825,-21.5,-26.5,81.13207547169812,45.1,29.521293375394325
1826,-32.1,-42.2,76.06635071090048,45.5,30.466960352422916
1827,6.9,8.7,79.31034482758622,45.8,28.947774480712162
1828,5.7,7.4,77.02702702702703,46.1,28.11479820627802
1829,28.6,35.5,80.56338028169014,46.5,27.147017045454543
1830,2.8,3.2,87.5,46.9,26.722877697841728
1831,17.9,19.8,90.4040404040404,47.3,25.310814606741573
1832,-3.3,-3.9,84.61538461538461,47.7,25.198758620689656
1833,20.2,28.5,70.87719298245614,48,25.001438848920863
1834,25.8,37.9,68.07387862796834,48.4,26.603076923076923
1835,27.7,38.8,71.3917525773196,48.8,27.76903765690376
1836,2.7,3.5,77.14285714285715,49.2,28.27510094212652
1837,4.9,6.5,75.3846153846154,49.5,31.786421499292786
1838,8.4,10.2,82.3529411764706,49.9,31.17926023778071
1839,7.9,9,87.77777777777777,50.3,31.089608636977058
1840,6.4,7.4,86.48648648648648,50.8,31.109599027946533
1841,-1.7,-2.1,80.95238095238095,51.3,31.549174078780172
1842,27,32.6,82.82208588957054,51.6,30.745
1843,25.6,33.4,76.64670658682635,52,28.996026490066225
1844,17.4,23.7,73.41772151898734,52.4,28.844036697247706
1845,-18.1,-21.7,83.41013824884793,52.9,31.22849872773537
1846,-46.1,-48.6,94.8559670781893,53.3,34.1005376344086
1847,-54.2,-51.7,104.83558994197293,53.7,35.27737226277373
1848,4.9,6.4,76.5625,54.1,35.083923705722064
1849,33.8,46.6,72.5321888412017,54.5,32.81642189586115
1850,27.4,36.6,74.86338797814207,54.8,30.861052631578943
1851,1.3,1.8,72.22222222222221,55.3,30.81822916666666
1852,6.5,8.4,77.38095238095238,56.2,33.140839694656485
1853,8.2,10.2,80.3921568627451,56.6,37.661596958174904
1854,43.6,51.3,84.99025341130604,57.2,41.19761904761905
1855,7.2,8.3,86.74698795180721,58,42.52886836027714
1856,-4,-3.9,102.56410256410258,58.7,41.15522222222223
1857,-20.5,-20.6,99.5145631067961,59.5,42.5
1858,-43.9,-48.3,90.89026915113871,60,40
1859,-21.9,-24.4,89.75409836065573,60.2,37.408877284595306
1860,-12.3,-13.5,91.11111111111111,60.5,37.92857142857143
1861,39.1,44.9,87.08240534521158,61.1,39.870901194353976
1862,58.4,65.5,89.16030534351145,61.8,40.88012422360248
1863,22.5,24.3,92.5925925925926,63.1,43.40844827586207
1864,-16.7,-18.3,91.25683060109289,64.5,45.80434782608696
1865,-29.5,-31.8,92.76729559748428,65.1,43.5622429906542
1866,53.6,62.3,86.03531300160515,66,43.2741116751269
1867,6.2,7,88.57142857142858,66.8,44.024604569420035
1868,35.1,39.7,88.41309823677581,67.3,44.61246458923513
1869,-13.7,-16,85.625,67.9,45.205987488829315
1870,24,29.1,82.4742268041237,68.9,48.02286392405063
1871,9.8,11.1,88.2882882882883,69.4,47.23965665236052
1872,-0.3,-0.2,150,70.5,54.33733624454148
1873,-2.3,-2.1,109.52380952380952,72.5,73.02271088680607
1874,54.8,56,97.85714285714285,73.9,80.28715670436189
1875,27,26.1,103.44827586206895,75.2,65.57524613220816
1876,9.5,9.5,100,76.6,64.73968897903987
1877,-24.1,-24.5,98.36734693877551,78.4,64.92920962199312
1878,47.1,50.3,93.63817097415507,81.1,63.826158192090396
1879,-1.7,-1.8,94.44444444444444,84.5,63.606218905472645
1880,27.6,30.7,89.90228013029316,87.2,66.53971078976639
1881,-6.5,-7,92.85714285714286,89.7,68.31179220779221
1882,7.6,8.1,93.82716049382715,91.2,67.55353293413174
1883,1.8,2,90,93,68.52883625128733
1884,7,7.8,89.74358974358975,95,69.70906282183317
1885,13.9,17.4,79.88505747126437,97.4,70.3385945945946
1886,-22.4,-29.9,74.91638795986621,99.4,70.03766166580444
1887,44.5,60.6,73.43234323432343,101.3,71.22833894500563
1888,5.6,8.1,69.1358024691358,103.5,74.63119834710744
1889,50,68.1,73.42143906020559,105.8,77.71982232093282
1890,23.6,31.1,75.88424437299035,108.7,83.19670958512161
1891,30.2,42.4,71.22641509433963,112.2,92.11481481481482
1892,17.6,24.3,72.42798353909465,114.5,90.41911021233568
1893,-21.1,-30.2,69.86754966887418,115.7,86.0227434982152
1894,-34.8,-50.9,68.36935166994105,117.3,84.96388467374811
1895,28.2,42.9,65.73426573426573,119.2,88.5809095452274
1896,17.3,24.2,71.48760330578513,121.3,96.46931931931931
1897,-16.5,-23.1,71.42857142857142,123.8,107.72731503024663
1898,-22.5,-28.7,78.397212543554,125.5,109.76187183033655
1899,5.1,6.5,78.46153846153847,128.1,114.67511999999999
1900,-45.6,-53.6,85.07462686567165,131.4,121.52837680031142
1901,0.4,0.4,100,135.1,122.69019683519876
1902,42.3,54,78.33333333333333,140.6,119.28946069792032
1903,45.7,53.7,85.1024208566108,145.3,126.54220735785954
1904,16.3,18.4,88.58695652173914,148.9,129.12904564315355
1905,-33.2,-36.4,91.20879120879121,153.6,129.4562100302928
1906,10.4,12,86.66666666666667,158.5,139.91436100131753
1907,64.5,71,90.84507042253522,163.9,148.19598754756137
1908,71,80.3,88.4184308841843,170.3,155.56872623574145
1909,11.3,13.1,86.25954198473283,175.7,153.05373599003738
1910,44.6,50.7,87.96844181459565,180.4,156.0505487985761
1911,63,68.3,92.24011713030748,184.8,165.53408151210868
1912,20.2,19.9,101.50753768844221,191.5,177.25363881401614
1913,24.6,24.6,100,199.2,199.2
