year,agricultureValueAddedCurrentPrices,agricultureValueAddedCurrentPrices_state,fisheriesValueAddedCurrentPrices,fisheriesValueAddedCurrentPrices_state,industryValueAddedCurrentPrices,industryValueAddedCurrentPrices_state,servicesValueAddedCurrentPrices,servicesValueAddedCurrentPrices_state,grossDomesticProductValueAddedCurrentPrices,grossDomesticProductValueAddedCurrentPrices_state,agricultureValueAddedPriceIndex,agricultureValueAddedPriceIndex_state,fisheriesValueAddedPriceIndex,fisheriesValueAddedPriceIndex_state,industryValueAddedPriceIndex,industryValueAddedPriceIndex_state,servicesValueAddedPriceIndex,servicesValueAddedPriceIndex_state,grossDomesticProductValueAddedPriceIndex,grossDomesticProductValueAddedPriceIndex_state,agricultureValueAddedConstant1913Prices,agricultureValueAddedConstant1913Prices_state,fisheriesValueAddedConstant1913Prices,fisheriesValueAddedConstant1913Prices_state,industryValueAddedConstant1913Prices,industryValueAddedConstant1913Prices_state,servicesValueAddedConstant1913Prices,servicesValueAddedConstant1913Prices_state,grossDomesticProductValueAddedConstant1913Prices,grossDomesticProductValueAddedConstant1913Prices_state,housingValueAddedAdjustmentCurrentPrices,housingValueAddedAdjustmentCurrentPrices_state,servicesValueAddedHousingAdjustmentNominal,servicesValueAddedHousingAdjustmentNominal_state,servicesValueAddedHousingAdjustmentReal,servicesValueAddedHousingAdjustmentReal_state,grossDomesticProductValueAddedHousingAdjustmentNominal,grossDomesticProductValueAddedHousingAdjustmentNominal_state,grossDomesticProductValueAddedHousingAdjustmentReal,grossDomesticProductValueAddedHousingAdjustmentReal_state,agricultureEmployment,industryEmployment,servicesEmployment,totalEmployment,agricultureLabourInputManHours,industryLabourInputManHours,servicesLabourInputManHours,totalLabourInput,agricultureRealValueAddedProductivity,agricultureRealValueAddedProductivity_state,industryRealValueAddedProductivity,industryRealValueAddedProductivity_state,servicesRealValueAddedProductivity,servicesRealValueAddedProductivity_state,grossDomesticProductRealValueAddedProductivity,grossDomesticProductRealValueAddedProductivity_state,agricultureRealValueAddedPerWorker,agricultureRealValueAddedPerWorker_state,industryRealValueAddedPerWorker,industryRealValueAddedPerWorker_state,servicesRealValueAddedPerWorker,servicesRealValueAddedPerWorker_state,grossDomesticProductRealValueAddedPerWorker,grossDomesticProductRealValueAddedPerWorker_state,agricultureRealValueAddedPerManHour,agricultureRealValueAddedPerManHour_state,industryRealValueAddedPerManHour,industryRealValueAddedPerManHour_state,servicesRealValueAddedPerManHour,servicesRealValueAddedPerManHour_state,grossDomesticProductRealValueAddedPerManHour,grossDomesticProductRealValueAddedPerManHour_state,agricultureNominalValueAddedPerManHour,agricultureNominalValueAddedPerManHour_state,industryNominalValueAddedPerManHour,industryNominalValueAddedPerManHour_state,servicesNominalValueAddedPerManHour,servicesNominalValueAddedPerManHour_state,agricultureRelativeProductivityWorkerGdp100,agricultureRelativeProductivityWorkerGdp100_state,industryRelativeProductivityWorkerGdp100,industryRelativeProductivityWorkerGdp100_state,servicesRelativeProductivityWorkerGdp100,servicesRelativeProductivityWorkerGdp100_state,relativeProductivityWorkerGdp100StandardDeviationSeries,relativeProductivityWorkerGdp100StandardDeviationSeries_state,relativeProductivityWorkerGdp100StandardDeviationFiveYearAverage,relativeProductivityWorkerGdp100StandardDeviationFiveYearAverage_state,agricultureRelativeProductivityWorkerIndustry100,agricultureRelativeProductivityWorkerIndustry100_state,agricultureRelativeProductivityWorkerIndustry100FiveYearAverage,agricultureRelativeProductivityWorkerIndustry100FiveYearAverage_state,agricultureRelativeProductivityManHourGdp100,agricultureRelativeProductivityManHourGdp100_state,industryRelativeProductivityManHourGdp100,industryRelativeProductivityManHourGdp100_state,servicesRelativeProductivityManHourGdp100,servicesRelativeProductivityManHourGdp100_state,relativeProductivityManHourGdp100StandardDeviationSeries,relativeProductivityManHourGdp100StandardDeviationSeries_state,relativeProductivityManHourGdp100StandardDeviationFiveYearAverage,relativeProductivityManHourGdp100StandardDeviationFiveYearAverage_state,agricultureRelativeProductivityManHourIndustry100,agricultureRelativeProductivityManHourIndustry100_state,agricultureRelativeProductivityManHourIndustry100FiveYearAverage,agricultureRelativeProductivityManHourIndustry100FiveYearAverage_state
1800,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,371511,217156,265575,854242,953041.1639146915,701025.9922904653,857332.8754560791,2511400.0316612357,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1801,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,372107,218728,265988,856823,954908.8319267352,705687.0997340089,858163.1079882297,2518759.039648974,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1802,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,372699,220308,266398,859405,956767.4519388273,710357.0811189767,858968.8331605443,2526093.366218348,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1803,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,373287,221897,266806,861990,958616.987950967,715038.5848743438,859752.8793809027,2533408.4522062135,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1804,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,374312,223758,267525,865595,961590.3479631114,720577.963151102,861522.8040650995,2543691.115179313,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1805,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,375657,225826,268473,869956,965388.0599753105,726763.7562580504,864012.318926375,2556164.135159736,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1806,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,377359,228125,269677,875161,970106.0999875949,733671.1894746075,867306.2810474247,2571083.570509627,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1807,119.29741856448038,,1.36,,142.71345218777395,,226.9275605217955,,490.29843127404985,,76.95776615633685,,36.3,,179.1,,146.2107695770793,,128.36949798606264,,155.0167377807356,,3.7465564738292017,,79.68366956324621,,155.2057766867604,,381.94309315386016,,19.7388252,,207.1887353217955,,141.70552273344668,,470.55960607404984,,366.5665235561952,,377238,229335,269577,876150,970139.196,737055.7282805806,866388.785238599,2573583.7095191795,158.7632942545648,,79.68366956324621,,141.70552273344668,,366.5665235561952,,420.85710944964404,,347.4553363561873,,525.6588015054945,,418.3832945913316,,0.16365001528560527,,0.10811077983090096,,0.16355881464280694,,0.1424342725672135,,0.12437124390187032,,0.1936264066771436,,0.26192347406632327,,59.55283179914432,,115.86663481797392,,143.10246846642826,,42.60981270436222,,,blank,51.39774007651263,,,blank,68.02109724397391,,105.8981177994728,,130.79073269764402,,31.60785265725639,,,blank,64.23258378659546,,,blank
1808,94.57299195923848,,1.36,,135.14225781747734,,205.16927226945504,,436.24452204617086,,71.20596946881457,,44.6,,177.4,,152.2938250853515,,128.57038045729698,,132.81610048249922,,3.04932735426009,,76.17940124998722,,134.7193638051116,,339.3040609310975,,19.680976623316237,,185.4882956461388,,121.79633385804303,,416.56354542285465,,323.99650988138046,,375653,229656,268431,873740,966405.8880123578,737566.3680442786,862096.6913143733,2566068.9473710097,135.86542783675932,,76.17940124998722,,121.79633385804303,,323.99650988138046,,361.6780055976109,,331.7109121903509,,453.7342328495704,,370.81570018698983,,0.14058836925776466,,0.10328480873115668,,0.14127920346423023,,0.12626181000059314,,0.09926780574210632,,0.18322725068907195,,0.23798870165787211,,53.56512037191518,,123.4281817498423,,144.9388458448807,,47.77152869250759,,,blank,43.3978039800328,,,blank,61.14986214885933,,112.86963621075303,,132.54019115726788,,36.87466347156275,,,blank,54.17742468371101,,,blank
1809,107.62328379715798,,1.36,,112.0867886355101,,186.81201034442384,,407.8820827770919,,66.3259284442164,,53,,169.9,,150.24763561939656,,121.81627719473344,,162.26427028107844,,2.566037735849057,,65.97221226339617,,124.33607329279457,,334.83381053014654,,19.767502572281447,,167.0445077721424,,111.17945855420663,,388.11458020481047,,318.60650246631417,,375299,230731,268165,874195,965837.8080247011,740481.6075824416,860617.9936694482,2566937.4092765907,164.8303080169275,,65.97221226339617,,111.17945855420663,,318.60650246631417,,439.1973013968262,,285.9269550402684,,414.5934725046394,,364.4570175605147,,0.17066044282738618,,0.08909365416756979,,0.12918560775166546,,0.1241193109403097,,0.11283807994641142,,0.15137011843070106,,0.21706728388039703,,65.40799588698239,,109.42003220952472,,140.30671825135846,,37.64054845446921,,,blank,59.77698467656711,,,blank,74.6295819272074,,100.11415171296842,,128.3740078824661,,26.884152981345334,,,blank,74.54448811709818,,,blank
