year,foreignTradeValueAddedCurrentPrices,foreignTradeValueAddedCurrentPrices_state,domesticTradeValueAddedCurrentPrices,domesticTradeValueAddedCurrentPrices_state,maritimeShippingValueAddedCurrentPrices,maritimeShippingValueAddedCurrentPrices_state,internationalRiverShippingValueAddedCurrentPrices,internationalRiverShippingValueAddedCurrentPrices_state,railwaysValueAddedCurrentPrices,railwaysValueAddedCurrentPrices_state,inlandNavigationValueAddedCurrentPrices,inlandNavigationValueAddedCurrentPrices_state,otherTransportValueAddedCurrentPrices,otherTransportValueAddedCurrentPrices_state,communicationValueAddedCurrentPrices,communicationValueAddedCurrentPrices_state,bankingValueAddedCurrentPrices,bankingValueAddedCurrentPrices_state,insuranceValueAddedCurrentPrices,insuranceValueAddedCurrentPrices_state,governmentValueAddedCurrentPrices,governmentValueAddedCurrentPrices_state,educationValueAddedCurrentPrices,educationValueAddedCurrentPrices_state,remainingSocialServicesValueAddedCurrentPrices,remainingSocialServicesValueAddedCurrentPrices_state,domesticServantsValueAddedCurrentPrices,domesticServantsValueAddedCurrentPrices_state,cateringValueAddedCurrentPrices,cateringValueAddedCurrentPrices_state,housingValueAddedCurrentPrices,housingValueAddedCurrentPrices_state,servicesTotalValueAddedCurrentPrices,servicesTotalValueAddedCurrentPrices_state
1807,57.03978583758046,,25.10304594072346,,0.7977897853619142,,2.3608035360483717,,,blank,30.84708042249738,,13.711323594912338,,0.9437632571585538,,2.8269239351085163,,1.2057504233414327,,31.98809895309431,,1.8878733676511512,,8.043223396847502,,17.567606083186334,,12.865666788283763,,19.7388252,,226.9275605217955,
1808,54.18696168733819,,16.65924393732103,,0.17404903442729033,,0.989634748896906,,,blank,36.89758614895589,,12.581431870377738,,0.9077077550301486,,,blank,,blank,23.341697881004734,,,blank,,blank,,blank,,blank,19.680976623316237,,205.16927226945504,
1809,36.485644952084996,,23.148959195674355,,0.18968656872477543,,0.5242906887651994,,,blank,36.66096560664778,,10.888519648125179,,0.6269268192693505,,,blank,,blank,22.67792717425178,,,blank,,blank,,blank,,blank,19.767502572281447,,186.81201034442384,
1810,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1811,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1812,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1813,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1814,34.74516404409944,,26.94695201691338,,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1815,39.89548564221204,,29.21202393432547,,3.4344369830535495,,3.242010283809942,,,blank,46.5103454885579,,11.865275263027405,,1.0113244175206824,,3.0324862840976987,,1.0830078048118643,,40.75815720595683,,1.8505421489255272,,8.474140659618916,,16.248941262197135,,12.361982120623932,,18.952979120328582,,237.9331386190675,
1816,46.90402678926789,,29.972358359010713,,4.6323118063579525,,4.547096789507077,,,blank,55.55903418322355,,13.65613193681953,,0.9439554699890158,,,blank,,blank,26.88720074132556,,,blank,,blank,,blank,,blank,19.33002228498893,,247.49089558746692,
1817,63.26280124347397,,35.18456617367433,,5.210878972044334,,4.929426407131193,,,blank,52.607277091314906,,15.620502731847996,,0.933140661537561,,,blank,,blank,25.94051551127257,,,blank,,blank,,blank,,blank,19.605776223931617,,273.3755817492386,
1818,64.11323485183848,,33.733809558925444,,7.697619390025805,,2.588016639646032,,,blank,43.133141491096936,,14.743180408985534,,0.9806820777828097,,,blank,,blank,24.74160355233829,,,blank,,blank,,blank,,blank,19.89118581172673,,259.44690266379484,
1819,49.97225405909601,,24.496099721100013,,6.8781122829724834,,2.9632611840619543,,,blank,43.548302155331506,,12.290605702931341,,0.9402485615448065,,,blank,,blank,23.414890328914392,,,blank,,blank,,blank,,blank,20.220927171323464,,226.78903496391777,
