year,creditBalanceImproperExpenditure,creditBalanceImproperExpenditure_state,internationalServices,internationalServices_state,totalSubsidies,totalSubsidies_state
1815,,blank,,blank,,blank
1816,,blank,,blank,,blank
1817,,blank,,blank,,blank
1818,,blank,,blank,,blank
1819,,blank,,blank,,blank
1820,,blank,,blank,,blank
1821,,blank,,blank,,blank
1822,,blank,,blank,,blank
1823,,blank,,blank,,blank
1824,,blank,,blank,,blank
1825,,blank,0.35114436005772126,,0.35114436005772126,
1826,0,,0.9843741735005729,,0.9843741735005729,
1827,0,,1.3434813432803006,,1.3434813432803006,
1828,0,,1.8953509438044112,,1.8953509438044112,
1829,0,,2.0700389763776386,,2.0700389763776386,
1830,0,,1.473517383955079,,1.473517383955079,
1831,0,,1.6500597992224604,,1.6500597992224604,
1832,0,,1.441109086290163,,1.441109086290163,
1833,0,,1.4438310989616594,,1.4438310989616594,
1834,0,,2.488722031141704,,2.488722031141704,
1835,,blank,2.98167443836354,,2.98167443836354,
1836,0.214,,3.282874523846763,,3.496874523846763,
1837,0.284,,3.7760652905435816,,4.060065290543582,
1838,0.088,,4.294941193749839,,4.382941193749839,
1839,1.694,,4.863674192400499,,6.557674192400499,
1840,0.902,,5.428693546446779,,6.3306935464467795,
1841,0.936,,5.526245954328047,,6.462245954328047,
1842,0.233,,4.783694227298268,,5.0166942272982675,
1843,0.1,,4.816179286567674,,4.916179286567673,
1844,0.085,,4.8133713630181525,,4.8983713630181525,
1845,0.049,,4.616769263883199,,4.6657692638832,
1846,0.021,,4.509950211410315,,4.530950211410315,
1847,0,,4.01306917999537,,4.01306917999537,
1848,0,,4.176713352213941,,4.176713352213941,
1849,0,,4.121102616847818,,4.121102616847818,
1850,0,,3.59023351698705,,3.59023351698705,
1851,0,,3.1577524031445,,3.1577524031445,
1852,0,,3.3589880863256663,,3.3589880863256663,
1853,0,,2.887703859721531,,2.887703859721531,
1854,0,,2.3829367687434053,,2.3829367687434053,
1855,0,,2.3023312294744427,,2.3023312294744427,
1856,0,,2.4557347009322803,,2.4557347009322803,
1857,0,,1.9853573150994934,,1.9853573150994934,
1858,0,,2.09294986697026,,2.09294986697026,
1859,0,,1.7594016140988784,,1.7594016140988784,
1860,0,,1.6026044473951673,,1.6026044473951673,
1861,0,,1.5458030781468506,,1.5458030781468506,
1862,0,,1.2386516655545672,,1.2386516655545672,
1863,0,,1.1202548907713181,,1.1202548907713181,
1864,0,,1.20459754339319,,1.20459754339319,
1865,0,,0.9581942186979469,,0.9581942186979469,
1866,0,,0.8296541520285912,,0.8296541520285912,
1867,0,,0.7314377288895388,,0.7314377288895388,
1868,,blank,0.5492583336890879,,0.5492583336890879,
1869,,blank,,blank,,blank
1870,,blank,,blank,,blank
1871,,blank,,blank,,blank
1872,,blank,,blank,,blank
1873,,blank,,blank,,blank
1874,,blank,,blank,,blank
1875,,blank,,blank,,blank
1876,,blank,,blank,,blank
1877,,blank,,blank,,blank
1878,,blank,,blank,,blank
1879,,blank,,blank,,blank
1880,,blank,,blank,,blank
1881,,blank,,blank,,blank
1882,,blank,,blank,,blank
1883,,blank,,blank,,blank
1884,,blank,,blank,,blank
1885,,blank,,blank,,blank
1886,,blank,,blank,,blank
1887,,blank,,blank,,blank
1888,,blank,,blank,,blank
1889,,blank,,blank,,blank
1890,,blank,,blank,,blank
1891,,blank,,blank,,blank
1892,,blank,,blank,,blank
1893,,blank,,blank,,blank
1894,,blank,,blank,,blank
1895,,blank,,blank,,blank
1896,,blank,,blank,,blank
1897,,blank,,blank,,blank
1898,,blank,,blank,,blank
1899,,blank,,blank,,blank
1900,,blank,,blank,,blank
1901,,blank,,blank,,blank
1902,,blank,,blank,,blank
1903,,blank,,blank,,blank
1904,,blank,,blank,,blank
1905,,blank,,blank,,blank
1906,,blank,,blank,,blank
1907,,blank,,blank,,blank
1908,,blank,,blank,,blank
1909,,blank,,blank,,blank
1910,,blank,,blank,,blank
1911,,blank,,blank,,blank
1912,,blank,,blank,,blank
1913,,blank,,blank,,blank
