series,year,persons,geography,boundary,population_universe,source_table,source_locator,source_note_locator,raw_stored_value,number_format
ons-current,1838,15287699,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B189,"Notes!B20:B21","15287699","#,##0"
ons-current,1839,15514255,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B188,"Notes!B20:B21","15514255","#,##0"
ons-current,1840,15730813,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B187,"Notes!B20:B21","15730813","#,##0"
ons-current,1841,15929492,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B186,"Notes!B20:B21","15929492","#,##0"
ons-current,1842,16130326,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B185,"Notes!B20:B21","16130326","#,##0"
ons-current,1843,16332228,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B184,"Notes!B20:B21","16332228","#,##0"
ons-current,1844,16535174,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B183,"Notes!B20:B21","16535174","#,##0"
ons-current,1845,16739136,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B182,"Notes!B20:B21","16739136","#,##0"
ons-current,1846,16944092,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B181,"Notes!B20:B21","16944092","#,##0"
ons-current,1847,17150018,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B180,"Notes!B20:B21","17150018","#,##0"
ons-current,1848,17356882,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B179,"Notes!B20:B21","17356882","#,##0"
ons-current,1849,17564656,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B178,"Notes!B20:B21","17564656","#,##0"
ons-current,1850,17773324,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B177,"Notes!B20:B21","17773324","#,##0"
ons-current,1851,17982849,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B176,"Notes!B20:B21","17982849","#,##0"
ons-current,1852,18193206,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B175,"Notes!B20:B21","18193206","#,##0"
ons-current,1853,18404368,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B174,"Notes!B20:B21","18404368","#,##0"
ons-current,1854,18616310,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B173,"Notes!B20:B21","18616310","#,##0"
ons-current,1855,18829000,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B172,"Notes!B20:B21","18829000","#,##0"
ons-current,1856,19043412,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B171,"Notes!B20:B21","19043412","#,##0"
ons-current,1857,19256516,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B170,"Notes!B20:B21","19256516","#,##0"
