France 
,Current boundaries,,,1913 boundaries
,(millions 1913 $),,,(millions 1913 $)
,Imports ,Exports,,Imports ,Exports
1800,27.624178915566457,27.061066171726804,,27.624178915566457,27.061066171726804
1801,35.744614066324608,30.940653821917081,,35.744614066324608,30.940653821917081
1802,44.326351428740907,36.413508785384209,,44.326351428740907,36.413508785384209
1803,36.327168017974252,35.854750011700574,,36.327168017974252,35.854750011700574
1804,34.764143695505219,38.484385607177778,,34.764143695505219,38.484385607177778
1805,36.195542161925736,35.808863378606176,,36.195542161925736,35.808863378606176
1806,35.679618822696078,39.612817091828902,,35.679618822696078,39.612817091828902
1807,29.736763345233385,34.238896118575617,,29.736763345233385,34.238896118575617
1808,22.855049853162281,28.970816002036969,,22.855049853162281,28.970816002036969
1809,19.712173302064926,27.212733277294291,,19.712173302064926,27.212733277294291
1810,25.749528769220728,29.052857758484688,,25.749528769220728,29.052857758484688
1811,27.630160125408864,25.333593892481627,,27.630160125408864,25.333593892481627
1812,26.752605690427639,31.369128993606765,,26.752605690427639,31.369128993606765
1813,18.882615268281477,28.858497693159617,,18.882615268281477,28.858497693159617
1814,17.263043676789483,30.90890747048714,,17.263043676789483,30.90890747048714
1815,16.547352670952503,39.224112180947003,,16.547352670952503,39.224112180947003
1816,21.728913378483956,52.434362790626309,,21.728913378483956,52.434362790626309
1817,29.005710774843873,43.421585913733068,,29.005710774843873,43.421585913733068
1818,27.925272671233003,43.079614478688327,,27.925272671233003,43.079614478688327
1819,27.545233228383822,38.00089447179603,,27.545233228383822,38.00089447179603
1820,33.34418238228232,52.540290867114166,,33.34418238228232,52.540290867114166
1821,42.738641330488257,44.043315369244525,,42.738641330488257,44.043315369244525
1822,42.735223001810823,45.367279983788592,,42.735223001810823,45.367279983788592
1823,36.260192643804444,49.117936398989151,,36.260192643804444,49.117936398989151
1824,50.1078706284164,56.609505875531809,,50.1078706284164,56.609505875531809
1825,57.008438695449577,58.620111421845046,,57.008438695449577,58.620111421845046
1826,82.125609447625081,104.38084447589814,,82.125609447625081,104.38084447589814
1827,80.756277335554898,88.080301129234641,,80.756277335554898,88.080301129234641
1828,88.558816208555371,88.775214747611258,,88.558816208555371,88.775214747611258
1829,94.215656891480691,87.559115915452182,,94.215656891480691,87.559115915452182
1830,95.386037722430771,78.698967281150473,,95.386037722430771,78.698967281150473
1831,72.953738462554412,79.220152494932933,,72.953738462554412,79.220152494932933
1832,98.507053271630951,88.080301129234627,,98.507053271630951,88.080301129234627
1833,95.776164666080803,97.287906572724651,,95.776164666080803,97.287906572724651
1834,98.311989799805957,88.775214747611244,,98.311989799805957,88.775214747611244
1835,101.43300534900617,100.24128945082524,,101.43300534900617,100.24128945082524
1836,110.21086158113168,109.27516648972109,,110.21086158113168,109.27516648972109
1837,110.99111546843172,89.296399961393675,,110.99111546843172,89.296399961393675
1838,128.15670098903277,114.48701862754559,,128.15670098903277,114.48701862754559
1839,126.98632015808271,117.61412991024032,,126.98632015808271,117.61412991024032
1840,145.71241345328383,120.74124119293506,,145.71241345328383,120.74124119293506
1841,157.0260948191345,132.20731589614903,,157.0260948191345,132.20731589614903
1842,165.218760635785,111.88109255863333,,165.218760635785,111.88109255863333
1843,165.02369716395998,119.35141395618184,,165.02369716395998,119.35141395618184
1844,169.12003007228523,137.2454396293794,,169.12003007228523,137.2454396293794
1845,166.97433188221009,147.32168709584016,,166.97433188221009,147.32168709584016
1846,179.45839407901087,148.01660071421679,,179.45839407901087,148.01660071421679
1847,186.4806790647113,125.08445130778884,,186.4806790647113,125.08445130778884
1848,107.11839190585712,117.73201704192924,,107.11839190585712,117.73201704192924
1849,149.07183991249238,149.05897114178168,,149.07183991249238,149.05897114178168
1850,149.57188357439301,160.7056139505581,,149.57188357439301,160.7056139505581
1851,149.22355594613404,175.63114426351569,,149.22355594613404,175.63114426351569
1852,190.9082134929061,175.33887958564438,,190.9082134929061,175.33887958564438
1853,211.07725398816993,193.86718412671001,,211.07725398816993,193.86718412671001
1854,221.68602344261066,178.95176192433291,,221.68602344261066,178.95176192433291
1855,261.40231449965967,205.3349929610043,,261.40231449965967,205.3349929610043
1856,292.67261387713086,233.39010121703288,,292.67261387713086,233.39010121703288
1857,283.46545700221992,241.37847393311969,,283.46545700221992,241.37847393311969
1858,266.17904459811621,262.9526216268755,,266.17904459811621,262.9526216268755
1859,275.81715982244521,300.61893173225104,,275.81715982244521,300.61893173225104
1860,311.96030206111118,313.83798305817521,,311.96030206111118,313.83798305817521
1861,394.39416549734091,285.90408009970497,,394.39416549734091,285.90408009970497
1862,349.2635845960815,326.60440125845474,,349.2635845960815,326.60440125845474
1863,381.31391203773302,383.1033959766707,,381.31391203773302,383.1033959766707
1864,390.3322322231943,429.2628902379497,,390.3322322231943,429.2628902379497
1865,431.06630306936546,466.1171701573208,,431.06630306936546,466.1171701573208
1866,474.72234630716116,506.22421218994299,,474.72234630716116,506.22421218994299
1867,539.4214317677305,487.19762044730686,,539.4214317677305,487.19762044730686
1868,597.13621290288506,481.63991761805607,,597.13621290288506,481.63991761805607
1869,582.5157951786656,536.54969397841387,,582.5157951786656,536.54969397841387
1870,503.46062692361312,488.54865665273115,,503.46062692361312,488.54865665273115
1871,585.12539431776054,486.17818491584245,,585.12539431776054,486.17818491584245
1872,577.7563298265934,636.26914538988672,,577.7563298265934,636.26914538988672
1873,583.95108979628526,664.74483533809996,,583.95108979628526,664.74483533809996
1874,607.6307678140239,679.74891464847963,,607.6307678140239,679.74891464847963
1875,632.80819556854692,722.28990582817437,,632.80819556854692,722.28990582817437
