France 
,Current boundaries,,,1913 boundaries
,(millions $),,,(millions $)
,Imports ,Exports,,Imports ,Exports
1800,50.393376469335514,42.436527553124648,,50.393376469335514,42.436527553124648
1801,63.977249934019518,47.019424650303506,,63.977249934019518,47.019424650303506
1802,72.599895561357698,50.741862489120969,,72.599895561357698,50.741862489120969
1803,65.668782846331723,52.993180575993271,,65.668782846331723,52.993180575993271
1804,65.284566410537863,56.254274911574576,,65.284566410537863,56.254274911574576
1805,68.354078453303515,52.099145162578893,,68.354078453303515,52.099145162578893
1806,71.181471132805939,68.047695674128946,,71.181471132805939,68.047695674128946
1807,58.148545860966536,55.633214360619377,,58.148545860966536,55.633214360619377
1808,46.826866988101401,48.43654054081739,,46.826866988101401,48.43654054081739
1809,40.433530277150439,46.610875180603983,,40.433530277150439,46.610875180603983
1810,45.675158675703344,49.313003171998304,,45.675158675703344,49.313003171998304
1811,39.995913461015945,43.875115769943918,,39.995913461015945,43.875115769943918
1812,44.322836460066007,60.296326223271613,,44.322836460066007,60.296326223271613
1813,38.160562085315085,53.820075610364697,,38.160562085315085,53.820075610364697
1814,38.243608057744026,55.365223380667082,,38.243608057744026,55.365223380667082
1815,35.073202461704327,74.376338888639324,,35.073202461704327,74.376338888639324
1816,40.880347826086961,92.191072463768123,,40.880347826086961,92.191072463768123
1817,50.073254946945809,69.981898480068836,,50.073254946945809,69.981898480068836
1818,50.656253298153025,75.682854629978635,,50.656253298153025,75.682854629978635
1819,44.26054359571107,69.016440861108791,,44.26054359571107,69.016440861108791
1820,47.762156623182122,77.417465810113114,,47.762156623182122,77.417465810113114
1821,59.47691247847191,61.137435415688117,,59.47691247847191,61.137435415688117
1822,67.226763889989684,60.756582388840442,,67.226763889989684,60.756582388840442
1823,54.618641936497959,58.994168500471552,,54.618641936497959,58.994168500471552
1824,70.24133528922016,68.080063434167229,,70.24133528922016,68.080063434167229
1825,87.872295757187999,85.168532810812991,,87.872295757187999,85.168532810812991
1826,103.22923034612816,128.9398813499391,,103.22923034612816,128.9398813499391
1827,102.24702865722919,103.00510592699618,,102.24702865722919,103.00510592699618
1828,107.68448203206469,105.76050138669083,,107.68448203206469,105.76050138669083
1829,109.66442404393767,104.20042797072709,,109.66442404393767,104.20042797072709
1830,105.88434231491817,82.529939921617014,,105.88434231491817,82.529939921617014
1831,84.686787620033826,85.900590761034024,,84.686787620033826,85.900590761034024
1832,112.93542009340813,91.617890999355978,,112.93542009340813,91.617890999355978
1833,112.90166557930617,113.28136103001839,,112.90166557930617,113.28136103001839
1834,112.77948934222103,106.64943071087441,,112.77948934222103,106.64943071087441
1835,134.10810641989346,133.42639527484437,,134.10810641989346,133.42639527484437
1836,153.40844280556036,167.81287060707788,,153.40844280556036,167.81287060707788
1837,141.12417325530134,120.15930007411558,,141.12417325530134,120.15930007411558
1838,165.94765106341177,171.88715175904008,,165.94765106341177,171.88715175904008
1839,175.27802206836529,178.61873106937858,,175.27802206836529,178.61873106937858
1840,202.94020483706976,183.53230712341653,,202.94020483706976,183.53230712341653
