"year","boe_total_assets_gbp_mn","boe_government_debt_gbp_mn","boe_other_government_securities_gbp_mn","boe_other_securities_gbp_mn","boe_discounts_advances_gbp_mn","boe_bullion_gbp_mn","boe_notes_gbp_mn","boe_deposits_gbp_mn","boe_bankers_deposits_gbp_mn","monetary_base_gbp_mn","bankers_balances_gbp_mn","broad_money_estimate_gbp_mn","joint_stock_bank_net_liabilities_gbp_mn","all_bank_net_liabilities_gbp_mn","m3_estimate_gbp_mn"
"1790","28.873393","11.6868","6.016979","1.725742",,"8.688872","9.342717","3.734143",,"28.2186681613048",,"56",,,"56"
"1791","30.944335","11.6868","8.541192","1.929449",,"7.963894","10.739207","4.371425",,"30.5496453783537",,"56.4560603098823",,,"56.4560603098823"
"1792","29.626042","11.6868","7.900687","2.867435",,"6.52612","10.545356","3.325388",,"34.3770191022373",,"63.1042852038982",,,"63.1042852038982"
"1793","30.605179","11.6868","7.677493","6.168938",,"4.091948","11.238779","3.313296",,"32.3085517002407",,"61.6468570000775",,,"61.6468570000775"
"1794","29.530932","11.6868","5.246448","4.621098",,"7.079586","10.130159","3.371677",,"34.4212716235134",,"60.2204386465413",,,"60.2204386465413"
"1795","33.820866","11.6868","11.327186","3.568634",,"6.180246","13.451356","4.154422",,"39.4310962214664",,"75.0644903262215",,,"75.0644903262215"
"1796","30.224765","11.6868","10.549256","4.188991",,"2.558718","10.073709","3.364246",,"41.4270037732553",,"79.0660844256364",,,"79.0660844256364"
"1797","28.884074","11.6868","9.986542","5.144199",,"1.108533","9.187884","3.251281",,"39.9741384451774",,"78.6812455484388",,,"78.6812455484388"
"1798","33.243615","11.6868","8.513378","5.564154",,"5.831283","12.541854","3.473661",,"40.5840422685748",,"81.9376882903529",,,"81.9376882903529"
"1799","34.765217","11.6868","8.161517","5.594192",,"7.563708","12.351152","4.892703",,"45.517735028508",,"90.3332815769292",,,"90.3332815769292"
"1800","38.823594","11.6868","11.092185","7.490361",,"6.144248","16.122102","4.265575",,"47.9113272390914",,"105.961635526501",,,"105.961635526501"
"1801","42.441837","11.6868","13.472068","9.886381",,"4.640122","15.263595","7.723957",,"49.4237365674367",,"114.027941674465",,,"114.027941674465"
"1802","37.725326","11.6868","11.565984","7.77665",,"4.152957","14.381794","4.285423",,"50.3064472695335",,"95.9775977562104",,,"95.9775977562104"
"1803","38.060027","11.6868","6.082924","14.505548",,"3.776755","14.499651","4.768203",,"53.0580662592359",,"93.5417113124849",,,"93.5417113124849"
"1804","40.559504","11.6868","10.636319","12.311339",,"3.386046","16.23753","4.683822",,"52.029527036658",,"99.4248526872416",,,"99.4248526872416"
"1805","45.003024","11.6868","13.740648","11.784778",,"5.883798","16.856156","8.992049",,"52.0901030690604",,"109.363710298993",,,"109.363710298993"
"1806","42.07298","11.6868","10.509024","11.947066",,"5.98809","17.011486","5.891103",,"51.6839998558023",,"110.416105893213",,,"110.416105893213"
"1807","41.917426","11.6868","8.139436","13.945995",,"6.142843","16.224663","6.550689",,"50.7180218748923",,"119.815867155324",,,"119.815867155324"
"1808","44.202886","11.6868","8.774513","13.229453",,"7.85572","15.717115","8.376492",,"55.6945314098718",,"116.333619105519",,,"116.333619105519"
"1809","43.155535","11.6868","10.340345","14.335231",,"4.492933","17.623204","5.588954",,"59.9189528123528",,"129.825331807562",,,"129.825331807562"
"1810","50.659376","11.6868","7.795929","21.015251",,"3.501412","20.120486","5.934314",,"64.3249687262502",,"145.014348341974",,,"145.014348341974"
"1811","56.430733","11.6868","12.54289","19.881067",,"3.350945","22.230049","6.791658",,"64.3442315815709",,"139.069237154969",,,"139.069237154969"
"1812","58.510028","11.6868","17.709503","15.861391",,"2.983191","22.35816","7.184199",,"65.2798013351796",,"142.788722038309",,,"142.788722038309"
"1813","57.212781","11.6868","20.744342","12.82921",,"2.919501","22.186162","6.990179",,"67.2860189029006",,"154.929960926759",,,"154.929960926759"
"1814","60.427802","11.6868","18.957351","18.239965",,"2.293637","23.707693","7.796467",,"72.364060710684",,"146.569994242022",,,"146.569994242022"
"1815","64.779075","11.6868","23.071314","16.99189",,"2.052815","26.091322","7.267252",,"68.9953487095086",,"152.434974067742",,,"152.434974067742"
"1816","65.49272","11.6868","14.847087","24.188823",,"4.668884","25.69623","8.095889",,"67.5152830915141",,"136.0551904998",,,"136.0551904998"
"1817","82.515705","14.6868","21.302791","8.604341",,"9.686671","26.017722","6.593604",,"71.057158916706",,"143.609462942342",,,"143.609462942342"
"1818","64.384851","14.6868","24.423359","3.858174",,"10.055469","25.933446","5.50755",,"71.2928276619254",,"149.511693412213",,,"149.511693412213"
"1819","59.05447","14.6868","20.08799","8.971217",,"4.184628","23.518943","4.151378",,"67.6161106630716",,"139.183262435357",,,"139.183262435357"
"1820","54.957197","14.6868","20.96599","4.289502",,"4.963258","22.082909","3.347555",,"66.5826454252887",,"141.529208274366",,,"141.529208274366"
"1821","57.086079","14.6868","16.01099","4.509738",,"12.01165","22.281707","5.622896",,"62.9148034594848",,"134.701193282708",,,"134.701193282708"
"1822","51.31642","14.6868","12.4769","3.292394",,"11.127141","17.068145","4.689941",,"65.9020373273713",,"128.501549982148",,,"128.501549982148"
"1823","52.898145","14.6868","13.65883","4.430115",,"10.48122","16.655795","7.181098",,"65.2598597544758",,"136.687222349572",,,"136.687222349572"
"1824","54.600395","14.6868","14.341128","4.347585",,"13.859552","17.567496","10.097851",,"66.487746402188",,"149.123720128382",,,"149.123720128382"
"1825","55.645776","14.6868","19.447588","5.369943",,"8.7791","18.435881","10.168784",,"76.3652089908423",,"169.050220655372",,,"169.050220655372"
"1826","60.36249","14.6868","20.573258","12.088464",,"2.582573","22.996897","6.935943",,"67.1784974806947",,"147.049458911717",,,"147.049458911717"
"1827","65.132721","14.6868","18.685015","4.705399",,"10.16447","19.83857","8.80166",,"69.5468706860233",,"154.974458859912",,,"154.974458859912"
"1828","67.043792","14.6868","19.818028","3.663435",,"10.35699","19.64625","9.19814",,"71.4616104597039","1.093","155.05463144274",,,"155.05463144274"
"1829","64.675414","14.6868","19.736665","5.548732",,"6.855439","17.39715","9.553954",,"68.6460498950901","0.872","150.563542422189",,,"150.563542422189"
"1830","69.897336","14.6868","20.03889","3.998461",,"9.22198","17.75729","10.76301",,"72.9681269694713","1.19","158.346206503712",,,"158.346206503712"
"1831","70.220041","14.6868","19.927574","5.147606",,"8.217056","17.862198","11.213529",,"71.4856362669294","0.722","156.108786408133",,,"156.108786408133"
"1832","70.356983","14.6868","18.49745","5.688543",,"5.306848","16.400618","8.937171",,"68.9415533882894","0.906","164.526650421451",,,"164.526650421451"
"1833","75.513346","14.6868","19.373574","5.317163",,"9.50027","17.726088","12.395443",,"71.9661287031228","0.946","159.343868670027",,,"159.343868670027"
"1834","74.079419","14.6868","18.1238","8.391071",,"8.537393","17.688316","13.356394",,"71.3281391761568","0.773","169.391357254306",,,"169.391357254306"
"1835","73.712767","11.0151","21.308405","7.87067",,"6.259444","16.826704","10.823023",,"69.4357490883917","0.708","181.370346335446",,,"181.370346335446"
"1836","76.006493","11.0151","19.647299","11.225156",,"7.888707","16.848027","14.322538",,"71.8785153181026","0.645","202.607280196648",,,"202.607280196648"
"1837","73.670386","11.0151","16.180761","15.056353",,"4.089606","17.128582","10.593808",,"68.3437586053151","0.642","199.870257139084",,,"199.870257139084"
"1838","78.38491","11.0151","17.137396","8.50122",,"10.524522","17.69207","11.022124",,"69.2737272780277","0.703","210.093397751539",,,"210.093397751539"
"1839","76.075277","11.0151","17.088441","8.567623",,"6.832372","17.052918","8.153389",,"68.514541136982","0.676","216.323677806013",,,"216.323677806013"
"1840","71.930354","11.0151","17.325586","9.045136",,"4.395509","15.720413","7.80132",,"67.7702454608512","0.679","214.314421437666",,,"214.314421437666"
"1841","74.582384","11.0151","17.032742","8.18454",,"4.464649","15.533268","6.930298",,"67.1863105445339","0.579","205.903512496059",,,"205.903512496059"
"1842","76.547247","11.0151","17.301353","8.264236",,"6.360727","16.161607","8.556744",,"67.6727661028623","1.048","191.821730016157",,,"191.821730016157"
"1843","82.766332","11.0151","20.516292","6.15598",,"11.149789","19.297029","11.262564",,"68.1894170263127","1.121","195.180296714311",,,"195.180296714311"
"1844","82.918536","11.0151","18.34842","5.837936",,"16.213951","20.108508","12.529165",,"71.9832789331104","0.973","211.343192467241","46.4",,"211.343192467241"
"1845","62.649391","11.0151","16.507279","10.784494","5.341","15.453303","19.790305","15.179555","1.076","83.0505642107023","1.397","229.463668420036","43.9",,"231.953731877722"
"1846","71.14876","11.0151","16.12134","23.242035","17.279","13.7758","20.02081","24.943603","1.949","82.6238253745819","1.232","231.556256026252","44.9","97.8","237.03254955666"
"1847","59.870856","11.0151","14.974979","15.819148","9.778","12.044934","19.333125","15.250182","1.288","76.6592035886288","1.43","249.802507164368","36.8","99.3","202.866056994644"
"1848","63.191162","11.0151","14.559821","12.933241","7.03","14.760815","18.179755","15.9679","2.25","71.9719189297659","1.433","230.542294742761","36.9","101","198.982465844052"
"1849","63.548951","11.0151","17.059083","9.872296","3.742","15.329532","18.132445","15.958671","1.929","70.2428555050167","1.541","230.75874267559","45.6","103.3","231.377519856807"
"1850","66.647024","11.0151","17.384268","9.687835","2.963","17.122221","18.888555","17.388066","1.526","73.448283187291","1.1","215.710928863914","49.5","113.2","246.957850652824"
"1851","63.765926","11.0151","17.130596","12.135618","5.022","14.435537","18.71301","17.114533","1.651","73.3170009832776","1.637","217.343771507071","50.7","121.6","249.544576238006"
"1852","70.392661","11.0151","16.542999","11.386983","3.491","19.238924","20.52347","18.381558","2.887","82.8454971605351","1.84","236.254677277094","59.4","129.4","291.207317231165"
"1853","70.268142","11.0151","16.473753","14.926214","6.834","18.190805","21.99005","19.459672","1.908","92.7624072541806","2.259","272.923869512139","59","138.7","294.278712926063"
